Sort_id,Cell_seeded,FSC-A,FSC-W,SSC-A,CD33,CD34,CD45Ra,CD90,CD49f,CD38,CD19,CD7-10,dead,CD45,Time
1_B11,HSC,107474,78311,16152,-146,4042,136,22,1008,-85,39,160,179,1352,4403
1_B12,HSC,180478,88323,35500,-256,6511,40,380,63,-70,45,112,238,2000,4174
1_C1,HSC,134779,81718,21390,-83,4544,-90,50,186,21,37,85,279,1421,7993
1_C2,HSC,127333,91599,32015,-133,6567,172,-72,-76,-431,52,163,511,5117,8236
1_C3,HSC,134966,79631,13854,-142,5152,163,86,313,-174,26,167,200,2751,8533
1_C4,HSC,136701,92098,39153,-180,6105,68,193,666,-253,69,5,353,1674,8968
1_C5,HSC,115937,77528,10778,20,2683,60,18,104,-101,47,23,120,745,9196
1_C6,HSC,162914,91345,16435,90,3240,99,976,171,-143,36,88,203,1347,9400
1_C7,HSC,151745,83133,28262,-46,3072,-36,-5,39,-41,90,95,274,1828,9681
1_C8,HSC,165750,91529,19106,-55,5894,58,449,476,-33,30,54,204,2325,9889
1_C9,HSC,153595,83691,21352,-29,5327,99,187,1299,-53,52,127,240,1620,10241
1_C10,HSC,154886,95898,22886,-136,4276,175,12,254,-152,42,142,211,1771,10697
1_C11,HSC,122783,80393,27502,-129,3828,25,-2,-77,-135,63,79,188,1447,10956
1_C12,HSC,172391,90299,34876,-107,4517,-14,32,14,-3,132,104,282,908,11264
1_D1,HSC,126135,80271,22185,-316,9492,209,-72,54,-307,37,98,201,1670,15491
1_D2,HSC,144929,82790,21537,-90,5607,69,397,589,-149,65,75,210,1452,15248
1_D3,HSC,141320,82253,16970,-46,4296,92,103,76,70,32,49,156,825,14998
1_D4,HSC,169607,86803,25422,-98,5489,223,126,705,-200,42,161,326,1967,14621
1_D5,HSC,165042,85231,33199,-25,7350,221,1739,1122,-83,42,149,278,2500,14305
1_D6,HSC,157942,85237,18174,-22,3733,163,53,477,-131,3,120,220,1436,14006
1_D7,HSC,172990,89235,18119,-165,6270,101,104,752,-155,70,215,296,1257,13760
1_D8,HSC,137503,80846,14550,-66,3806,85,141,1601,49,54,68,160,1296,13336
1_D9,HSC,142365,81510,16932,-99,3534,55,13,797,-26,49,150,179,906,12778
1_D10,HSC,159645,84575,28013,-203,8187,176,-124,-44,-281,35,79,200,4425,12500
1_D11,HSC,167141,85207,24179,-99,4841,112,570,405,61,12,140,221,1909,11874
1_D12,HSC,132765,79752,14409,58,2201,263,8,123,14,12,34,177,872,11507
1_E1,HSC,135005,82014,17878,-169,6121,222,502,592,-222,39,61,226,1425,15731
1_E2,HSC,155418,87835,18270,-374,5897,176,163,1159,-187,22,26,212,1464,15989
1_E3,HSC,172274,86076,30405,-195,7863,196,-95,1167,-76,58,172,358,6924,16215
1_E4,HSC,155520,86457,15270,42,3717,85,-16,303,-202,24,88,176,1306,16505
1_E5,HSC,117053,75091,11787,-16,3147,158,56,2066,-65,10,50,174,1978,16809
1_E6,HSC,139958,81376,17791,-71,3818,81,94,880,-144,33,65,231,1328,17088
1_E7,HSC,149423,82378,19836,96,3176,75,96,842,-26,40,109,175,1258,17343
1_E8,HSC,146887,93074,16158,-86,3938,162,325,178,-99,23,52,150,1476,17542
1_E9,HSC,151369,82336,14869,-60,4995,191,-55,811,-200,21,112,242,3713,17871
1_E10,HSC,161825,85428,18372,-72,4239,90,511,389,68,22,83,235,1629,18151
1_E11,HSC,177692,87654,25208,-164,3716,151,0,120,-29,45,132,322,1339,18515
1_E12,HSC,161834,85558,22592,-128,4798,140,38,953,-128,23,143,286,1991,18857
1_F1,HSC,176075,88255,25575,-116,5900,-11,123,452,-188,39,98,244,1788,22275
1_F2,HSC,137755,80908,22106,-127,4801,242,50,1128,5,21,98,279,2060,22031
1_F3,HSC,156453,82944,18090,-63,3122,91,9,376,-90,38,125,202,873,21562
1_F4,HSC,125925,79215,17834,-53,4706,113,228,262,-118,36,95,246,1626,21288
1_F5,HSC,126594,78085,14213,-32,3936,123,-11,161,-27,26,66,184,1582,21063
1_F6,HSC,157813,88281,22243,-109,5026,71,61,-43,-38,102,75,213,1918,20818
1_F7,HSC,163606,88038,24748,-38,5067,190,1143,1193,-30,33,65,196,1614,20417
1_F8,HSC,184580,90996,24854,-238,8981,238,-123,1220,-258,74,64,381,6243,20153
1_F9,HSC,145201,84669,24249,47,3707,138,16,849,-38,35,121,220,875,19912
1_F10,HSC,135804,79717,19736,-166,5807,249,777,1335,-35,26,178,231,3062,19651
1_F11,HSC,203330,94146,33171,157,5322,218,590,1861,23,74,111,292,1724,19394
1_F12,HSC,154083,84177,17279,-78,4121,95,275,861,-75,51,84,263,1522,19118
1_G1,HSC,130165,79804,13662,-116,4339,108,65,449,-199,51,56,185,1698,22776
1_G2,HSC,165890,86424,19509,-103,3579,110,22,401,-198,55,144,232,1115,23073
1_G3,HSC,120872,90117,42959,-384,5614,215,318,727,-85,100,67,213,1904,23499
1_G4,HSC,168194,83733,18802,-102,3690,112,365,472,-125,39,138,223,1118,24016
1_G5,HSC,161027,84173,30544,-52,3958,133,696,52,81,68,76,251,1815,24318
1_G6,HSC,153661,86588,33229,-105,3811,49,328,723,48,53,64,333,1107,24575
1_G7,HSC,131837,80409,23671,19,4330,111,514,93,-118,58,137,191,2600,24885
1_G8,HSC,165644,83922,21558,-120,2573,90,-18,130,-91,39,152,258,1011,25176
1_G9,HSC,174093,89187,24784,-233,4988,100,249,496,-214,38,123,254,1421,25424
1_G10,HSC,155222,83070,16754,-6,3765,234,483,1076,-18,44,38,248,1431,26101
1_G11,HSC,137245,80161,15682,-15,3090,72,-30,367,-104,35,113,172,1586,26337
1_G12,HSC,132314,86528,27420,-147,3701,56,112,78,-115,22,79,134,1004,26528
1_H1,HSC,148327,85418,20074,-75,3683,82,-12,643,-4,27,98,192,1800,30197
1_H2,HSC,152537,93636,17485,-60,3713,99,44,734,-151,32,63,134,1034,29916
1_H3,HSC,110255,84503,38182,65,4974,153,545,1062,-89,64,-1,251,1738,29589
1_H4,HSC,174858,87166,29519,-175,5269,143,-16,282,-136,27,138,274,2097,29336
1_H5,HSC,194552,90938,38295,97,2973,276,240,557,26,64,192,301,2210,29018
1_H6,HSC,159497,84930,15328,90,4603,83,600,-136,85,37,66,151,2387,28633
1_H7,HSC,200649,94715,34251,-34,5567,176,10,1136,-1,60,175,416,2836,28369
1_H8,HSC,177034,92882,27847,-30,4370,241,123,1089,-85,44,25,224,1264,28002
1_H9,HSC,149426,83139,22092,-41,3175,193,26,890,-142,24,164,226,1440,27770
1_H10,HSC,172687,94589,19729,-77,4035,98,190,345,-148,9,175,280,1581,27522
1_H11,HSC,166346,85203,21564,-191,4542,-25,31,139,-167,1,118,257,1393,27193
1_H12,HSC,150048,89213,15443,-39,3635,61,99,256,-141,6,87,177,1394,26774
2_A1,HSC,138227,80308,19127,77,3490,-40,1576,18,-137,12,78,240,1054,591
2_A2,HSC,163051,86372,28925,-230,5288,123,3,308,-141,89,45,307,2003,898
2_A3,HSC,172737,87447,21959,-83,4364,164,380,164,-29,52,136,213,1874,1123
2_A4,HSC,152207,86121,19891,-134,6519,109,-65,228,-246,10,67,224,2193,1329
2_A5,HSC,154804,85774,21175,-3,3714,12,24,654,-132,42,142,218,2027,1558
2_A6,HSC,188386,89216,28573,298,3132,196,8,161,137,33,118,212,1105,1915
2_A7,HSC,183419,99440,22139,10,3851,125,298,692,-74,43,172,260,1981,2177
2_A8,HSC,120973,84951,31461,-29,4635,80,311,-11,-203,92,-12,189,1524,2459
2_A9,HSC,162325,85209,17803,-139,5115,134,77,217,-312,33,18,197,1436,2714
2_A10,HSC,127464,79110,13089,24,5387,286,22,1261,53,42,23,183,1332,2973
2_A11,HSC,141445,82078,15962,40,3218,81,100,492,-77,18,134,181,945,3357
2_A12,HSC,161596,84989,22058,-184,5936,259,-35,1221,-135,31,119,230,1672,3617
2_B1,HSC,164957,84221,20000,-112,4460,135,271,183,-170,31,81,265,1902,8319
2_B2,HSC,146294,91691,38761,-45,3577,-62,165,163,65,31,115,251,1658,8040
2_B3,HSC,150695,85503,25818,-29,3799,44,381,245,-211,19,78,191,940,7551
2_B4,HSC,144419,83312,25922,-89,4079,127,-52,364,-3,46,139,219,1362,7244
2_B5,HSC,141547,85730,26213,-92,6291,92,-60,373,-272,62,186,236,1769,6820
2_B6,HSC,128700,80972,21901,-145,4397,-10,614,1,-157,40,99,259,2068,6520
2_B7,HSC,126137,80503,21892,-150,3655,50,241,-63,-166,65,157,194,3125,5796
2_B8,HSC,151671,84765,26302,-151,3850,-38,4,30,-42,47,128,203,1424,5502
2_B9,HSC,140153,90406,24803,-15,4477,46,1241,457,-197,80,98,264,2000,5287
2_B10,HSC,106708,81566,26868,-181,3426,137,483,1061,70,73,-21,210,1195,4910
2_B11,HSC,136322,81210,11774,-25,3663,-66,-20,306,-151,-5,125,135,1354,4590
2_B12,HSC,158800,83881,23606,-16,5927,161,241,267,-220,30,87,201,1005,4046
2_C1,HSC,138242,79814,17370,-169,3122,31,-16,422,-118,27,79,188,982,8673
2_C2,HSC,154143,82742,21355,-21,3788,92,-29,615,-230,53,77,235,1299,8944
2_C3,HSC,165978,88863,27784,-171,5202,65,-25,167,8,89,4,312,1439,9278
2_C4,HSC,160443,95276,16421,-126,6252,90,-13,-150,-126,28,29,220,1482,9548
2_C5,HSC,180051,92026,29240,-73,2896,77,-22,153,12,90,139,291,1130,9785
2_C6,HSC,160524,85238,19014,-163,7360,146,2618,-242,-93,-1,79,366,3437,10030
2_C7,HSC,142101,81254,18788,-102,2926,227,140,310,-37,39,92,182,1225,10265
2_C8,HSC,167517,88701,23463,-128,2950,60,376,158,114,58,115,229,1441,10565
2_C9,HSC,153351,89401,23373,-2,5468,101,396,47,-287,105,31,233,1370,10909
2_C10,HSC,126875,78736,16350,-108,5219,175,-16,352,-214,49,131,161,2764,11263
2_C11,HSC,139156,83795,11112,-170,4260,60,-47,512,-198,36,21,99,1194,11529
2_C12,HSC,159202,86607,17847,-64,2902,140,283,220,-162,6,105,189,1211,12086
2_D1,HSC,126636,79089,18310,-147,3522,77,188,733,5,42,45,206,1325,15106
2_D2,HSC,155072,83283,20939,-138,4469,95,516,342,-194,66,76,243,1660,14853
2_D3,HSC,145863,82418,16789,46,3597,185,-11,559,65,19,117,163,1405,14602
2_D4,HSC,123860,79766,23208,-171,8102,146,-69,259,-246,39,105,188,2835,14271
2_D5,HSC,152470,86288,11986,-188,3640,113,27,102,-217,11,94,209,592,13943
2_D6,HSC,134178,79195,19387,44,2803,15,782,422,-64,12,118,224,1092,13731
2_D7,HSC,157987,83719,18404,-264,10329,10,59,29,-420,37,53,257,5438,13497
2_D8,HSC,139257,80858,17213,20,3387,130,163,1200,-91,19,74,198,1108,13272
2_D9,HSC,147416,82895,23206,-270,7023,31,66,468,-361,11,115,237,2461,13055
2_D10,HSC,146469,81420,17086,-206,4130,60,5,62,-32,36,113,172,2705,12824
2_D11,HSC,135614,84207,26140,-80,6087,204,371,540,-196,44,103,229,1605,12616
2_D12,HSC,168162,91340,16074,85,2793,79,145,322,-25,17,97,182,812,12361
2_E1,HSC,150226,85143,16347,-177,3699,181,-11,582,-229,38,151,181,479,15310
2_E2,HSC,142387,82448,16082,-168,3917,40,41,563,-93,43,101,174,1203,15513
2_E3,HSC,132125,81057,16946,-67,2926,173,49,894,-162,37,72,187,1011,15713
2_E4,HSC,162814,85414,24142,-116,3693,193,138,265,60,59,77,176,1711,15985
2_E5,HSC,138668,86946,34719,-93,4867,87,-20,200,-136,80,61,220,1405,16192
2_E6,HSC,134429,80599,18372,-44,4124,85,35,130,-114,45,91,134,1191,16459
2_E7,HSC,171512,92543,15758,53,2654,237,4,491,-114,11,124,189,1148,16698
2_E8,HSC,161507,88496,38413,-168,5334,184,39,1199,-20,17,59,163,1405,17059
2_E9,HSC,151023,83220,19968,-11,2829,75,111,11,16,-21,94,182,1087,17455
2_E10,HSC,152033,82837,26328,-195,3183,69,96,631,-80,9,101,166,1092,17657
2_E11,HSC,170781,92692,27694,-146,6770,211,-21,108,-14,45,206,283,3403,17856
2_E12,HSC,158612,90414,17876,-57,2024,104,29,526,-134,24,97,201,768,18179
2_F1,HSC,125094,78940,17955,-210,6587,150,4222,532,-284,15,119,258,5296,21629
2_F2,HSC,153343,82873,19760,-10,2838,5,84,98,-35,22,67,186,1149,21363
2_F3,HSC,164283,85226,23285,-265,9706,213,-190,84,-367,52,129,267,6471,21040
2_F4,HSC,162070,91832,37330,-155,3677,92,-21,22,79,80,86,159,1401,20705
2_F5,HSC,149089,84111,16541,-112,2925,76,480,437,-119,23,101,165,1388,20378
2_F6,HSC,164127,85477,33777,-136,5371,54,51,-13,-166,150,65,372,1372,20022
2_F7,HSC,173138,91037,22430,23,3597,149,1270,699,33,19,136,193,1149,19770
2_F8,HSC,175602,86739,23839,-9,3722,96,288,83,80,29,124,187,1971,19425
2_F9,HSC,135732,80907,13262,-38,4039,181,407,460,-149,13,117,203,1383,19202
2_F10,HSC,122004,86791,32736,-31,4462,172,-12,326,-38,84,4,226,1786,18948
2_F11,HSC,137350,87644,23759,-169,4828,203,-56,-86,-4,79,-21,206,1468,18648
2_F12,HSC,152477,82501,26960,-10,5452,75,125,73,-213,44,48,240,1389,18400
2_G1,HSC,178397,97015,18775,-189,6539,152,-53,257,-256,33,47,164,3225,21868
2_G2,HSC,160497,85187,24607,-175,5757,115,9,732,-91,60,154,311,1550,22119
2_G3,HSC,183813,89117,31840,8,4610,284,-39,19,-75,58,82,319,1305,22324
2_G4,HSC,117824,77729,15965,266,3305,60,381,140,-169,22,107,187,1615,22561
2_G5,HSC,135591,82444,23921,-44,2823,137,158,438,-21,99,72,266,1371,22778
2_G6,HSC,146923,83251,17775,-10,3948,92,99,90,-137,25,26,121,834,23026
2_G7,HSC,157521,83830,19977,-205,4957,-3,-74,396,-52,80,95,281,1593,23499
2_G8,HSC,156893,84040,20772,-138,4782,122,-49,1020,-131,4,55,166,1609,23779
2_G9,HSC,102744,78131,20113,-161,4677,119,-10,474,-218,24,93,217,1228,24104
2_G10,HSC,144427,83641,15004,16,6941,182,248,568,-256,26,-36,293,1500,24358
2_G11,HSC,174512,90685,26837,41,3063,53,-44,-11,115,29,180,243,1563,24637
2_G12,HSC,172340,87084,22203,9,5030,19,382,302,146,-7,65,234,1728,24948
2_H1,HSC,135460,80395,20696,38,3102,115,-1,467,-70,29,121,238,1616,28073
2_H2,HSC,152914,83746,17443,-14,4155,52,73,216,-84,20,75,202,996,27798
2_H3,HSC,158933,84688,18579,-154,7516,101,-70,262,-12,21,106,179,4189,27446
2_H4,HSC,187496,95952,33010,-89,3464,198,1,91,-120,85,31,221,2005,27215
2_H5,HSC,168982,87293,21832,-90,4755,46,-26,-140,-88,23,113,265,1146,26996
2_H6,HSC,168706,85559,23050,-193,3819,142,70,550,-112,17,225,256,1904,26693
2_H7,HSC,150558,81721,19698,-19,7279,256,937,688,-201,44,141,273,4596,26423
2_H8,HSC,131974,81175,16270,-43,4328,245,457,923,-124,57,169,243,1632,26201
2_H9,HSC,170330,92193,20273,-89,4272,105,-27,162,61,10,106,220,1410,25928
2_H10,HSC,135067,83469,22162,-65,3916,118,58,276,-90,33,70,190,1702,25681
2_H11,HSC,109228,76313,19229,-47,3907,118,339,728,-150,12,61,189,1097,25385
2_H12,HSC,148424,81718,15877,-79,4546,182,111,339,-143,34,99,198,1371,25186
3_A1,GMP,170345,95448,33353,-25,4253,3658,-14,1651,1537,46,48,336,1566,4807
3_A2,GMP,153941,89801,22278,23,3014,699,-97,-41,1255,78,-35,289,535,7216
3_A3,GMP,213283,95086,48790,-383,10690,1443,445,178,688,51,108,407,5730,9161
3_A4,GMP,185882,88634,26074,176,2909,2323,-11,859,631,60,107,261,1117,9447
3_A5,GMP,189936,92433,24141,-46,5261,1060,-106,325,1745,113,55,272,2350,10622
3_A6,GMP,177989,89026,28833,-205,4577,3142,-74,1621,370,50,82,218,1192,11391
3_A7,HSC,170345,95448,33353,-25,4253,3658,-14,1651,1537,46,48,336,1566,4807
3_A8,HSC,153941,89801,22278,23,3014,699,-97,-41,1255,78,-35,289,535,7216
3_A9,HSC,213283,95086,48790,-383,10690,1443,445,178,688,51,108,407,5730,9161
3_A10,HSC,185882,88634,26074,176,2909,2323,-11,859,631,60,107,261,1117,9447
3_A11,HSC,189936,92433,24141,-46,5261,1060,-106,325,1745,113,55,272,2350,10622
3_A12,HSC,177989,89026,28833,-205,4577,3142,-74,1621,370,50,82,218,1192,11391
3_B1,HSC,155143,84279,19108,96,3338,122,61,999,-70,52,96,154,1116,18268
3_B2,HSC,168166,93312,18475,18,4798,82,308,440,-136,12,107,189,2080,18051
3_B3,HSC,164810,85175,24900,-155,4393,148,8,745,-169,55,99,252,1614,17821
3_B4,HSC,192891,93946,30269,-305,8632,179,-164,275,-296,75,80,307,4921,17490
3_B5,HSC,137015,79712,16041,-4,2137,146,15,650,-112,20,88,171,1234,17260
3_B6,HSC,174641,94085,20548,26,4707,128,-3,43,-164,4,85,184,1833,16942
3_B7,HSC,120307,77765,19660,-124,3219,203,260,1223,-62,40,127,164,1012,16676
3_B8,HSC,207842,94605,29814,-27,4997,27,623,227,-135,55,130,315,1641,16426
3_B9,HSC,180303,86701,28320,-130,4050,157,-96,86,36,53,101,247,1635,16024
3_B10,HSC,153986,84343,23938,-273,9990,240,67,32,-297,51,113,253,2153,15738
3_B11,HSC,200402,90663,39533,-54,4628,153,198,-11,-35,48,93,373,1941,15496
3_B12,HSC,163057,84805,30143,-300,6321,120,123,766,-225,70,90,234,1814,15239
3_C1,HSC,155141,90280,18768,-43,3663,115,143,370,64,15,119,165,1088,18519
3_C2,HSC,158933,83458,24895,-102,3481,258,62,391,-16,30,87,232,1161,19008
3_C3,HSC,162935,88810,22760,26,4496,105,-41,428,-123,21,128,310,2070,19355
3_C4,HSC,161575,87736,25949,-138,7410,120,22,1379,-46,39,53,227,3009,19626
3_C5,HSC,155194,84329,19709,61,2958,92,18,429,-15,29,81,185,1175,19844
3_C6,HSC,142102,81075,16804,-55,3706,12,65,202,-167,29,57,189,1174,20168
3_C7,HSC,150238,83476,26961,-39,3693,131,27,780,-85,18,89,196,1193,20468
3_C8,HSC,171719,86027,23603,-22,3753,131,29,357,-29,30,37,257,1369,20734
3_C9,HSC,191201,93130,30329,-61,3816,125,114,160,-73,38,75,238,1849,20985
3_C10,HSC,154960,87631,16072,-149,2510,29,52,468,-136,25,135,176,864,21229
3_C11,HSC,152019,84183,20089,-187,3934,279,196,1338,-196,40,76,221,1750,21439
3_C12,HSC,129458,79430,16712,-144,6059,148,848,443,-154,23,104,206,1250,21691
3_D1,HSC,122343,78495,17726,29,3658,89,35,808,-118,39,78,174,1127,24613
3_D2,HSC,123450,78650,13101,-97,2078,155,131,800,-9,22,98,132,1297,24327
3_D3,HSC,151016,83725,23951,12,3408,26,683,65,-23,4,98,174,1119,24071
3_D4,HSC,155208,89493,18236,-163,4144,170,5,300,-81,16,107,135,1878,23836
3_D5,HSC,176581,92107,20800,-168,4461,24,-36,138,-112,44,152,235,1316,23554
3_D6,HSC,140505,82175,18570,59,3999,91,8,926,-110,50,158,201,969,23346
3_D7,HSC,126477,78808,18417,24,4329,280,210,827,-298,66,88,206,1491,23155
3_D8,HSC,154696,93913,16801,-136,3757,68,834,338,-54,35,102,199,1486,22934
3_D9,HSC,127199,88679,28084,-151,4684,90,-18,-49,-16,44,151,266,1283,22705
3_D10,HSC,175144,95132,17932,-43,2785,102,128,190,-44,65,105,195,888,22497
3_D11,HSC,178362,95276,28768,-90,3503,177,-50,82,35,-28,83,236,1566,22215
3_D12,HSC,156692,88872,23773,-74,3355,148,20,29,-53,55,51,162,988,21955
3_E1,HSC,136139,82327,16851,2,5580,58,-101,219,-128,17,34,190,3515,24965
3_E2,HSC,157920,85547,31171,96,4047,175,157,275,-42,69,69,234,1692,25226
3_E3,HSC,132036,80038,13070,-51,4053,22,-30,129,-208,18,38,178,1412,25470
3_E4,HSC,158727,86703,19174,2,5282,167,301,148,-58,55,64,231,1310,25771
3_E5,HSC,149110,83454,18839,-24,4735,118,98,814,-26,61,115,220,1269,26006
3_E6,HSC,135646,82006,15009,-34,4656,43,141,230,-96,8,106,184,1767,26293
3_E7,HSC,122109,80608,30370,-11,5066,185,-60,46,-342,49,120,219,1177,26557
3_E8,HSC,167596,86351,26459,-138,5130,152,63,117,-68,36,56,259,2048,26807
3_E9,HSC,138150,85011,20098,-233,4767,222,102,1742,-103,20,76,237,1235,27090
3_E10,HSC,124525,81009,16324,-174,4196,108,-3,613,11,-5,74,111,1038,27335
3_E11,HSC,143164,83769,21342,-114,4863,197,109,274,-158,43,61,210,1713,27621
3_E12,HSC,161676,87128,24325,90,4530,238,5079,-155,167,35,102,205,2351,27880
3_F1,HSC,161621,84643,24428,14,4493,96,658,282,10,36,52,213,1689,31320
3_F2,HSC,155822,87242,21134,-143,5668,229,583,746,-200,22,126,176,1757,31033
3_F3,HSC,165645,85948,22988,-61,4089,144,54,578,21,30,102,274,1502,30680
3_F4,HSC,167790,87568,19625,-64,4460,35,101,134,-208,34,201,191,1774,30297
3_F5,HSC,195879,94410,24293,-49,5588,238,106,402,-63,5,203,275,2472,29927
3_F6,HSC,129376,78902,17575,-92,3521,93,58,451,-100,16,162,259,986,29662
3_F7,HSC,146116,84907,17822,-74,4767,150,75,992,-179,51,70,200,1968,29401
3_F8,HSC,162190,91371,17970,-77,4575,27,-40,125,-122,24,87,197,1259,29166
3_F9,HSC,140643,84728,28906,-219,6479,266,659,780,31,54,133,297,2062,28838
3_F10,HSC,177917,89103,25135,9,3120,10,311,55,14,42,174,264,987,28605
3_F11,HSC,111426,86055,33196,24,4867,91,464,-91,-82,65,27,192,2333,28359
3_F12,HSC,159390,85091,21342,-179,4364,54,-1,95,-171,22,86,214,1160,28114
3_G1,HSC,158731,85325,22079,-44,5067,47,122,583,-241,38,62,230,1628,31678
3_G2,HSC,142491,85996,23755,-67,4331,132,172,506,-90,18,81,197,1328,31935
3_G3,HSC,138758,81594,14790,-108,6020,199,2381,211,-313,14,134,194,3653,32342
3_G4,HSC,143023,86980,32685,-6,3027,214,91,433,107,69,143,278,1512,32538
3_G5,HSC,172435,94590,26755,-97,4441,123,-18,50,-188,9,39,233,1671,32792
3_G6,HSC,152816,85152,15578,-208,7330,147,-78,900,-325,32,81,176,4437,33081
3_G7,HSC,191256,94792,34717,-246,5471,176,-20,236,-260,44,138,234,1378,33364
3_G8,HSC,134411,93315,45204,-117,4652,92,461,366,82,89,49,156,1936,33597
3_G9,HSC,184595,96410,22368,-104,4824,58,127,1211,-249,33,143,304,2087,33879
3_G10,HSC,148663,86161,20577,4,3097,-40,68,514,-133,24,167,188,1168,34140
3_G11,HSC,157448,83848,26986,-7,3238,4,238,148,-45,76,179,306,1174,34390
3_G12,HSC,161684,86050,21254,-124,3112,138,-74,-74,36,55,175,194,917,34635
3_H1,HSC,159757,91063,13680,-95,3590,75,-20,606,-194,24,134,200,1463,37832
3_H2,HSC,136148,84096,18252,-96,4561,62,-30,404,-138,51,54,175,1701,37564
3_H3,HSC,148035,83712,14690,-65,4828,-5,40,396,-251,5,118,209,1403,37277
3_H4,HSC,134480,79643,19869,-7,2106,34,7,204,-54,28,125,179,936,37029
3_H5,HSC,126291,79576,27458,-188,3991,180,194,312,-57,88,4,246,1228,36703
3_H6,HSC,156487,81579,15724,-42,2495,72,1,314,-133,26,166,204,827,36436
3_H7,HSC,166068,89158,22992,-81,3267,95,-7,84,-105,42,123,222,1503,36240
3_H8,HSC,167432,91638,19413,-10,2169,92,28,59,-64,85,33,219,823,36015
3_H9,HSC,155234,83659,20258,-72,3102,46,103,558,-210,9,110,225,880,35770
3_H10,HSC,167723,86373,22933,-138,6337,46,-55,-58,-219,31,141,273,2048,35481
3_H11,HSC,181118,91652,29007,-73,4588,63,290,562,-241,61,236,269,1899,35184
3_H12,HSC,147855,82214,20580,-203,4357,112,637,810,-295,37,112,224,1546,34847
4_A1,HSC,139821,82620,27815,-71,3419,51,234,39,-69,63,59,194,1600,681
4_A2,HSC,141224,81041,18866,-60,4848,233,29,1337,-44,46,100,245,1513,975
4_A3,HSC,170234,90832,21291,-147,6829,159,429,83,-209,35,125,335,4822,1327
4_A4,HSC,158721,83747,23194,-126,4262,25,103,88,-112,34,86,176,550,1608
4_A5,HSC,164418,89317,18200,91,5106,132,2077,66,-199,27,145,207,2123,1936
4_A6,HSC,129032,83187,29336,-62,4281,-11,-22,-10,50,86,45,158,934,2169
4_A7,HSC,134836,79488,14460,2,6172,203,88,1318,-114,30,165,232,5965,2428
4_A8,HSC,155424,92333,20038,37,3626,57,-61,787,-65,33,63,152,1181,2864
4_A9,HSC,151968,83662,18677,94,3211,145,19,481,-22,61,110,208,1234,3106
4_A10,HSC,138203,83069,17006,-38,6026,89,-43,946,-85,54,-23,184,893,3383
4_A11,HSC,165976,86973,20073,-115,4430,171,120,191,147,42,196,215,1709,3576
4_A12,HSC,170310,85377,24097,-48,3260,220,685,859,68,14,91,245,1559,3777
4_B1,HSC,150731,83240,24641,41,3376,91,23,233,-6,55,133,211,1856,7365
4_B2,HSC,139820,80651,21562,-50,4541,155,36,237,-48,47,78,172,1138,7129
4_B3,HSC,148658,82321,18676,-111,4407,129,-19,550,-78,39,86,162,1231,6797
4_B4,HSC,111832,76685,14075,17,2819,42,16,221,-90,23,112,223,1176,6550
4_B5,HSC,145274,84743,17997,-194,3740,187,40,1293,-99,40,79,179,1101,6256
4_B6,HSC,131595,79748,18720,-92,4039,-16,42,331,-123,0,92,126,869,5974
