FSC_A,FSC_W,SSC_A,CD33,CD45RA,CD34,CD90,CD49f,CD38,Lineage,CD7_CD10,Live,CD45,Time,Sort_id,Cell_seeded
129773,82954,79368,61,68,3264,4268,621,642,207,50,361,1983,28737,1_C7,HSC
149217,90599,77927,194,101,3863,1521,2645,513,99,38,431,1896,29010,1_C8,HSC
189000,108162,92902,203,-106,3599,369,1191,256,-69,129,318,1346,29827,1_C9,HSC
151302,89110,83511,-14,187,4288,2796,2391,107,142,38,354,1306,30107,1_C10,HSC
95099,85910,96972,309,67,5401,8044,1009,644,180,67,348,1562,30424,1_C11,HSC
127573,90162,93026,100,180,2409,2223,1122,714,337,346,662,1366,30775,1_C12,HSC
124584,90238,99311,258,166,7061,699,1189,484,113,310,266,578,37431,1_D1,HSC
154062,91005,79943,174,92,5625,4541,1060,677,73,108,358,1376,36900,1_D2,HSC
122341,86914,71132,125,103,3926,857,243,654,105,74,327,1337,36702,1_D3,HSC
137179,89737,70793,70,76,2489,1047,2125,304,88,73,286,1494,36332,1_D4,HSC
139248,91431,115079,179,13,5113,1112,984,610,79,165,251,1308,36065,1_D5,HSC
143832,91501,77968,-26,9,2677,852,1859,235,82,115,345,1805,35870,1_D6,HSC
124016,87081,81590,18,82,4407,1818,1768,310,132,63,376,1055,34932,1_D7,HSC
142612,89713,63488,90,93,2178,157,1045,706,132,94,266,932,34580,1_D8,HSC
142952,89464,132659,272,111,5328,11013,1900,501,256,-62,428,1457,31967,1_D9,HSC
114987,96165,108302,229,58,2170,252,451,626,273,43,655,2396,31767,1_D10,HSC
70590,81000,81563,32,-12,3567,4491,831,791,305,69,241,981,31498,1_D11,HSC
128820,90828,96052,260,269,4059,3043,813,646,273,146,401,1967,30992,1_D12,HSC
138363,93196,79716,75,35,2258,1328,280,714,192,-6,342,1437,39026,1_E1,HSC
154991,92730,68357,48,89,3601,3467,2070,189,27,-25,374,1828,39894,1_E2,HSC
157137,91574,65590,108,143,4524,1723,1840,717,97,85,234,1567,40204,1_E3,HSC
163426,94012,89768,45,113,4273,4223,1891,444,193,71,433,2365,40642,1_E4,HSC
90092,88055,119188,259,219,7718,262,1535,828,253,55,394,1173,42215,1_E5,HSC
139086,91859,80116,126,64,3159,397,833,359,158,104,355,1481,42609,1_E6,HSC
146162,89814,102181,-23,-21,4463,460,2780,152,83,142,387,2186,42913,1_E7,HSC
129697,91217,111566,169,145,2173,291,271,660,105,43,378,483,44710,1_E8,HSC
125423,92486,83686,11,152,4477,1139,970,731,114,146,293,851,45159,1_E9,HSC
86501,87505,104506,261,69,4628,9897,1028,706,278,-23,499,2287,45828,1_E10,HSC
172891,101993,113388,164,199,4894,1318,735,465,237,163,525,913,46570,1_E11,HSC
102413,85572,89512,169,154,3448,2568,1129,651,164,50,322,1599,46777,1_E12,HSC
116836,90290,134039,283,125,8578,1023,887,395,84,13,319,950,54688,1_F1,HSC
148057,91314,69259,153,108,3662,956,641,572,80,15,281,1241,54504,1_F2,HSC
166920,94725,110951,224,113,5088,2467,1713,799,217,206,302,1354,53904,1_F3,HSC
135792,86002,62646,78,43,3860,1380,3428,377,160,135,254,1409,52125,1_F4,HSC
69529,83392,94973,84,59,4810,7674,1105,421,266,1,460,2043,50738,1_F5,HSC
110281,86077,92265,159,295,3622,175,970,528,40,57,364,472,50169,1_F6,HSC
105908,87796,79463,108,138,5105,4972,1565,294,201,-58,561,2451,49661,1_F7,HSC
130055,93610,86260,122,40,1998,1855,1833,640,90,23,564,2414,49448,1_F8,HSC
121131,85423,99580,239,164,6878,3470,732,681,283,31,314,1092,48870,1_F9,HSC
138596,88917,95576,319,108,6040,5061,649,491,103,80,386,1409,48432,1_F10,HSC
73426,79906,86217,192,49,3276,1563,231,719,179,-43,458,1226,47303,1_F11,HSC
156042,91968,95560,94,17,3081,588,1449,762,154,328,639,1429,47009,1_F12,HSC
109937,85869,72429,224,97,4688,951,1529,956,119,205,299,1437,54968,1_G1,HSC
120658,91280,82826,186,126,4319,1384,1362,337,194,81,418,2004,55293,1_G2,HSC
110892,90881,87511,-40,90,6094,1074,1608,113,148,-15,356,2148,55746,1_G3,HSC
144297,90712,98807,62,192,3733,511,976,154,263,56,495,1022,56213,1_G4,HSC
129787,88039,83254,206,117,3755,750,861,484,186,79,423,1050,56681,1_G5,HSC
135939,89893,108913,328,150,7429,583,790,798,264,80,500,1142,57449,1_G6,HSC
147466,90178,92459,213,85,4999,3079,1255,154,172,44,387,1480,57853,1_G7,HSC
115340,91248,104466,407,326,6472,456,514,865,165,144,430,864,58250,1_G8,HSC
95818,84816,88128,234,-97,4532,2977,340,640,31,260,165,1210,58448,1_G9,HSC
147269,92068,110637,-38,97,7467,1534,2027,137,254,179,500,2142,59582,1_G10,HSC
147733,92515,70957,230,55,3797,1317,973,842,166,157,396,1626,59830,1_G11,HSC
146068,90385,96180,213,37,3433,990,481,728,182,57,447,1196,60232,1_G12,HSC
160694,99070,104899,92,188,4025,1318,920,304,243,169,479,1473,68837,1_H1,HSC
135537,97499,103445,227,99,3046,2445,1217,438,103,32,551,2127,67815,1_H2,HSC
130528,88888,69926,71,45,4271,1926,779,642,27,-96,469,2160,67466,1_H3,HSC
111936,91518,121086,301,156,7044,162,921,839,185,114,428,1125,67247,1_H4,HSC
122041,83706,78000,77,129,4361,1232,451,642,205,342,309,603,66100,1_H5,HSC
177476,99700,63189,86,62,3786,937,821,421,251,127,573,1447,64599,1_H6,HSC
146355,91693,91254,97,89,3946,1265,820,866,151,671,369,1285,64001,1_H7,HSC
79511,83527,100239,278,154,2514,2595,335,871,265,52,574,2409,63476,1_H8,HSC
116533,93362,103829,185,122,4999,1279,939,441,109,755,363,939,62997,1_H9,HSC
121013,85991,86960,58,56,3818,788,1704,721,115,16,343,980,62798,1_H10,HSC
133055,91159,110079,16,322,4108,617,1946,457,328,64,519,2155,61075,1_H11,HSC
122935,93914,80802,24,66,3568,2464,766,121,128,3,594,1946,60640,1_H12,HSC
167755,97510,89471,170,13,4283,4416,1604,180,162,118,450,1560,1714,2_A1,HSC
161594,96842,79936,206,104,3370,354,235,608,107,159,310,1502,2090,2_A2,HSC
179750,102541,122095,103,48,3905,704,1285,660,229,0,450,3070,2462,2_A3,HSC
126422,87516,100728,136,118,3869,1041,626,627,275,776,290,1787,3056,2_A4,HSC
153157,90837,122037,124,233,4815,3005,1876,386,207,-51,444,1988,3272,2_A5,HSC
132261,87265,88382,220,42,4120,2913,756,780,185,18,325,988,3520,2_A6,HSC
144548,92026,92143,26,111,2167,3194,1462,637,158,134,477,2007,4512,2_A7,HSC
110788,87558,65210,81,41,2651,5828,696,758,11,-25,539,1972,6181,2_A8,HSC
128511,85556,82146,75,315,4533,174,771,786,227,146,330,692,8717,2_A9,HSC
111348,94804,113338,341,68,6118,923,628,531,232,49,505,853,8929,2_A10,HSC
93928,87116,98425,198,74,3971,952,1817,873,219,13,468,2462,9145,2_A11,HSC
129074,86743,92555,58,92,2857,2059,1394,681,268,67,373,1913,9385,2_A12,HSC
130906,88266,78052,109,109,4456,1919,1354,154,85,-2,366,1920,18055,2_B1,HSC
117794,88937,102058,128,36,2880,1911,886,494,123,80,414,1571,17825,2_B2,HSC
104935,88813,73037,-25,-3,2530,659,626,122,-5,46,428,1834,17570,2_B3,HSC
150854,92250,82222,122,30,3034,2121,1032,441,67,132,343,1562,17272,2_B4,HSC
111765,89054,121610,227,137,5054,2175,1907,551,119,111,396,1834,16965,2_B5,HSC
87334,85104,97700,227,91,3427,1242,1324,190,173,42,448,1864,16715,2_B6,HSC
116442,89508,100385,166,178,3676,149,632,868,204,87,310,825,14405,2_B7,HSC
132339,93310,83877,-18,66,1698,3363,543,533,161,26,443,1371,14121,2_B8,HSC
151912,95038,95907,322,104,5701,6048,1088,183,215,40,526,989,13887,2_B9,HSC
144304,91343,94741,3,37,2189,135,1114,651,124,45,313,916,12402,2_B10,HSC
125604,90886,76489,97,106,4890,1511,3141,276,122,155,325,2007,12134,2_B11,HSC
144657,89479,136483,-2,115,3122,2404,987,634,159,32,430,1836,10959,2_B12,HSC
150623,90410,81700,258,14,5047,790,908,200,104,57,324,1930,18254,2_C1,HSC
117803,90575,81301,123,54,2744,3939,1019,600,124,164,358,2222,18439,2_C2,HSC
145075,88943,83168,155,100,2967,859,1198,277,160,82,386,1519,18638,2_C3,HSC
145529,89625,124331,250,103,3609,3275,1036,482,248,49,630,1838,18893,2_C4,HSC
120984,90435,89179,82,100,5902,651,1794,272,153,114,537,3137,21349,2_C5,HSC
125045,88387,84594,131,119,4214,3877,1885,172,142,103,362,2549,21782,2_C6,HSC
130195,92704,89035,-25,99,2840,2525,1392,844,252,92,351,1438,24134,2_C7,HSC
126741,94107,137868,419,313,5911,151,1630,835,129,124,386,1056,24574,2_C8,HSC
142209,87969,120689,205,84,4763,4629,1252,596,194,-20,483,1722,25410,2_C9,HSC
148826,88017,95177,188,56,5360,1766,1574,223,76,115,428,2287,26096,2_C10,HSC
166478,95630,104213,116,18,2506,980,887,583,160,125,373,2017,27548,2_C11,HSC
167276,95020,127897,227,213,6870,3114,2350,646,276,-19,551,2046,28514,2_C12,HSC
137145,90047,87874,5,47,5026,2246,1709,130,158,150,402,1522,38147,2_D1,HSC
121448,86033,66826,137,45,5000,832,2554,187,177,26,479,1820,37915,2_D2,HSC
117297,87921,80908,207,57,2731,1594,900,301,167,-36,377,1728,37634,2_D3,HSC
138584,90877,100976,124,29,5294,2110,1027,670,135,110,404,1660,37367,2_D4,HSC
163809,90310,96647,82,233,4439,2353,1805,865,169,84,423,2109,36215,2_D5,HSC
141890,92006,71297,183,190,3511,860,1013,660,159,147,387,1193,34105,2_D6,HSC
146648,90390,107968,68,19,3295,5786,2193,30,154,44,345,631,33661,2_D7,HSC
163495,97039,105164,174,73,3933,6797,937,692,216,-39,524,2348,33441,2_D8,HSC
139049,88259,90299,101,191,2166,769,126,563,198,171,426,1933,31863,2_D9,HSC
85470,91591,89141,-72,64,3337,449,986,761,143,23,315,942,31332,2_D10,HSC
180452,100404,97090,140,274,3862,510,821,909,117,21,339,1137,30587,2_D11,HSC
137003,89394,92619,7,171,4518,4654,1794,506,325,2,515,1802,29839,2_D12,HSC
137522,91278,68295,216,114,2837,1267,300,525,224,5,327,1044,38514,2_E1,HSC
147275,90547,85715,87,73,3690,868,350,669,220,14,327,1111,39756,2_E2,HSC
118900,94543,74395,35,23,4226,3071,1169,228,123,-45,410,1880,40908,2_E3,HSC
142460,87729,74405,180,49,2216,682,415,612,56,264,268,1368,41279,2_E4,HSC
139668,88012,98193,-4,93,3947,6979,2441,391,135,170,252,913,41670,2_E5,HSC
92225,88690,126368,196,109,3726,1159,865,337,41,-48,209,1782,41862,2_E6,HSC
129107,86642,78266,286,23,4102,985,634,688,139,123,341,931,42144,2_E7,HSC
130509,87477,109393,188,37,2259,992,646,172,143,33,340,438,42415,2_E8,HSC
93733,85851,104511,177,148,5872,1028,1296,952,184,227,264,1130,42751,2_E9,HSC
62633,82691,86427,-32,206,3924,360,1640,644,137,1806,187,429,44010,2_E10,HSC
121383,92313,69873,108,18,2902,151,389,295,124,9,393,1757,44420,2_E11,HSC
90355,87292,139530,198,125,4634,6215,767,353,192,40,480,2204,44850,2_E12,HSC
74354,81057,88138,67,118,2550,3644,878,831,338,164,415,2009,54184,2_F1,HSC
144679,100075,85166,294,125,4497,8885,623,605,251,31,599,2837,53895,2_F2,HSC
145868,89761,103640,260,25,4955,4294,1384,441,206,95,468,1259,52812,2_F3,HSC
83829,82408,109362,97,164,2341,3469,1667,258,330,2,527,2838,52350,2_F4,HSC
137820,87280,77287,180,26,3304,360,380,625,103,102,306,1046,51181,2_F5,HSC
142983,89044,102677,46,80,3608,2152,1068,674,115,41,353,1508,50764,2_F6,HSC
129744,83757,86501,37,7,1402,144,1025,197,131,-29,278,882,50433,2_F7,HSC
168517,104772,102919,294,3,6180,3675,1018,253,181,18,373,2038,48821,2_F8,HSC
118350,89530,98222,-26,13,2359,1481,962,712,203,64,297,1096,48532,2_F9,HSC
166275,97145,91773,173,1,3545,563,573,798,30,82,349,747,47412,2_F10,HSC
112635,85436,84997,52,82,3180,252,642,902,134,314,348,1836,46975,2_F11,HSC
144677,92648,100826,160,95,4854,1919,1099,447,165,13,407,2362,45236,2_F12,HSC
98598,84520,89174,129,127,2597,2517,549,359,307,88,521,2056,55038,2_G1,HSC
167231,95592,110919,165,79,7873,3399,2848,245,229,59,553,2436,55678,2_G2,HSC
134461,91055,88657,103,98,2878,129,336,505,147,41,393,436,55986,2_G3,HSC
124133,92174,93561,153,115,5392,3966,641,638,49,87,393,1916,57382,2_G4,HSC
147612,89445,77716,136,64,4877,873,1571,332,81,134,392,1145,57779,2_G5,HSC
127796,91357,95120,159,66,2513,7484,966,312,206,-48,528,1689,57987,2_G6,HSC
109781,85249,66543,222,148,3790,336,528,273,50,-43,522,1629,58725,2_G7,HSC
122869,88472,95040,-90,105,7038,1157,1805,95,167,98,457,2047,59473,2_G8,HSC
151373,92224,75726,89,15,2999,157,423,662,92,-3,153,846,60220,2_G9,HSC
119169,87140,76050,155,98,2780,2340,472,157,79,119,439,1800,61007,2_G10,HSC
106228,88707,147039,54,118,4712,780,1422,937,250,81,440,1040,61836,2_G11,HSC
111936,89897,123515,233,60,3775,2263,1050,600,110,51,301,1438,62852,2_G12,HSC
147559,89233,79397,92,81,3469,1726,1140,38,118,79,339,1128,71295,2_H1,HSC
144916,90268,113465,401,163,6383,2821,1401,439,283,22,505,1219,70885,2_H2,HSC
146444,89003,74684,185,-58,3548,1779,562,345,115,64,331,1207,70382,2_H3,HSC
121151,95123,112888,305,88,3977,1826,868,323,126,259,342,733,69507,2_H4,HSC
171494,99258,85608,45,90,4199,4639,2071,227,140,83,459,2378,69149,2_H5,HSC
102505,87379,78253,217,213,5428,709,538,565,146,120,340,1314,68552,2_H6,HSC
133124,82501,68164,120,134,3989,2307,1170,262,293,-20,364,1261,68147,2_H7,HSC
107336,92685,91390,31,77,3194,1410,863,748,117,20,357,1355,67355,2_H8,HSC
127651,82746,52874,90,100,3370,1448,1339,288,148,79,302,1436,65438,2_H9,HSC
134433,96479,83661,111,59,3515,3014,1344,163,156,115,444,1693,65206,2_H10,HSC
138748,88247,91869,183,196,4768,2721,755,510,180,68,286,747,64359,2_H11,HSC
129738,87712,77387,80,24,3968,235,2359,30,98,88,359,1199,63474,2_H12,HSC
143175,90404,74726,364,17,5904,3357,3111,201,152,84,345,1941,1539,3_A1,HSC
141601,94154,93439,69,60,4508,2666,1154,421,207,3,639,2726,2110,3_A2,HSC
132541,87515,80622,221,59,3178,3210,712,492,100,51,358,1542,3273,3_A3,HSC
161821,104622,106561,161,82,4949,134,466,442,183,-57,394,1664,5838,3_A4,HSC
154290,92505,124825,94,1,2630,1409,788,670,141,58,443,1477,7194,3_A5,HSC
141917,86689,96997,125,91,3548,2167,1004,48,229,86,519,1758,7557,3_A6,HSC
143446,88795,85276,106,75,3984,690,740,566,140,177,414,1569,7868,3_A7,HSC
170605,96192,74566,54,133,3981,2156,1087,542,136,70,358,1479,8178,3_A8,HSC
151314,91584,94048,335,214,4867,733,609,524,164,150,478,455,10284,3_A9,HSC
162509,93028,114614,245,93,3526,497,514,697,226,37,508,2221,11275,3_A10,HSC
132665,93353,78961,25,12,3356,2302,1023,234,220,-23,464,1350,12168,3_A11,HSC
141769,92687,82854,208,-38,3146,823,397,370,110,17,319,1587,12658,3_A12,HSC
149065,95801,121448,120,327,6983,216,1520,402,282,138,439,921,20570,3_B1,HSC
131185,92179,120920,45,80,6508,1202,2158,289,56,84,482,2878,20138,3_B2,HSC
135670,88968,83130,43,60,2811,961,628,774,128,59,417,1232,19459,3_B3,HSC
196513,108170,146743,45,101,5514,2472,5407,555,231,243,681,1916,18005,3_B4,HSC
99234,87246,90105,385,-6,3755,1302,635,463,-5,31,244,643,17319,3_B5,HSC
106353,91827,131754,71,-12,2995,4047,1007,698,139,132,288,1787,16858,3_B6,HSC
129229,82034,98427,287,48,4607,5634,1604,531,240,-25,428,1524,16446,3_B7,HSC
134034,87102,79457,193,179,3502,160,175,297,80,-18,333,1447,15222,3_B8,HSC
82678,81292,104273,206,158,2677,11722,1137,827,298,4,420,1844,14978,3_B9,HSC
129963,93722,106370,228,114,5383,7231,1595,386,148,90,488,2077,14134,3_B10,HSC
135642,96841,127272,257,310,3879,144,1223,920,255,239,372,720,13279,3_B11,HSC
93303,89161,119886,197,298,4859,110,1742,360,6,887,302,322,13036,3_B12,HSC
180944,102057,121535,259,115,5723,1923,1853,923,301,99,469,1543,21255,3_C1,HSC
123536,84722,86368,205,2,1737,404,477,84,101,-16,342,954,22038,3_C2,HSC
157426,97070,85858,203,49,4623,520,4429,35,131,19,387,1862,22457,3_C3,HSC
98820,88011,123137,-24,117,3550,138,1204,831,96,77,276,780,23504,3_C4,HSC
118019,92695,86057,159,52,4472,2813,1032,156,159,22,636,2459,23751,3_C5,HSC
145903,97310,108701,133,19,4354,4370,1195,672,298,-81,536,2000,24321,3_C6,HSC
142765,89619,84207,325,136,5055,136,634,834,150,1401,374,1288,24853,3_C7,HSC
114004,87486,122556,178,57,5663,5495,1129,688,132,98,390,2352,25524,3_C8,HSC
148273,95782,107883,69,98,2985,3527,1019,98,247,57,555,1649,26095,3_C9,HSC
136267,90797,88606,-26,142,4614,714,2247,609,146,129,355,1050,27503,3_C10,HSC
150042,91458,84487,37,138,4560,562,1122,98,146,161,265,1606,28023,3_C11,HSC
78527,83015,106850,152,39,2640,1328,810,736,216,-12,464,2391,29230,3_C12,HSC
113696,94723,86364,173,151,3489,11204,557,412,186,51,574,1580,43318,3_D1,HSC
133051,95118,145258,389,118,5442,8633,3392,448,186,63,396,1974,42062,3_D2,HSC
127556,88138,86975,207,121,4378,1235,1005,342,226,80,249,466,40735,3_D3,HSC
85604,82480,100503,-9,101,2233,6613,1157,602,273,44,245,1450,40525,3_D4,HSC
138243,88432,64906,52,48,3402,887,1925,421,163,137,349,1116,37879,3_D5,HSC
130024,94201,76213,83,44,2700,4169,844,591,143,24,470,1883,36607,3_D6,HSC
22917,71792,29531,62,69,4711,4928,1956,70,320,52,269,273,34009,3_D7,HSC
199464,103854,111773,82,141,4595,958,2422,829,207,71,474,1689,33351,3_D8,HSC
151625,89483,92790,194,208,3545,183,905,841,61,32,257,645,33018,3_D9,HSC
127918,97887,85838,-77,122,7016,5242,1840,276,176,31,441,1964,32772,3_D10,HSC
170472,100490,105744,62,112,5740,1664,2327,32,179,92,520,1921,31734,3_D11,HSC
117166,88052,102372,-97,39,3670,5548,1187,418,183,25,292,999,30290,3_D12,HSC
151831,94462,92995,92,58,2783,187,1057,52,92,207,505,1586,44446,3_E1,HSC
136860,90695,82804,74,120,3635,4833,1825,623,150,39,323,2026,45008,3_E2,HSC
126399,90801,81255,182,59,3871,345,645,749,207,14,274,1281,45736,3_E3,HSC
84794,91710,100999,124,112,3150,2350,577,686,208,-6,371,1988,46240,3_E4,HSC
116610,85936,77404,107,95,3497,1374,1017,492,65,-8,381,2504,46659,3_E5,HSC
113340,88786,90154,44,122,5096,1421,1585,208,80,64,443,1466,47749,3_E6,HSC
146247,94464,142160,97,96,4588,3495,2417,844,168,42,496,1883,48202,3_E7,HSC
145925,90395,95347,141,119,5015,148,1193,217,154,24,379,1631,49201,3_E8,HSC
96882,85118,94229,28,97,3502,1365,1738,587,108,108,298,2045,51252,3_E9,HSC
106690,88061,90984,188,18,4939,478,1630,863,137,100,234,1276,51935,3_E10,HSC
108271,91467,104554,295,266,5387,1082,815,788,134,660,258,905,52987,3_E11,HSC
150986,90623,131025,116,79,3925,2164,1337,699,124,65,401,1692,54172,3_E12,HSC
115847,91678,115434,147,37,5603,5115,1561,97,205,93,487,1884,62230,3_F1,HSC
126870,83016,86237,-18,-25,5799,7644,1520,492,177,47,329,1709,61740,3_F2,HSC
145740,94294,86745,177,120,2649,4527,678,199,222,11,443,1558,60737,3_F3,HSC
117268,82418,93897,76,100,4754,3391,1671,717,171,58,430,1278,60365,3_F4,HSC
153672,93251,120955,190,103,4727,2553,845,674,137,-18,434,893,60017,3_F5,HSC
130008,85939,52392,234,22,2623,4033,353,334,174,28,435,484,59644,3_F6,HSC
149675,92069,135066,181,124,6271,1959,1580,609,148,-42,550,2692,59258,3_F7,HSC
98878,90278,142134,203,294,5064,350,928,613,197,410,463,1007,58893,3_F8,HSC
76794,80456,102251,176,105,3409,2849,618,511,229,-20,637,2323,58439,3_F9,HSC
157374,91659,106919,32,116,3539,6076,2196,580,206,50,369,1057,57748,3_F10,HSC
175593,98741,84722,203,58,3620,803,2164,109,133,77,375,1380,56610,3_F11,HSC
147196,91232,89577,128,75,5047,708,679,372,66,63,484,1349,54713,3_F12,HSC
116128,88110,85561,-19,119,5133,2012,2151,279,145,100,464,2664,62639,3_G1,HSC
153655,91312,112283,74,135,3652,2830,659,713,313,28,425,1711,63332,3_G2,HSC
133504,88140,82064,98,240,2632,3297,445,253,202,112,395,1426,63584,3_G3,HSC
156806,98061,110201,94,82,3350,629,699,524,155,73,199,1000,63822,3_G4,HSC
142305,88439,98096,82,28,2489,382,1272,402,128,72,362,2065,64236,3_G5,HSC
123532,87559,85982,88,68,3633,627,2080,139,114,71,354,2201,64978,3_G6,HSC
143933,88242,96343,185,116,2560,2012,437,672,233,-2,323,1324,66147,3_G7,HSC
160440,103652,116739,287,17,4636,1447,893,121,26,-42,319,1446,68313,3_G8,HSC
122389,86730,106952,105,-19,4917,11105,1244,393,168,82,301,1534,69289,3_G9,HSC
130403,88629,119214,209,160,4970,4338,959,888,196,-4,475,1687,70644,3_G10,HSC
154429,91125,112361,98,81,3078,412,1130,621,235,156,516,1794,70941,3_G11,HSC
139964,87825,77157,231,2,3299,1579,708,226,103,124,365,248,71215,3_G12,HSC
164530,92324,82678,278,84,3958,1466,2286,211,257,150,384,2366,79520,3_H1,HSC
148650,97555,97019,123,119,4768,1183,1908,713,157,173,424,2969,79323,3_H2,HSC
153973,90836,79321,161,175,2308,368,1418,66,127,106,456,1690,79073,3_H3,HSC
147183,90624,108325,106,8,5402,3271,2058,90,180,79,564,2489,78821,3_H4,HSC
151758,91776,95791,326,122,3308,3352,536,870,184,77,329,2113,78170,3_H5,HSC
144606,92470,86410,-18,61,3980,1964,1048,448,7,22,354,1958,76952,3_H6,HSC
199951,110765,123980,91,96,2497,269,789,568,153,69,460,1268,76586,3_H7,HSC
104248,89241,143248,125,27,3825,4128,1001,758,96,37,314,2002,76180,3_H8,HSC
148901,92353,73207,304,218,3497,6785,1074,675,132,45,301,1470,75370,3_H9,HSC
103684,80728,147831,91,19,1804,1513,1003,308,117,109,316,1061,74434,3_H10,HSC
133787,91944,77155,237,7,4850,475,908,379,133,95,275,1098,73297,3_H11,HSC
131522,91864,68197,64,142,3630,623,438,373,-32,-72,448,939,72734,3_H12,HSC
144746,91151,97883,111,82,6720,3369,2602,385,143,194,439,2099,1702,4_A1,HSC
104355,88715,71354,38,58,3099,1095,1029,177,103,1,470,1741,3352,4_A2,HSC
155092,92412,96797,35,50,4966,8332,3083,291,54,12,359,2037,5086,4_A3,HSC
131106,88599,94966,51,129,3929,1483,1409,892,294,275,632,1437,5420,4_A4,HSC
144885,94113,115455,250,160,5622,4261,2207,887,165,-32,463,2302,5878,4_A5,HSC
73718,83050,91987,170,168,3160,4470,689,114,297,4,441,1887,6679,4_A6,HSC
141506,90721,65790,160,-22,3994,293,2250,135,148,62,326,2698,9507,4_A7,HSC
147503,88146,70347,105,-57,2723,1494,756,619,102,145,255,2181,10386,4_A8,HSC
125754,89509,93621,58,29,4847,4548,747,767,29,79,294,1987,10589,4_A9,HSC
78079,87981,115116,280,90,3850,598,918,667,73,76,408,1363,10921,4_A10,HSC
124969,90446,132744,135,137,3274,1288,404,868,191,105,413,1325,11515,4_A11,HSC
144996,91641,99471,162,170,3535,5925,1072,317,145,60,416,1551,11815,4_A12,HSC
136536,99342,112329,306,100,6519,3160,2962,626,210,142,497,1764,18784,4_B1,HSC
101026,85360,140580,129,225,3383,719,542,675,259,105,371,1019,18534,4_B2,HSC
160049,94577,75877,42,57,2467,1561,382,606,221,80,404,1313,18147,4_B3,HSC
100694,82802,88767,-4,85,2661,1507,1265,740,34,62,241,1322,17812,4_B4,HSC
128176,86620,94148,192,110,5722,701,1886,186,126,262,328,734,17073,4_B5,HSC
104889,90792,115754,108,326,7372,2212,1162,469,137,160,316,943,15865,4_B6,HSC
147848,99984,126894,112,230,5510,451,1771,842,173,192,610,671,15671,4_B7,HSC
131744,89255,99774,160,222,3769,2939,751,357,291,137,510,1622,14392,4_B8,HSC
133969,88821,96415,81,99,4284,2464,800,643,143,107,355,1005,13684,4_B9,HSC
96367,82982,48353,56,65,2364,378,386,226,83,40,279,706,12623,4_B10,HSC
146051,100392,117142,83,72,4813,5628,1464,82,252,49,557,2557,12285,4_B11,HSC
130775,90831,66156,129,251,6040,906,3222,164,68,231,459,994,12008,4_B12,HSC
