Plate_well,exp,fcs.name,SingleCells.count,NonEry.count,CD56neg.count,CD14neg.count,IntermediateNeut.count,IntermediateNeut.freq.of.CD14neg,MatureNeut.count,MatureNeut.freq.of.CD14neg,MatureNeut.FSC.A,MatureNeut.SSC.A,EarlyNeut.count,EarlyNeut.freq.of.CD14neg,Mono.count,Mono.freq.of.NonEry,Mono.freq.of.CD56neg,Mono.CD11b.Median,Mono.CD14.Median,Mono.FSC.A,Mono.SSC.A,Mono2.count,Mono2.freq.of.NonEry,Mono2.freq.of.CD56neg,Mono2.CD11b.Median,Mono2.CD14.Median,Mono2.FSC.A,Mono2.SSC.A,Ery.count,IntermediateNeut.FSC.A,IntermediateNeut.SSC.A,EarlyNeut.FSC.A,EarlyNeut.SSC.A,CD66bNeut.CD11b.Median,CD66bNeut.CD66b.Median,CD66bNeut.FSC.A,CD66bNeut.SSC.A,TrueFalse,Sort_id,FSC-A,FSC-W,SSC-A,CD33,CD45RA,CD34,CD90,CD49f,CD38,CD19,Live/Dead,CD7/10,CD45,Time,Cell_seeded
1_B7,AML3,AML_151044_Plate1_B7_B07_016.fcs,21526,21358,21119,14352,73,0.51,3,0.021,168512,86976,10205,71.1,3028,14.2,14.3,1924,4016,169344,56000,3025,14.2,14.3,1924,4016,169344,56000,0,173824,45184,173056,44032,1076,2908,181248,53248,TRUE,1_B7,66698,82217,18129,338,33,1176,125,2097,0,-7,-55,303,1613,5234,HSC
1_B8,AML3,AML_151044_Plate1_B8_B08_017.fcs,26943,25094,24690,15864,50,0.32,0,0,NA,NA,4437,28,4927,19.6,20,2148,2922,192512,72384,4926,19.6,20,2148,2922,192512,72384,6,177792,42304,180800,45440,1386,3269,175808,53632,TRUE,1_B8,65842,84225,12671,137,21,1282,-16,1973,-45,25,0,350,2039,5028,HSC
1_B9,AML3,AML_151044_Plate1_B9_B09_018.fcs,53269,49489,48722,36633,4863,13.3,341,0.93,240576,68160,17632,48.1,6987,14.1,14.3,3619,2136,223296,103488,6960,14.1,14.3,3604,2136,222976,103296,14,196416,44160,185920,45120,760,4808,200960,47104,TRUE,1_B9,72586,88171,15103,70,0,1668,28,441,-160,31,-36,336,3007,4823,HSC
1_B10,AML3,AML_151044_Plate1_B10_B10_019.fcs,5206,4606,4551,4263,13,0.3,4,0.094,223232,52480,2332,54.7,34,0.74,0.75,1860,2614,231488,86848,34,0.74,0.75,1860,2614,231488,86848,0,170176,38784,192512,47424,1242,3277,186240,58304,TRUE,1_B10,75924,89932,15473,247,43,1254,19,1486,-84,47,14,377,2218,4624,HSC
1_B12,AML3,AML_151044_Plate1_B12_B12_020.fcs,4172,3770,3722,3522,18,0.51,3,0.085,181888,99008,2880,81.8,23,0.61,0.62,1867,4299,261184,107840,23,0.61,0.62,1867,4299,261184,107840,0,182208,52480,195840,52480,1218,2950,205632,68096,TRUE,1_B12,72545,87378,13875,30,18,1220,53,1003,-24,20,24,405,2545,4103,HSC
1_C1,AML3,AML_151044_Plate1_C1_C01_021.fcs,5658,2504,2413,2381,1,0.042,1,0.042,171584,130752,7,0.29,2,0.08,0.083,4893,1211,160448,77248,2,0.08,0.083,4893,1211,160448,77248,117,262080,172672,162688,54912,1576,6384,262080,166656,TRUE,1_C1,78780,88146,15195,81,40,1175,202,466,-129,35,24,327,2124,6650,HSC
1_C2,AML3,AML_151044_Plate1_C2_C02_022.fcs,302,291,235,40,0,0,0,0,NA,NA,2,5,185,63.6,78.7,8620,4862,262080,147968,185,63.6,78.7,8620,4862,262080,147968,0,NA,NA,173888,43392,2193,5238,55040,44096,TRUE,1_C2,99064,97833,17862,330,46,1903,94,1407,-97,21,-52,565,1809,6847,HSC
1_C4,AML3,AML_151044_Plate1_C4_C04_023.fcs,9776,9695,9531,5506,99,1.8,42,0.76,214720,54912,664,12.1,3156,32.6,33.1,4219,4142,244288,101952,3152,32.5,33.1,4219,4142,244288,101888,2,181888,38912,182144,45056,1121,6200,192192,50176,TRUE,1_C4,64370,84723,13043,53,38,1593,305,904,-146,14,-74,308,1470,7259,HSC
1_C6,AML3,AML_151044_Plate1_C6_C06_024.fcs,19692,19439,19203,7291,564,7.74,190,2.61,235072,67328,1302,17.9,7802,40.1,40.6,4662,2744,255296,128000,7763,39.9,40.4,4652,2766,254976,127744,0,195200,45376,189824,49856,1150,5184,217408,62208,TRUE,1_C6,79603,90139,18757,235,11,1344,-63,1733,-37,68,-49,387,1703,7706,HSC
1_C7,AML3,AML_151044_Plate1_C7_C07_025.fcs,3532,3450,3413,2392,562,23.5,112,4.68,227008,64704,1274,53.3,362,10.5,10.6,2860,3785,186496,76032,362,10.5,10.6,2860,3785,186496,76032,1,193088,46464,185152,44672,986,4614,204864,54208,TRUE,1_C7,68358,84478,12397,133,36,1075,2,570,-52,37,-56,456,3290,7922,HSC
1_C8,AML3,AML_151044_Plate1_C8_C08_026.fcs,14835,14488,14223,7451,36,0.48,1,0.013,211328,117248,4142,55.6,3794,26.2,26.7,2033,3273,187008,70208,3794,26.2,26.7,2033,3273,187008,70208,0,166208,39744,171904,42816,1400,3128,201024,64384,TRUE,1_C8,67718,83884,11608,129,3,1062,99,618,-103,-1,-1,236,2372,8121,HSC
1_C9,AML3,AML_151044_Plate1_C9_C09_027.fcs,8392,7937,7785,5633,48,0.85,3,0.053,204928,60672,4039,71.7,1281,16.1,16.5,2438,3532,178944,73664,1281,16.1,16.5,2438,3532,178944,73664,19,194560,51456,180736,44864,1174,3214,202112,63168,TRUE,1_C9,72926,85510,13594,152,40,1181,31,1424,-69,0,5,324,1823,8323,HSC
1_C11,AML3,AML_151044_Plate1_C11_C11_028.fcs,17085,16799,16535,11526,6963,60.4,1430,12.4,234944,64448,1877,16.3,3307,19.7,20,5774,2524,248064,128448,3288,19.6,19.9,5774,2539,247872,128384,0,195648,45312,171392,46912,828,14464,200512,47872,TRUE,1_C11,76348,87530,18052,483,12,1201,213,3576,4,42,-72,633,3412,8774,HSC
1_C12,AML3,AML_151044_Plate1_C12_C12_029.fcs,12219,12015,11817,7394,2541,34.4,799,10.8,205888,70016,354,4.79,2410,20.1,20.4,6377,3345,262080,163264,2355,19.6,19.9,6321,3427,262080,162048,0,183744,48064,171456,47232,923,15893,193344,55936,TRUE,1_C12,83067,90359,16911,215,55,2036,952,3277,44,10,-156,392,3541,9011,HSC
1_D1,AML3,AML_151044_Plate1_D1_D01_030.fcs,7228,7185,6819,2148,788,36.7,191,8.89,224576,56256,800,37.2,3992,55.6,58.5,6120,5849,248896,126976,3986,55.5,58.5,6120,5862,248896,126976,0,189952,39872,181824,49472,890,8764,196352,43840,TRUE,1_D1,71569,85260,14444,213,23,1343,52,1598,-75,36,-85,311,2908,11574,HSC
1_D2,AML3,AML_151044_Plate1_D2_D02_031.fcs,5334,5328,5219,2959,6,0.2,0,0,NA,NA,194,6.56,1890,35.5,36.2,4066,4537,239616,104064,1887,35.4,36.2,4057,4537,239616,104000,0,201600,45824,173568,42624,2292,7050,87040,57152,TRUE,1_D2,69205,84521,11169,66,19,1092,387,773,-9,22,-65,354,2130,11358,HSC
1_D3,AML3,AML_151044_Plate1_D3_D03_032.fcs,52477,49951,49036,31853,46,0.14,2,0.00628,137152,26880,9605,30.2,7590,15.2,15.5,2037,3064,174464,64640,7584,15.2,15.5,2037,3064,174464,64640,22,173888,47040,164480,39296,1764,3891,173184,60224,TRUE,1_D3,74266,86804,13265,54,15,1316,352,784,-67,13,98,355,1568,11161,HSC
1_D5,AML3,AML_151044_Plate1_D5_D05_033.fcs,26705,24653,23882,13150,40,0.3,6,0.046,203264,54976,6722,51.1,4356,17.7,18.2,2387,3034,188544,78336,4351,17.6,18.2,2387,3034,188480,78208,41,155520,44672,152576,43712,1728,3891,196480,76544,TRUE,1_D5,67630,84946,14160,49,32,1129,163,736,-73,3,-111,299,1731,10735,HSC
1_D6,AML3,AML_151044_Plate1_D6_D06_034.fcs,33117,32109,31545,12733,60,0.47,9,0.071,221248,56128,7479,58.7,12877,40.1,40.8,2981,2305,207168,86784,12867,40.1,40.8,2981,2305,207168,86784,4,177920,42176,166976,41920,2270,4417,183104,57408,TRUE,1_D6,64413,82541,10884,105,32,795,58,1021,-67,4,-38,261,2238,10535,HSC
1_D7,AML3,AML_151044_Plate1_D7_D07_035.fcs,14774,14605,14253,9554,4610,48.3,482,5.05,227328,61312,3199,33.5,3025,20.7,21.2,5180,2033,228800,112064,3015,20.6,21.2,5169,2033,228480,111936,1,186368,40896,168384,40256,765,7899,190144,42752,TRUE,1_D7,75670,85969,15527,106,23,1501,7,1479,-162,10,-67,309,1557,10326,HSC
1_D9,AML3,AML_151044_Plate1_D9_D09_036.fcs,30031,20339,19806,13378,332,2.48,19,0.14,215680,60160,8735,65.3,4193,20.6,21.2,3663,4575,181568,76160,4184,20.6,21.1,3663,4566,181568,76160,509,182080,41088,177920,39744,884,3804,191424,48256,TRUE,1_D9,72788,85992,12479,142,10,799,-36,856,31,30,-53,268,1756,9925,HSC
1_D11,AML3,AML_151044_Plate1_D11_D11_037.fcs,1333,1290,1240,1126,4,0.36,0,0,NA,NA,231,20.5,31,2.4,2.5,1670,3476,195072,61824,31,2.4,2.5,1670,3476,195072,61824,0,153216,37440,171712,39808,1209,3921,166784,43008,TRUE,1_D11,71528,88398,17641,-43,-6,1171,32,1803,-62,13,-45,371,1516,9474,HSC
1_E1,AML3,AML_151044_Plate1_E1_E01_038.fcs,7901,7040,6854,4150,101,2.43,22,0.53,212032,76608,649,15.6,2191,31.1,32,5347,11773,200768,93376,2187,31.1,31.9,5347,11773,200768,93376,70,186688,42048,175616,44736,1366,5405,207296,70272,TRUE,1_E1,71908,85833,14238,174,33,1179,72,355,85,12,-35,306,1996,11810,HSC
1_E2,AML3,AML_151044_Plate1_E2_E02_039.fcs,5024,5015,4985,1958,4,0.2,0,0,NA,NA,875,44.7,2002,39.9,40.2,2301,4150,176704,66368,2002,39.9,40.2,2301,4150,176704,66368,0,136512,44992,167744,41472,2373,4262,76352,49984,TRUE,1_E2,69329,84920,12066,117,37,998,-15,1678,68,28,-27,360,1618,12031,HSC
1_E3,AML3,AML_151044_Plate1_E3_E03_040.fcs,6360,6291,6164,2013,408,20.3,29,1.44,218944,60288,1063,52.8,3603,57.3,58.5,5235,4343,205632,107584,3602,57.3,58.4,5235,4343,205632,107584,0,186432,43136,183296,43968,786,4909,191616,45696,TRUE,1_E3,74393,86392,14723,336,1,1324,26,1660,-65,25,-31,308,2051,12242,HSC
1_E4,AML3,AML_151044_Plate1_E4_E04_041.fcs,10087,9940,9805,2693,28,1.04,1,0.037,239232,61248,2405,89.3,6169,62.1,62.9,4585,3372,218304,100544,6160,62,62.8,4575,3372,218176,100544,0,192768,43776,183616,43328,1065,2979,204800,50112,TRUE,1_E4,71741,87261,10828,40,40,1272,45,702,-78,12,-54,122,1179,12510,HSC
1_E6,AML3,AML_151044_Plate1_E6_E06_042.fcs,5269,5190,5002,1215,276,22.7,82,6.75,223744,61376,322,26.5,3299,63.6,66,8639,5862,262080,184448,3283,63.3,65.6,8620,5900,262080,184256,1,184960,40320,177920,47872,912,7069,194624,46848,TRUE,1_E6,66634,85211,11379,-59,37,1056,12,1347,-32,15,-35,242,1598,12953,HSC
1_E7,AML3,AML_151044_Plate1_E7_E07_043.fcs,30474,27288,26694,10849,29,0.27,27,0.25,229568,60096,1281,11.8,10956,40.1,41,3583,2539,220032,106752,10926,40,40.9,3575,2544,219904,106624,42,191552,40768,183616,44992,2013,4417,229056,76928,TRUE,1_E7,70972,85727,12339,106,36,1016,17,1231,66,24,-46,229,1365,13160,HSC
1_E8,AML3,AML_151044_Plate1_E8_E08_044.fcs,5253,5176,5029,3091,1061,34.3,128,4.14,224704,65408,747,24.2,1561,30.2,31,4771,5202,189504,93248,1559,30.1,31,4761,5213,189504,93184,0,189312,43392,181248,41664,824,5622,194048,46848,TRUE,1_E8,69785,83299,12735,-51,57,1333,499,1066,-29,19,-7,436,1671,13401,HSC
1_E10,AML3,AML_151044_Plate1_E10_E10_045.fcs,11225,10046,9819,6866,4273,62.2,990,14.4,210112,62976,505,7.36,1894,18.9,19.3,6573,2442,262080,162176,1833,18.2,18.7,6573,2485,262080,162176,2,180544,45056,172608,51072,826,16686,185856,49728,TRUE,1_E10,75067,87411,13630,132,9,983,332,351,10,68,9,249,1527,13817,HSC
1_E11,AML3,AML_151044_Plate1_E11_E11_046.fcs,14227,12239,11982,6991,23,0.33,2,0.029,123200,31616,2844,40.7,3373,27.6,28.2,2128,3568,177280,67840,3373,27.6,28.2,2128,3568,177280,67840,0,182016,45952,178944,40832,1429,3221,197504,61760,TRUE,1_E11,73889,86575,12660,66,15,1224,239,1378,-123,-3,-27,300,1992,14014,HSC
1_E12,AML3,AML_151044_Plate1_E12_E12_047.fcs,42057,35417,34838,20984,26,0.12,1,0.00477,154368,39104,6730,32.1,6505,18.4,18.7,1928,2734,169024,70912,6504,18.4,18.7,1928,2734,169024,70912,22,162368,40320,174528,44352,1429,3190,177856,57344,TRUE,1_E12,73459,85401,13288,67,42,1134,-17,748,-59,16,42,265,1432,14255,HSC
1_F1,AML3,AML_151044_Plate1_F1_F01_048.fcs,15974,12132,11933,8933,452,5.06,129,1.44,225280,68736,1493,16.7,2042,16.8,17.1,4246,8486,192512,85888,2036,16.8,17.1,4228,8505,192448,85760,391,185344,40640,182720,44864,978,7145,199232,49856,TRUE,1_F1,72329,89986,12334,133,17,1111,-45,734,24,-7,32,187,1008,16939,HSC
1_F2,AML3,AML_151044_Plate1_F2_F02_049.fcs,44646,42863,42753,22738,56,0.25,1,0.0044,231872,84096,11625,51.1,12067,28.2,28.2,2373,3490,174656,64320,12065,28.1,28.2,2373,3490,174656,64384,11,198400,49152,175040,41664,1251,3120,206592,59264,TRUE,1_F2,73969,86351,14373,258,21,862,-102,1490,32,34,-17,371,1363,16744,HSC
1_F4,AML3,AML_151044_Plate1_F4_F04_050.fcs,7506,7473,7100,5605,82,1.46,5,0.089,208512,53760,5248,93.6,640,8.56,9.01,2686,2405,162816,61568,638,8.54,8.99,2686,2405,162816,61568,0,194368,42368,183872,41216,984,3143,200960,48128,TRUE,1_F4,72724,86697,13100,92,30,1316,83,1038,-172,11,-58,293,1641,16316,HSC
1_F6,AML3,AML_151044_Plate1_F6_F06_051.fcs,5405,5329,5134,2381,869,36.5,190,7.98,215936,56704,790,33.2,1956,36.7,38.1,6926,4934,262080,139968,1948,36.6,37.9,6926,4944,262080,140160,2,182592,40576,177792,44800,873,7792,188352,43456,TRUE,1_F6,78050,87936,14706,155,4,1511,16,1717,67,15,-50,428,2258,15819,HSC
1_F7,AML3,AML_151044_Plate1_F7_F07_052.fcs,16150,15782,15491,8551,114,1.33,100,1.17,210304,51072,2324,27.2,3845,24.4,24.8,2718,2519,191936,82368,3841,24.3,24.8,2718,2524,191936,82368,0,177664,35200,187648,44480,1432,3729,211136,53184,TRUE,1_F7,79284,87735,12775,286,5,1291,37,820,60,32,21,318,2190,15600,HSC
1_F9,AML3,AML_151044_Plate1_F9_F09_053.fcs,1116,1092,1069,186,0,0,1,0.54,229632,41344,54,29,730,66.8,68.3,3095,2391,218112,98624,730,66.8,68.3,3095,2391,218112,98624,0,NA,NA,171584,49792,3273,5742,252736,137152,TRUE,1_F9,72196,86095,17888,129,27,900,20,1886,43,17,-68,373,2256,15131,HSC
1_F10,AML3,AML_151044_Plate1_F10_F10_054.fcs,18946,17836,17301,15021,11368,75.7,2182,14.5,204352,60224,744,4.95,744,4.17,4.3,4389,2002,232768,110464,686,3.85,3.97,4416,2029,230912,109760,4,177152,43072,175552,45056,772,16927,180224,45632,TRUE,1_F10,77588,90233,17697,45,18,1586,25,979,-114,43,-42,434,2034,14898,HSC
1_F11,AML3,AML_151044_Plate1_F11_F11_055.fcs,10166,9059,8809,7096,52,0.73,3,0.042,191040,49472,4128,58.2,780,8.61,8.85,1842,3539,167424,58880,778,8.59,8.83,1842,3547,167360,58816,0,170240,39488,175744,39616,1127,3083,185536,51776,TRUE,1_F11,97102,94922,19822,272,11,1921,51,889,-124,55,-32,310,2653,14683,HSC
1_F12,AML3,AML_151044_Plate1_F12_F12_056.fcs,65487,48076,47168,35411,44,0.12,10,0.028,192000,62656,12303,34.7,4625,9.62,9.81,2068,2739,176960,73600,4623,9.62,9.8,2064,2739,176896,73600,16,175360,45248,174976,44032,1355,3574,201408,70016,TRUE,1_F12,78588,90107,15657,37,24,1306,239,1328,-128,31,-86,308,1818,14487,HSC
1_G1,AML3,AML_151044_Plate1_G1_G01_057.fcs,3889,3866,3850,3408,23,0.67,0,0,NA,NA,2537,74.4,20,0.52,0.52,1421,3561,227456,70208,20,0.52,0.52,1421,3561,227456,70208,0,206080,56512,188352,44480,1220,2825,216704,66432,TRUE,1_G1,80013,94091,17218,76,22,1368,28,2464,-26,62,-81,513,2558,17161,HSC
1_G2,AML3,AML_151044_Plate1_G2_G02_058.fcs,1093,1056,1034,469,0,0,0,0,NA,NA,8,1.71,536,50.8,51.8,11377,10271,262080,156096,531,50.3,51.4,11507,10364,262080,155712,1,NA,NA,199104,53184,2766,5622,95232,63616,TRUE,1_G2,70829,84908,13241,47,42,1294,0,1498,-22,57,-48,692,1329,17361,HSC
1_G3,AML3,AML_151044_Plate1_G3_G03_059.fcs,25632,12678,12452,9546,1723,18,3110,32.6,156352,44480,119,1.25,1804,14.2,14.5,8135,4903,232192,130944,1599,12.6,12.8,8135,5050,230080,129984,534,153216,35136,151232,41792,1421,23475,155712,42240,TRUE,1_G3,77737,89231,17059,90,13,1194,678,332,124,37,-4,331,1497,17602,HSC
1_G4,AML3,AML_151044_Plate1_G4_G04_060.fcs,52320,49951,49314,26969,3503,13,305,1.13,222336,64448,16159,59.9,17694,35.4,35.9,3170,4334,168960,74432,17684,35.4,35.9,3170,4334,168960,74432,34,189696,44928,177984,44160,796,4440,194944,47808,TRUE,1_G4,67956,85816,14334,26,11,1377,114,1672,-163,17,-52,385,1731,17816,HSC
1_G5,AML3,AML_151044_Plate1_G5_G05_061.fcs,7925,7822,7676,3496,861,24.6,91,2.6,227264,62976,2361,67.5,2755,35.2,35.9,3352,3761,185920,73920,2742,35.1,35.7,3352,3769,185984,73920,0,187136,42880,175488,43840,782,6663,191232,45056,TRUE,1_G5,64334,83259,13084,102,-2,1269,105,474,-16,-9,-12,172,1630,18035,HSC
1_G6,AML3,AML_151044_Plate1_G6_G06_062.fcs,8057,8019,7859,6413,3309,51.6,1728,26.9,184768,53568,43,0.67,759,9.47,9.66,4228,5462,204928,100224,717,8.94,9.12,4263,5787,202944,100352,0,167488,39104,162560,38208,996,14139,175168,45056,TRUE,1_G6,82030,89693,14577,149,31,973,-85,1232,6,48,31,249,2048,18238,HSC
1_G7,AML3,AML_151044_Plate1_G7_G07_063.fcs,33575,32620,31708,19102,39,0.2,9,0.047,200320,48192,2788,14.6,7162,22,22.6,2377,2524,191232,78400,7148,21.9,22.5,2377,2524,191168,78336,1,167680,35264,164160,41472,1825,4784,147008,52864,TRUE,1_G7,73577,84304,13185,139,48,1531,78,1138,-41,12,-80,379,2620,18478,HSC
1_G8,AML3,AML_151044_Plate1_G8_G08_064.fcs,17901,17694,17386,10274,552,5.37,49,0.48,225152,67456,8740,85.1,4688,26.5,27,2865,2283,189376,77120,4683,26.5,26.9,2865,2283,189376,77120,0,192000,46208,178240,44160,890,3757,196800,50048,TRUE,1_G8,73289,88983,14885,56,9,744,77,462,2,6,6,209,1946,18697,HSC
1_G9,AML3,AML_151044_Plate1_G9_G09_065.fcs,15519,14880,14615,8686,18,0.21,0,0,NA,NA,2980,34.3,3441,23.1,23.5,1957,3214,176832,64896,3440,23.1,23.5,1957,3214,176704,64896,8,159552,35072,167744,40960,2060,3911,84224,49344,TRUE,1_G9,70928,88894,12935,149,-1,1245,15,694,-113,6,7,173,1407,18894,HSC
1_G10,AML3,AML_151044_Plate1_G10_G10_066.fcs,7390,7313,7112,5569,3414,61.3,1917,34.4,169664,52480,101,1.81,726,9.93,10.2,6240,4585,262080,145408,648,8.86,9.11,6836,4701,262080,153920,0,162688,41664,157248,44544,943,26077,164736,45696,TRUE,1_G10,92216,93568,19947,92,22,1081,287,448,66,50,-52,328,1881,19096,HSC
1_G11,AML3,AML_151044_Plate1_G11_G11_067.fcs,16989,14114,13825,7733,934,12.1,66,0.85,222848,65216,2574,33.3,4158,29.5,30.1,3634,4108,173504,80896,4155,29.4,30.1,3641,4108,173568,80896,69,189376,46592,179520,46848,760,5077,193792,50112,TRUE,1_G11,58274,83670,19245,221,38,1811,17,1693,-86,39,-26,273,2413,19293,HSC
1_G12,AML3,AML_151044_Plate1_G12_G12_068.fcs,3962,3922,3854,2315,942,40.7,188,8.12,214208,57024,1069,46.2,1095,27.9,28.4,4361,4976,233664,118336,1094,27.9,28.4,4334,4965,233344,118144,0,185088,42112,178752,45376,808,8526,189504,44416,TRUE,1_G12,72357,85997,11934,71,-6,1842,168,483,-64,27,-25,337,2167,19488,HSC
