sample_number,Exp,Day,Plate_well.x,Sort_id,Snumber,Depth,VAF.varscan,VAF.mutect,VAF.platypus,mean_VAF,DNMT3A,Plate_well.y,Single_cells,CD45.x,Ery,NK,Mono,Neut,CD66bneg,CD66bpos,CD14_MFI,CD15_MFI,CD66b_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,CD66bpos_freq,CD66bneg_freq,FSC,FSC-W,SSC,CD33,CD34,CD45RA,CD90,CD49f,CD38,CD19,CD7/10,Zom,CD45.y,Time,Sample,Cell_seeded
1045,LEUK14,21,2_G12,9_D12,S1045,5489,0.8859,0.962,NA,0.92395,DNMT3A Mut,2_G12,104,51,1,0,3,33,33,0,13481,80288,9534,879,67.3,6.12,53.5,0,100,122964,88815,33031,19,1324,-42,1939,408,209,2,-46,24,1191,11857,HSC,HSC
922,LEUK14,21,1_B8,1_F3,S922,6131,0.8232,0.858,NA,0.8406,DNMT3A Mut,1_B8,4638,4506,26,5,2618,69,66,3,28889,13083,6502,298,1.67,63.2,29.6,4.35,95.7,172077,94880,21865,-50,615,98,29,173,289,19,-46,26,413,28320,CD34+/CD38- OR GMP,HSC
1029,LEUK14,21,2_E10,8_E2,S1029,8065,0.4915,0.536,NA,0.51375,DNMT3A Mut,2_E10,6080,6038,0,0,372,5203,1077,3631,14054,92766,33037,107,87.4,6.25,4.61,69.8,20.7,181087,91311,36853,24,525,19,74,179,462,34,-18,35,1026,15338,HSC,HSC
1007,LEUK14,21,2_D7,7_F7,S1007,9587,0.425,0.44,NA,0.4325,DNMT3A Mut,2_D7,16952,16895,1,2,2986,733,713,10,2529,5486,3847,202,4.36,17.8,2.57,1.36,97.3,113094,82622,22039,37,521,-6,993,228,406,26,-33,18,554,22840,HSC,HSC
950,LEUK14,21,1_F11,4_E10,S950,9621,0.0179,0.022,NA,0.01995,DNMT3A WT,1_F11,544,156,0,0,4,110,19,84,17367,110959,39099,27,72.4,2.63,1.17,76.4,17.3,185963,101388,21516,237,1013,229,-74,345,2535,35,-73,93,1856,18526,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
912,LEUK14,21,1_H6,5_E10,S912,10059,0.0171,0.014,NA,0.015550000000000001,DNMT3A WT,1_H6,18517,17577,17,0,4865,5999,5989,7,12212,20862,6349,653,36,29.2,41.4,0.12,99.8,175827,90932,30479,34,966,-21,4689,390,363,22,-71,53,977,18701,CD34+/CD38- OR GMP,HSC
980,LEUK14,21,2_E3,7_H5,S980,10088,0.5879,0.644,NA,0.61595,DNMT3A Mut,2_E3,6292,6281,2,0,1091,198,177,12,2826,6972,5964,241,3.18,17.5,3.76,6.06,89.4,210003,104025,69399,181,1677,-5,1084,201,493,21,-17,297,1950,31364,HSC,HSC
889,LEUK14,21,1_A4,1_A7,S889,12162,0.5171,0.557,NA,0.53705,DNMT3A Mut,1_A4,6562,6524,2,2,2258,1047,820,190,5451,8794,6616,217,16.2,34.9,10.4,18.1,78.3,139705,85314,34273,-7,1151,-8,2427,586,349,-6,-34,39,1147,3603,CD34+/CD38- OR GMP,HSC
919,LEUK14,21,1_G7,4_H7,S919,12905,0.6073,0.652,NA,0.62965,DNMT3A Mut,1_G7,7090,6367,1,0,411,5456,245,5102,11095,66522,74793,48.8,86,6.48,0.36,93.5,4.49,135979,88188,36681,308,1685,89,10284,100,177,10,-63,81,2132,27471,CD34+/CD38- OR GMP,HSC
866,LEUK14,21,1_B1,1_D2,S866,13591,0.1479,0.16,NA,0.15395,DNMT3A Mut,1_B1,111,90,0,0,2,21,19,2,2799,5925,8208,74.5,23.3,2.22,12.5,9.52,90.5,171542,103071,55508,25,576,-8,382,479,331,17,0,103,721,19640,CD34+/CD38- OR GMP,HSC
972,LEUK14,21,2_D2,7_E6,S972,13765,0.4841,0.497,NA,0.49055,DNMT3A Mut,2_D2,1574,1514,0,0,25,1093,1090,2,20911,133092,11963,666,73.1,1.67,36.5,0.18,99.7,137705,86065,24761,15,1379,4,421,585,143,12,-10,23,735,19040,HSC,HSC
913,LEUK14,21,1_A7,1_B7,S913,14250,0.5046,0.531,NA,0.5178,DNMT3A Mut,1_A7,1873,124,1,0,7,12,1,11,1371,3769,36724,638,11.3,6.6,35.2,91.7,8.33,133996,82895,14229,107,1096,4,267,-46,332,25,-57,32,1106,7514,CD34+/CD38- OR GMP,HSC
1028,LEUK14,21,2_D10,7_G1,S1028,14279,0.452,0.477,NA,0.4645,DNMT3A Mut,2_D10,720,466,0,0,17,167,74,69,3926,17205,15348,-392,39.1,3.98,3.72,41.3,44.3,165824,90027,32455,-3,997,20,2001,436,446,18,-33,33,907,24972,HSC,HSC
936,LEUK14,21,1_H9,5_F7,S936,14465,0.465,0.504,NA,0.48450000000000004,DNMT3A Mut,1_H9,4671,4346,10,0,1298,1307,334,912,12325,30597,38817,86.1,38.2,38,5.16,69.8,25.6,142834,86111,19906,171,770,-10,685,825,494,26,-62,33,1723,21214,CD34+/CD38- OR GMP,HSC
964,LEUK14,21,2_D1,7_E4,S964,14603,0.6564,0.706,NA,0.6812,DNMT3A Mut,2_D1,16607,16383,1,0,141,15772,8782,5456,12073,83289,18158,122,96.7,0.86,4.4,34.6,55.7,159019,90911,51023,161,1773,16,1312,291,478,48,-61,41,2429,18497,HSC,HSC
1015,LEUK14,21,2_E8,8_D4,S1015,14782,0.5281,0.579,NA,0.55355,DNMT3A Mut,2_E8,1214,1054,0,1,97,97,90,2,2314,6432,8153,-493,13.4,13.4,8.11,2.06,92.8,163506,88065,24926,101,392,23,240,231,472,0,22,27,953,13906,HSC,HSC
917,LEUK14,21,1_E7,3_G1,S917,15750,0.5925,0.63,NA,0.6112500000000001,DNMT3A Mut,1_E7,17935,5290,0,0,2219,1901,605,1185,7596,20327,27541,-1.28,36.5,42.6,0.063,62.3,31.8,179286,92518,36432,-51,594,14,1020,254,135,19,-2,49,676,22873,CD34+/CD38- OR GMP,HSC
970,LEUK14,21,2_B2,6_F11,S970,15849,0.4785,0.523,NA,0.50075,DNMT3A Mut,2_B2,16682,16354,25,2,7682,1079,884,170,12611,7205,6080,190,6.64,47.3,8.26,15.8,81.9,137153,88096,26673,-7,436,42,247,107,154,23,-23,27,536,37547,HSC,HSC
923,LEUK14,21,1_C8,2_B2,S923,15899,0.442,0.489,NA,0.4655,DNMT3A Mut,1_C8,9679,9398,0,0,626,6344,1045,4875,5737,25277,34998,75.8,67.8,6.69,1,76.8,16.5,168187,91400,51862,92,672,-2,1518,33,347,9,-24,55,927,9771,CD34+/CD38- OR GMP,HSC
1016,LEUK14,21,2_F8,8_G9,S1016,16561,0.0203,0.023,NA,0.02165,DNMT3A Mut,2_F8,3045,107,0,0,4,2,1,1,2257,6432,2975,294,5.71,11.4,14.2,50,50,142824,87393,31442,-28,854,23,654,974,388,5,-37,40,1041,24978,HSC,HSC
920,LEUK14,21,1_H7,5_F1,S920,16776,0.5028,0.541,NA,0.5219,DNMT3A Mut,1_H7,10903,1514,56,1,15,9,7,0,868,3253,844,638,0.63,1.05,41.5,0,77.8,122097,89995,19647,-175,872,-17,985,580,486,-2,-46,51,779,22833,CD34+/CD38- OR GMP,HSC
1017,LEUK14,21,2_G8,9_C12,S1017,17317,0.4136,0.445,NA,0.4293,DNMT3A Mut,2_G8,68882,38002,189,4,12150,4745,4085,500,3926,8467,5191,-60.4,12.6,32.2,6.35,10.5,86.1,163253,87318,22957,101,1142,9,2489,81,447,-5,-63,15,1265,11610,HSC,HSC
1024,LEUK14,21,2_G9,9_D7,S1024,17552,0.4681,0.508,NA,0.48805,DNMT3A Mut,2_G9,2253,70,1,0,11,4,2,1,2017,6559,14416,248,7.55,20.8,7.07,25,50,120483,86882,19739,125,494,22,619,-11,396,11,-8,35,443,13209,HSC,HSC
984,LEUK14,21,2_B4,6_G10,S984,19115,0.4497,0.484,NA,0.46685,DNMT3A Mut,2_B4,28481,26012,8,1,8363,3329,2422,798,5497,5235,4537,633,12.9,32.4,38.2,24,72.8,164722,88512,32785,32,798,19,1346,453,416,42,-23,30,1179,45147,HSC,HSC
878,LEUK14,21,1_F2,4_B11,S878,19132,0.2235,0.248,NA,0.23575000000000002,DNMT3A Mut,1_F2,186,165,0,0,62,3,3,0,10110,10578,3693,-42.4,3.03,62.6,0,0,100,161361,89499,32922,-98,813,302,79,124,275,8,-4,9,516,4172,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
1008,LEUK14,21,2_E7,8_B3,S1008,19381,0.6515,0.693,NA,0.67225,DNMT3A Mut,2_E7,5428,5367,0,0,1365,1802,1677,78,14021,15384,12240,86.1,34.4,26.1,4.12,4.33,93.1,157378,88979,24987,121,1124,102,273,1122,303,-18,-98,67,1886,7168,HSC,HSC
896,LEUK14,21,1_H4,5_C5,S896,19659,0.4661,0.503,NA,0.48455000000000004,DNMT3A Mut,1_H4,20541,18627,1,0,5946,8672,5510,2335,8658,23819,12934,123,46.7,32,1.03,26.9,63.5,161870,92917,46729,-130,1046,19,728,192,300,48,-70,36,976,9881,CD34+/CD38- OR GMP,HSC
939,LEUK14,21,1_C10,2_C6,S939,20747,0.2276,0.254,NA,0.24080000000000001,DNMT3A Mut,1_C10,3527,1713,6,0,423,681,656,14,14316,49200,8775,156,44.1,27.4,5.74,2.06,96.3,133195,86703,27092,-62,841,38,153,442,411,13,-43,29,1000,12334,CD34+/CD38- OR GMP,HSC
1020,LEUK14,21,2_C9,7_D5,S1020,20911,0.3105,0.327,NA,0.31875,DNMT3A Mut,2_C9,24830,24682,12,3,6643,1177,1142,2,3469,6294,4185,238,4.81,27.2,11.1,0.17,97,149331,90050,27106,173,1653,12,284,55,126,3,-57,75,1654,15696,HSC,HSC
998,LEUK14,21,2_B6,6_H2,S998,21156,0.43120000000000003,0.451,NA,0.44110000000000005,DNMT3A Mut,2_B6,4384,4352,1,0,285,3233,668,2332,14754,85982,40736,123,74.9,6.6,7.69,72.1,20.7,167115,89544,36261,157,1705,8,4403,208,369,17,-58,45,880,49050,HSC,HSC
914,LEUK14,21,1_B7,1_E7,S914,22047,0.4807,0.523,NA,0.50185,DNMT3A Mut,1_B7,112,87,0,0,17,49,6,40,14054,75897,43800,112,58.3,20.2,6.25,81.6,12.2,167688,89022,22928,226,959,251,28,-61,1407,0,4,20,570,22047,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
1038,LEUK14,21,2_G11,9_D11,S1038,23456,0.4692,0.499,NA,0.4841,DNMT3A Mut,2_G11,7379,2102,62,0,461,832,832,0,11613,39193,6041,499,40.6,22.5,34.1,0,100,149490,84459,35160,-67,1243,30,2126,310,218,34,-31,23,967,12132,HSC,HSC
1002,LEUK14,21,2_F6,8_F7,S1002,24238,0.5464,0.571,NA,0.5587,DNMT3A Mut,2_F6,3844,3025,0,0,11,2794,499,2138,12046,81675,45861,29.5,93.2,0.37,1.88,76.5,17.9,177299,91180,23362,-9,475,-23,294,209,449,2,-25,10,1036,20294,HSC,HSC
999,LEUK14,21,2_C6,7_B9,S999,24440,0.3475,0.385,NA,0.36624999999999996,DNMT3A Mut,2_C6,14988,14910,1,1,512,13152,2704,9764,9906,61831,41631,182,88.8,3.46,10.1,74.2,20.6,169476,92039,43371,-23,665,23,0,337,480,1,-32,54,525,5907,HSC,HSC
879,LEUK14,21,1_G2,4_F10,S879,24487,0.5055,0.544,NA,0.52475,DNMT3A Mut,1_G2,30395,9581,1,0,4067,1269,680,506,4623,7612,11325,-42.4,13.6,43.5,0.19,39.9,53.6,150718,87466,21511,15,590,-10,150,168,191,0,-34,40,588,20320,CD34+/CD38- OR GMP,HSC
893,LEUK14,21,1_E4,3_E7,S893,24961,0.0616,0.07,NA,0.0658,DNMT3A Mut,1_E4,48,25,0,0,1,17,4,13,4290,27280,28478,41.1,73.9,4.35,0,76.5,23.5,172881,91953,36927,260,781,293,27,212,1890,26,-63,105,959,17645,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
915,LEUK14,21,1_C7,2_A10,S915,25523,0.0238,0.025,NA,0.0244,DNMT3A Mut,1_C7,1890,1564,0,0,350,662,183,432,7365,23538,29588,209,43.6,23,0.86,65.3,27.6,172845,89222,29538,-103,872,38,360,363,220,13,-38,30,683,4652,CD34+/CD38- OR GMP,HSC
945,LEUK14,21,1_A11,1_C4,S945,25901,0.4472,0.47,NA,0.4586,DNMT3A Mut,1_A11,10163,9744,2,0,119,9288,9213,43,9177,58606,5874,305,95.9,1.23,10,0.46,99.2,157965,90864,34255,7,709,9,4617,398,474,15,-78,48,2419,11313,CD34+/CD38- OR GMP,HSC
965,LEUK14,21,2_E1,7_G10,S965,26628,0.5685,0.595,NA,0.58175,DNMT3A Mut,2_E1,12454,12411,1,9,3415,1283,1280,1,5359,7765,3597,148,10.4,27.8,13.4,0.078,99.8,124306,86392,25990,-3,587,31,478,243,394,-4,-24,42,1139,27942,HSC,HSC
904,LEUK14,21,1_H5,5_D2,S904,26836,0.3593,0.371,NA,0.36515,DNMT3A Mut,1_H5,102,92,0,0,3,65,25,32,20961,143996,30088,79.6,82.3,3.8,7.69,49.2,38.5,154101,91096,20432,443,947,322,-28,334,2401,-11,-100,51,1290,15136,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
874,LEUK14,21,1_B2,1_D4,S874,27162,0.5747,0.625,NA,0.59985,DNMT3A Mut,1_B2,15458,15024,4,2,5171,1841,1808,18,4801,6363,4407,202,12.3,34.6,11.5,0.98,98.2,148090,86416,25652,79,681,13,1669,1494,420,7,-68,40,895,18485,CD34+/CD38- OR GMP,HSC
890,LEUK14,21,1_B4,1_D12,S890,27410,0.4034,0.43,NA,0.41669999999999996,DNMT3A Mut,1_B4,1984,1957,1,0,489,899,898,0,12467,31869,6806,146,46.5,25.3,12.2,0,99.9,144463,85483,22270,-145,1449,55,950,161,212,42,-57,33,1106,15111,CD34+/CD38- OR GMP,HSC
1005,LEUK14,21,2_B7,6_H3,S1005,27896,0.463,0.503,NA,0.483,DNMT3A Mut,2_B7,6871,6815,0,1,455,5675,861,4603,12669,77586,60934,75.8,83.8,6.72,14.6,81.1,15.2,170837,88872,31056,-62,696,0,612,199,503,25,-25,29,833,48751,HSC,HSC
1010,LEUK14,21,2_G7,9_C11,S1010,28364,0.0215,0.024,NA,0.02275,DNMT3A Mut,2_G7,18483,14439,2,1,3718,8085,2373,5340,6146,25038,30743,35.9,56.7,26.1,0.21,66,29.4,180492,93699,23604,167,1435,-11,154,-145,327,11,-35,27,674,11358,HSC,HSC
993,LEUK14,21,2_D5,7_E10,S993,28541,0.5141,0.566,NA,0.5400499999999999,DNMT3A Mut,2_D5,42589,41122,19,5,4084,15916,2470,12647,3379,9156,45419,226,38.9,9.98,19,79.5,15.5,161030,89113,34373,-51,1214,7,3245,739,142,14,-30,20,809,20589,HSC,HSC
924,LEUK14,21,1_D8,3_B7,S924,28789,0.7353,0.78,NA,0.7576499999999999,DNMT3A Mut,1_D8,60,24,0,0,4,5,5,0,3847,7512,7080,816,26.3,21.1,51.4,0,100,133846,89261,19080,40,332,22,83,363,202,25,-17,23,683,6268,CD34+/CD38- OR GMP,HSC
916,LEUK14,21,1_D7,3_A5,S916,29286,0.3615,0.382,NA,0.37175,DNMT3A Mut,1_D7,600,388,0,0,74,191,7,184,20813,98871,114559,50.1,55,21.3,0.36,96.3,3.66,177416,95596,39238,52,1026,85,126,191,423,8,-36,45,809,1673,CD34+/CD38- OR GMP,HSC
953,LEUK14,21,1_A12,1_C12,S953,29299,0.4032,0.428,NA,0.41559999999999997,DNMT3A Mut,1_A12,1502,1397,0,0,32,1117,79,1003,10578,67010,56781,91.2,81,2.32,4.14,89.8,7.07,140447,84310,13311,-186,428,-7,253,617,434,-10,-35,28,865,14820,CD34+/CD38- OR GMP,HSC
995,LEUK14,21,2_F5,8_F5,S995,30005,0.4131,0.428,NA,0.42055,DNMT3A Mut,2_F5,57364,53923,3,2,5117,26668,24101,1859,4462,17408,4334,178,49.5,9.51,5.19,6.97,90.4,181373,93271,26766,81,1067,2,629,723,439,-9,-41,50,849,20787,HSC,HSC
926,LEUK14,21,1_F8,4_D2,S926,30204,0.4629,0.493,NA,0.47795,DNMT3A Mut,1_F8,3630,1906,0,1,11,1686,167,1461,15241,101078,62589,15.4,89.2,0.58,0.56,86.7,9.91,172510,89024,21799,-175,745,28,145,561,217,12,-32,45,448,14576,CD34+/CD38- OR GMP,HSC
941,LEUK14,21,1_E10,4_A5,S941,30878,0.6979,0.753,NA,0.7254499999999999,DNMT3A Mut,1_E10,174,13,0,0,0,0,0,0,3058,7546,n/a,233,0,0,14.1,0,0,140839,84575,16394,61,779,57,11,153,239,-13,-3,6,585,1681,CD34+/CD38- OR GMP,HSC
960,LEUK14,21,1_H12,6_A5,S960,31258,0.4805,0.511,NA,0.49575,DNMT3A Mut,1_H12,939,761,4,0,235,2,2,0,20862,25337,1028,8.98,0.38,44.8,10.7,0,100,179803,93455,31675,-77,1284,22,849,415,428,-24,-42,37,761,3869,HSC,HSC
868,LEUK14,21,1_D1,2_C11,S868,31688,0.3004,0.32,NA,0.31020000000000003,DNMT3A Mut,1_D1,789,428,1,0,175,158,0,157,30160,39004,86616,47.5,38.8,43,0.46,99.4,0,161137,91528,26283,120,1029,345,46,228,273,4,-19,16,545,13836,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
1027,LEUK14,21,2_C10,7_D9,S1027,31819,0.4628,0.485,NA,0.4739,DNMT3A Mut,2_C10,11383,11326,0,2,535,9794,1169,8118,12240,76083,44333,91.2,87.4,4.78,2.15,82.9,11.9,132438,86279,26610,21,758,-2,1486,-27,123,2,-8,41,742,14565,HSC,HSC
969,LEUK14,21,2_A2,6_B3,S969,32041,0.5343,0.569,NA,0.55165,DNMT3A Mut,2_A2,20027,19479,3,0,9241,1789,1777,4,9664,8099,5324,92.5,9.25,47.8,4.41,0.22,99.3,183293,91042,50321,109,745,-5,3818,498,371,5,-34,50,769,17180,HSC,HSC
1039,LEUK14,21,2_A12,6_E9,S1039,32510,0.4225,0.428,NA,0.42525,DNMT3A Mut,2_A12,13211,12791,2,0,2601,7601,2271,4994,9929,44012,35850,120,61.2,20.9,1.43,65.7,29.9,142681,89736,30731,35,689,48,57,36,467,26,-37,52,582,35283,HSC,HSC
883,LEUK14,21,1_C3,1_H4,S883,32765,0.5345,0.578,NA,0.5562499999999999,DNMT3A Mut,1_C3,1658,1616,0,1,524,456,209,208,11936,30305,21060,286,28.9,33.2,30.2,45.6,45.8,135139,88035,33719,31,1693,34,1265,484,121,6,-42,54,884,35261,CD34+/CD38- OR GMP,HSC
895,LEUK14,21,1_G4,4_G4,S895,33175,0.7418,0.804,NA,0.7729,DNMT3A Mut,1_G4,11484,11435,1,0,3283,6071,4832,867,12582,44333,9951,190,53.4,28.9,1.23,14.3,79.6,128431,84604,46134,-67,953,-18,771,162,343,6,-68,35,887,23717,CD34+/CD38- OR GMP,HSC
882,LEUK14,21,1_B3,1_D10,S882,33335,0.4,0.414,NA,0.40700000000000003,DNMT3A Mut,1_B3,22284,21935,4,0,7696,8527,8437,49,8543,18372,4066,278,39.5,35.6,6.12,0.57,98.9,125852,84057,31255,-12,1550,0,419,467,384,12,-51,52,889,15745,CD34+/CD38- OR GMP,HSC
957,LEUK14,21,1_E12,4_A10,S957,34331,0.5103,0.534,NA,0.52215,DNMT3A Mut,1_E12,6689,1633,0,0,160,1127,79,1000,10064,47328,56095,-88.7,70.7,10,0.053,88.7,7.01,155074,93475,47217,111,914,10,674,444,433,29,-43,48,763,2971,CD34+/CD38- OR GMP,HSC
925,LEUK14,21,1_E8,3_H5,S925,35925,0.4547,0.489,NA,0.47185,DNMT3A Mut,1_E8,3279,1171,1,0,369,190,20,157,15563,41132,49921,-82.2,17.8,34.6,0.29,82.6,10.5,167717,98143,24194,-31,442,178,177,224,497,33,-16,27,740,28633,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
