Plate_well,variable,Sort_id
plate2_E06,PLATE2,6_F9
plate2_E07,PLATE2,6_G1
plate2_E08,PLATE2,6_H1
plate2_E09,PLATE2,6_H2
plate2_E10,PLATE2,6_H4
plate2_E11,PLATE2,7_B1
plate2_E12,PLATE2,7_B3
plate2_F01,PLATE2,7_C3
plate2_F02,PLATE2,7_C6
plate2_F03,PLATE2,7_D2
plate2_F04,PLATE2,7_E1
plate2_F05,PLATE2,7_E2
plate2_F06,PLATE2,7_E5
plate2_F07,PLATE2,7_E6
plate2_F08,PLATE2,7_E10
plate2_F09,PLATE2,7_F4
plate2_F10,PLATE2,7_F8
plate2_F11,PLATE2,7_G2
plate2_F12,PLATE2,7_G5
plate2_G01,PLATE2,7_H1
plate2_G02,PLATE2,7_H2
plate2_G03,PLATE2,8_A5
plate2_G04,PLATE2,8_B3
plate2_G05,PLATE2,8_B11
plate2_G06,PLATE2,8_C2
plate2_G07,PLATE2,8_C6
plate2_G08,PLATE2,8_D4
plate2_G09,PLATE2,8_D6
plate2_G10,PLATE2,8_E7
plate2_G11,PLATE2,8_E9
plate2_G12,PLATE2,8_G1
plate2_H01,PLATE2,8_G2
plate2_H02,PLATE2,8_G3
plate2_H03,PLATE2,8_G4
plate2_H04,PLATE2,9_A10
plate2_H05,PLATE2,9_B4
plate2_H06,PLATE2,9_B10
plate2_H07,PLATE2,9_B12
plate2_H08,PLATE2,9_C1
plate2_H09,PLATE2,9_C4
plate2_H10,PLATE2,9_C5
plate2_H11,PLATE2,9_C6
plate2_H12,PLATE2,9_C10
plate3_A01,PLATE3,9_D1
plate3_A02,PLATE3,9_D12
plate3_A03,PLATE3,9_E2
plate3_A04,PLATE3,9_E7
plate3_A05,PLATE3,9_E11
plate3_A06,PLATE3,9_F3
plate3_A07,PLATE3,9_F9
plate3_A08,PLATE3,9_G2
plate3_A09,PLATE3,9_G4
plate3_A10,PLATE3,9_G5
plate3_A11,PLATE3,9_G8
plate3_A12,PLATE3,9_G10
plate3_B01,PLATE3,10_H12
plate3_B02,PLATE3,10_A3
plate3_B03,PLATE3,10_C2
plate3_B04,PLATE3,10_C5
plate3_B05,PLATE3,10_C8
plate3_B06,PLATE3,1_E3
plate3_B07,PLATE3,1_E8
plate3_B08,PLATE3,10_F2
plate3_B09,PLATE3,10_F9
plate3_B10,PLATE3,10_G2
plate3_B11,PLATE3,10_G9
plate3_C01,PLATE3,1_B1
plate3_C02,PLATE3,1_B4
plate3_C03,PLATE3,1_C1
plate3_C04,PLATE3,1_D1
plate3_C05,PLATE3,1_F10
plate3_C06,PLATE3,1_G5
plate3_C07,PLATE3,1_G7
plate3_C08,PLATE3,2_C10
plate3_C09,PLATE3,2_D1
plate3_C10,PLATE3,2_G2
plate3_C11,PLATE3,2_G11
plate3_C12,PLATE3,3_B6
plate3_D01,PLATE3,3_B9
plate3_D02,PLATE3,3_B10
plate3_D03,PLATE3,3_C11
plate3_D04,PLATE3,3_D11
plate3_D05,PLATE3,3_E8
plate3_D06,PLATE3,4_B8
plate3_D07,PLATE3,4_C12
plate3_D08,PLATE3,4_E2
plate3_D09,PLATE3,5_A8
plate3_D10,PLATE3,5_A9
plate3_D11,PLATE3,5_B11
plate3_D12,PLATE3,5_B12
plate3_E01,PLATE3,5_D1
plate3_E02,PLATE3,5_D6
plate3_E03,PLATE3,5_D11
plate3_E04,PLATE3,5_F10
plate3_E05,PLATE3,5_G11
plate3_E06,PLATE3,6_F12
plate3_E07,PLATE3,7_D6
plate3_E08,PLATE3,7_F3
plate3_E09,PLATE3,7_F6
plate3_E10,PLATE3,7_G6
plate3_E11,PLATE3,8_A3
plate3_E12,PLATE3,8_D11
plate3_F01,PLATE3,8_F11
plate3_F02,PLATE3,8_G11
plate3_F03,PLATE3,8_H10
plate3_F04,PLATE3,9_B6
plate3_F05,PLATE3,9_C11
plate3_F06,PLATE3,9_D4
plate3_F07,PLATE3,9_D9
plate3_F08,PLATE3,9_F12
plate3_F09,PLATE3,9_G6
plate3_F10,PLATE3,9_H8
plate3_F11,PLATE3,10_A11
plate3_F12,PLATE3,10_B5
plate3_G01,PLATE3,10_B12
plate3_G02,PLATE3,10_F4
