Well,Time,FSC-A,FSC-W,SSC-A,640 670/30-A,640 730/45-A,640 780/60-A,561 582/15-A,561 670/14-A,561 780/60-A,488 530/30-A,V405 450/50-A,V405 525/50-A,V405 780/60-A
D3,11452.40039,57825.53906,91158.82813,11811.73047,1736.640015,278.7200012,1658.25,202.5,3588.299805,861.2999878,38.52000046,278.7999878,234.5200043,2392.76001
D4,11651.7998,70790.67188,91558.04688,12648.4707,1076.690063,300.8300171,1633.460083,893.6999512,1836.899902,1068.299927,50.29000092,261.5799866,326.3599854,2083.619873
D5,11886.09961,56314.28906,86705.35938,12124.1709,684.7399902,194.9700012,1368.810059,134.0999908,709.1999512,799.1999512,40.66000366,297.6600037,323.8999939,1769.559937
D6,12108.5,59738.55078,86921.38281,11733.62012,1245.530029,238.5200043,1510.850098,178.1999969,1946.699951,807.2999878,27.8200016,174.6600037,191.0599976,2182.840088
D7,12383.2998,55132.26172,86284.14063,8700.170898,970.1600342,239.1900024,1530.950073,366.2999878,1502.099976,717.2999878,28.8900013,328,246,3906.47998
D8,12643.40039,55749.78125,88746.8125,9768.030273,925.2700195,251.9200134,1543.01001,410.3999939,1345.5,853.1999512,-1.070000052,298.480011,285.3599854,2396.040039
D9,12897.2998,58121.28125,90437.25,13070.05078,1398.960083,271.3500061,1366.130005,221.3999939,2474.099854,919.7999878,9.630000114,288.6399841,375.5599976,2355.859863
D10,13307,69211.53125,93594.02344,16654.55078,778.5400391,258.6199951,1752.050049,301.5,736.1999512,1107,16.05000114,321.4400024,250.0999908,2781.439941
D11,13583.09961,55790.69922,85411.59375,13939.96094,1388.910034,281.3999939,1630.109985,1560.599976,2204.099854,863.0999756,25.68000031,380.480011,438.6999817,3416.939941
D12,13831.5,64849.83203,93226.25781,24748.03125,1867.290039,449.5700073,2575.47998,1434.599976,3234.599854,1385.099976,62.06000137,3813.820068,1924.540039,4371.419922
E1,14033.09961,64861.92188,87353.39844,10718.19043,921.9200439,255.9400024,1713.859985,22.5,927,909,4.28000021,223.8600006,305.8599854,1485.02002
E2,14360.7002,50016.33203,85307.88281,11130.14063,1028.450073,275.3699951,2022.060059,117,1060.199951,956.6999512,34.24000168,219.7599945,195.1600037,2325.52002
E3,14579.2998,66641.00781,91678.59375,11659.79102,550.0700073,182.9100037,1208.680054,528.2999878,982.7999878,843.2999878,17.12000084,206.6399994,209.0999908,1576.040039
E4,14808.2998,51482.01172,86355.90625,10648.64063,883.0599976,221.7700043,1427.099976,783,1484.099976,673.2000122,34.24000168,291.1000061,339.480011,2747
E5,15166.5,61340.94141,89031.51563,13870.41113,1418.390015,395.3000183,2613,408.5999756,2493.899902,1450.799927,31.03000069,341.1199951,444.4400024,3781.02002
E6,15516.5,68951.13281,91519.625,14083.34082,1049.219971,297.480011,2204.300049,51.29999924,1027.799927,1013.399963,0,300.1199951,291.9199829,3049.580078
E7,15910.09961,54764.91016,84141.90625,9619.300781,1744.01001,349.7400208,1930.940063,258.2999878,3119.399902,1058.400024,47.08000183,396.0599976,314.0599976,3734.280029
E8,16330.5,63991.44141,88427.08594,13015.48047,990.9300537,229.1399994,1340.670044,74.69999695,1568.699951,825.2999878,56.7100029,264.0400085,309.9599915,2303.379883
E9,16580.19922,68128.07813,89919.07031,11906.96094,967.4800415,255.2700043,1636.810059,278.1000061,1205.099976,857.6999512,13.9100008,270.6000061,338.6600037,2183.659912
E10,16838.09961,60735.51172,82303.50781,9167.760742,700.8200073,187.6000061,1072,171,1303.199951,790.1999512,8.56000042,146.7799988,213.1999969,1054.52002
E11,17094.5,56049.24219,91640.92188,15756.82031,1471.320068,343.0400085,1930.27002,992.6999512,2394,957.5999756,-17.12000084,997.9400024,452.6399841,3391.52002
E12,17350.59961,58769.49219,86477.10938,8776.140625,1452.560059,211.0500031,923.9299927,157.5,4211.100098,802.7999878,6.420000076,153.3399963,236.9799957,1494.040039
F1,17601.09961,55571.21875,88363.82813,10639.01074,2104.469971,427.460022,2345.670166,963,4337.100098,1284.299927,6.420000076,432.9599915,528.9000244,4166.419922
F2,18050.90039,59785.05078,88752.61719,11477.89063,1065.969971,202.3400116,1495.440063,428.3999939,1791.899902,912.5999756,48.15000153,242.7200012,255.0200043,1720.359985
F3,18500.59961,47792.69922,86782.17969,10947.1709,994.9500122,320.2600098,2331.600098,122.3999939,892.7999878,891.8999634,21.40000153,286.1799927,431.3200073,3013.5
F4,18839.5,55896.71875,87048.15625,9160.270508,1925.580078,380.5599976,2201.620117,570.5999756,3831.299805,1292.400024,26.75000191,233.6999969,296.019989,2170.540039
F5,19055.5,76800.32813,95412.23438,14651.51074,989.5900269,243.8800049,1449.880005,723.5999756,1422,810.8999634,19.26000023,316.519989,328.8200073,2412.439941
F6,19379.09961,62814.05859,88623.95313,10117.9209,1163.790039,339.0200195,2259.23999,90,1526.399902,1035.900024,20.33000183,387.8599854,338.6600037,3618.659912
F7,19633.5,63598.05078,89215.32813,11316.32031,2074.98999,381.9000244,1735.300049,807.2999878,4733.100098,1081.799927,47.08000183,178.7599945,168.1000061,2273.859863
F8,19887.40039,59591.60938,88082.35938,12512.58105,1362.109985,410.0400085,2468.949951,364.5,1596.599976,1180.799927,16.05000114,377.1999817,372.2799988,3337.399902
F9,20123.09961,69178.04688,92391.53125,14030.91113,922.5900269,302.8399963,2157.400146,93.59999847,1068.299927,1126.799927,33.17000198,373.9199829,441.1600037,3202.099854
F10,20354,57823.67969,89201.15625,13139.60059,1693.76001,351.0800171,1959.75,1773,2964.599854,1002.599976,24.61000061,300.9400024,396.8800049,3052.859863
F11,20685.69922,65352.96094,93916.57813,13936.75098,1088.080078,292.7900085,1811.680054,263.6999817,1605.599976,1175.400024,40.66000366,287.8200073,297.6600037,2599.399902
F12,21038.40039,65730.53906,89507.27344,10444.27051,1646.190063,344.3800049,1764.780029,275.3999939,3578.399902,1076.400024,1.070000052,236.1600037,414.9199829,2275.5
G1,21387.30078,59223.33203,87722.01563,14553.07031,1203.98999,375.2000122,2315.52002,384.2999878,1126.799927,1222.199951,2.140000105,358.3399963,362.4400024,3451.379883
G2,21620.69922,71730.89844,94347.45313,12593.90039,1183.219971,188.2700043,990.9300537,556.2000122,3267.899902,853.1999512,13.9100008,192.6999969,286.1799927,1330.859985
G3,21882.30078,55480.08203,87347.88281,10463.53027,1078.700073,352.4200134,2628.410156,1100.699951,1219.5,1202.400024,11.77000046,337.8399963,364.8999939,3854.820068
G4,22174.90039,66883.74219,88876.35938,12091.00098,1465.290039,296.8099976,1760.090088,511.1999817,2529.899902,948.5999756,9.630000114,241.0800018,346.8599854,1991.780029
G5,22513.59961,64819.14063,87721.20313,11154.75098,1356.75,289.4400024,1562.440063,96.29999542,2479.5,888.2999878,27.8200016,170.5599976,362.4400024,1876.160034
G6,22859.80078,65084.19141,87800.69531,11752.88086,1244.859985,239.8600006,1486.72998,243,2502,966.5999756,0,219.7599945,456.7399902,2775.699951
G7,23128.5,58239.39063,94381.21875,13943.1709,1261.609985,296.1400146,1896.77002,684,1866.599976,1064.699951,17.12000084,206.6399994,244.3600006,1904.859985
G8,23368.69922,65694.27344,89968.24219,10347.9707,729.6300049,219.7600098,1461.940063,235.7999878,750.5999756,798.2999878,34.24000168,297.6600037,246.8199921,2325.52002
G9,23630.69922,65972.34375,88427.28906,12292.16016,499.8200073,172.1900024,1027.780029,79.19999695,402.2999878,585,5.350000381,203.3600006,184.5,1694.939941
G10,23903.19922,52260.42188,86575.8125,8592.100586,1231.460083,341.0299988,2103.800049,414,1802.699951,928.7999878,40.66000366,294.3800049,344.3999939,3197.179932
G11,24260.69922,68343.84375,91475.00781,17462.40039,811.3699951,152.0899963,897.1300049,126,1486.799927,481.5,20.33000183,241.8999939,300.9400024,1744.959961
G12,24603.5,65010.71875,88075.04688,11764.65039,1544.350098,426.7900085,2564.090088,407.6999817,2376.899902,1386,32.10000229,408.3599854,410.8200073,4079.5
H1,24841.90039,60107.76172,86003.58594,10603.7002,1009.690002,220.4300079,1265.630005,180,1817.099976,672.2999878,31.03000069,238.6199951,291.1000061,2126.26001
H2,25075.69922,67312.46875,91572.01563,12270.76074,1397.619995,315.5700073,1756.070068,573.2999878,2401.199951,1048.5,39.59000015,229.5999908,384.5799866,2068.859863
H3,25279.90039,67421.28125,91611.64844,10718.19043,779.8800049,252.5900116,1675.670044,325.7999878,824.3999634,888.2999878,39.59000015,251.7399902,372.2799988,2545.280029
H4,25530.90039,57685.10938,86461.70313,13041.16016,1196.619995,303.5100098,1679.690063,800.0999756,2118.599854,1122.299927,1.070000052,267.3200073,272.2399902,2666.639893
H5,25780.69922,58117.55859,87341.59375,11683.33105,753.75,205.0200043,1108.180054,85.5,1103.400024,505.7999878,11.77000046,282.0799866,360.7999878,2233.679932
H6,26203.69922,59761.80078,91508.16406,13119.27051,1036.48999,268.6700134,1902.130005,93.59999847,1079.099976,886.5,44.94000244,304.2200012,393.6000061,2364.060059
H7,26395.09961,65954.67188,88488.66406,12951.28027,1654.900024,328.9700012,1692.420044,719.0999756,3325.5,970.1999512,51.36000061,269.7799988,375.5599976,2298.459961
H8,26686.59961,62242.10938,89379.4375,11348.4209,1752.050049,403.3399963,2299.439941,235.7999878,3245.399902,1198.799927,1.070000052,336.2000122,277.1600037,3045.47998
H9,26904.69922,61739.91016,88829.57031,11140.84082,797.3000488,238.5200043,1623.410034,128.6999969,869.3999634,819.8999634,-3.210000038,310.7799988,272.2399902,3160.280029
H10,27152.19922,57936.21094,88968.47656,8702.310547,783.9000244,224.4500122,1480.700073,171,1251,894.5999756,-10.70000076,183.6799927,272.2399902,1614.579956
H11,27371.90039,51933.99219,84425.91406,9909.270508,1260.940063,241.8700104,1222.75,181.7999878,2771.099854,770.3999634,33.17000198,252.5599976,277.1600037,1990.959961
H12,27664.80078,57951.08984,85634.33594,9738.070313,1086.73999,293.460022,1947.02002,1804.5,1294.199951,1080.900024,-21.40000153,364.0799866,414.9199829,3385.780029
