Sort_id,FSC-A,FSC-W,SSC-A,CD33,CD45RA,CD34,CD90,CD49f,CD38,CD19,Live/Dead,CD7/10,CD45,Time,Cell_seeded
1_C1,78780,88146,15195,81,40,1175,202,466,-129,35,24,327,2124,6650,HSC
1_C2,99064,97833,17862,330,46,1903,94,1407,-97,21,-52,565,1809,6847,HSC
1_C3,65744,85405,14047,198,11,712,72,908,-22,50,-2,357,1625,7043,HSC
1_C4,64370,84723,13043,53,38,1593,305,904,-146,14,-74,308,1470,7259,HSC
1_C5,50413,81517,13962,86,26,1811,283,1081,-41,39,-10,641,1938,7476,HSC
1_C6,79603,90139,18757,235,11,1344,-63,1733,-37,68,-49,387,1703,7706,HSC
1_C7,68358,84478,12397,133,36,1075,2,570,-52,37,-56,456,3290,7922,HSC
1_C8,67718,83884,11608,129,3,1062,99,618,-103,-1,-1,236,2372,8121,HSC
1_C9,72926,85510,13594,152,40,1181,31,1424,-69,0,5,324,1823,8323,HSC
1_C10,64667,82689,8438,126,22,1235,-9,846,-81,14,-70,245,2200,8530,HSC
1_C11,76348,87530,18052,483,12,1201,213,3576,4,42,-72,633,3412,8774,HSC
1_C12,83067,90359,16911,215,55,2036,952,3277,44,10,-156,392,3541,9011,HSC
1_D1,71569,85260,14444,213,23,1343,52,1598,-75,36,-85,311,2908,11574,HSC
1_D2,69205,84521,11169,66,19,1092,387,773,-9,22,-65,354,2130,11358,HSC
1_D3,74266,86804,13265,54,15,1316,352,784,-67,13,98,355,1568,11161,HSC
1_D4,67882,90410,17402,39,4,1291,363,1067,13,35,-74,278,2610,10924,HSC
1_D5,67630,84946,14160,49,32,1129,163,736,-73,3,-111,299,1731,10735,HSC
1_D6,64413,82541,10884,105,32,795,58,1021,-67,4,-38,261,2238,10535,HSC
1_D7,75670,85969,15527,106,23,1501,7,1479,-162,10,-67,309,1557,10326,HSC
1_D8,65029,84776,10638,-23,12,662,36,453,20,7,17,222,1294,10124,HSC
1_D9,72788,85992,12479,142,10,799,-36,856,31,30,-53,268,1756,9925,HSC
1_D10,78785,88933,17691,41,23,1151,-16,213,130,15,16,278,1731,9681,HSC
1_D11,71528,88398,17641,-43,-6,1171,32,1803,-62,13,-45,371,1516,9474,HSC
1_D12,66051,84794,12806,145,13,1522,28,1513,-51,28,-64,422,1473,9249,HSC
1_E1,71908,85833,14238,174,33,1179,72,355,85,12,-35,306,1996,11810,HSC
1_E2,69329,84920,12066,117,37,998,-15,1678,68,28,-27,360,1618,12031,HSC
1_E3,74393,86392,14723,336,1,1324,26,1660,-65,25,-31,308,2051,12242,HSC
1_E4,71741,87261,10828,40,40,1272,45,702,-78,12,-54,122,1179,12510,HSC
1_E5,60224,82176,10761,131,25,1347,146,1532,-164,30,-78,392,2096,12739,HSC
1_E6,66634,85211,11379,-59,37,1056,12,1347,-32,15,-35,242,1598,12953,HSC
1_E7,70972,85727,12339,106,36,1016,17,1231,66,24,-46,229,1365,13160,HSC
1_E8,69785,83299,12735,-51,57,1333,499,1066,-29,19,-7,436,1671,13401,HSC
1_E9,63124,83885,15537,66,24,1371,89,520,104,29,41,456,1808,13593,HSC
1_E10,75067,87411,13630,132,9,983,332,351,10,68,9,249,1527,13817,HSC
1_E11,73889,86575,12660,66,15,1224,239,1378,-123,-3,-27,300,1992,14014,HSC
1_E12,73459,85401,13288,67,42,1134,-17,748,-59,16,42,265,1432,14255,HSC
1_F1,72329,89986,12334,133,17,1111,-45,734,24,-7,32,187,1008,16939,HSC
1_F2,73969,86351,14373,258,21,862,-102,1490,32,34,-17,371,1363,16744,HSC
1_F3,45474,81789,17245,47,-1,1801,110,889,26,42,-96,182,1246,16558,HSC
1_F4,72724,86697,13100,92,30,1316,83,1038,-172,11,-58,293,1641,16316,HSC
1_F5,73103,87628,19479,356,18,1390,-45,2781,-148,28,-145,453,3119,16045,HSC
1_F6,78050,87936,14706,155,4,1511,16,1717,67,15,-50,428,2258,15819,HSC
1_F7,79284,87735,12775,286,5,1291,37,820,60,32,21,318,2190,15600,HSC
1_F8,70509,85064,12073,-24,-10,1306,73,2226,-23,34,-40,271,1694,15365,HSC
1_F9,72196,86095,17888,129,27,900,20,1886,43,17,-68,373,2256,15131,HSC
1_F10,77588,90233,17697,45,18,1586,25,979,-114,43,-42,434,2034,14898,HSC
1_F11,97102,94922,19822,272,11,1921,51,889,-124,55,-32,310,2653,14683,HSC
1_F12,78588,90107,15657,37,24,1306,239,1328,-128,31,-86,308,1818,14487,HSC
1_G1,80013,94091,17218,76,22,1368,28,2464,-26,62,-81,513,2558,17161,HSC
1_G2,70829,84908,13241,47,42,1294,0,1498,-22,57,-48,692,1329,17361,HSC
1_G3,77737,89231,17059,90,13,1194,678,332,124,37,-4,331,1497,17602,HSC
1_G4,67956,85816,14334,26,11,1377,114,1672,-163,17,-52,385,1731,17816,HSC
1_G5,64334,83259,13084,102,-2,1269,105,474,-16,-9,-12,172,1630,18035,HSC
1_G6,82030,89693,14577,149,31,973,-85,1232,6,48,31,249,2048,18238,HSC
1_G7,73577,84304,13185,139,48,1531,78,1138,-41,12,-80,379,2620,18478,HSC
1_G8,73289,88983,14885,56,9,744,77,462,2,6,6,209,1946,18697,HSC
1_G9,70928,88894,12935,149,-1,1245,15,694,-113,6,7,173,1407,18894,HSC
1_G10,92216,93568,19947,92,22,1081,287,448,66,50,-52,328,1881,19096,HSC
1_G11,58274,83670,19245,221,38,1811,17,1693,-86,39,-26,273,2413,19293,HSC
1_G12,72357,85997,11934,71,-6,1842,168,483,-64,27,-25,337,2167,19488,HSC
1_H1,62761,83523,11000,-51,8,1210,249,1476,-69,16,-99,226,1397,22158,HSC
1_H2,80681,89337,22409,110,31,1074,25,888,-18,2,-37,342,2824,21950,HSC
1_H3,75942,87562,19105,118,22,1737,-32,1331,-26,41,-3,386,3668,21751,HSC
1_H4,76102,87109,14461,191,26,725,165,1220,-15,22,35,332,1502,21511,HSC
1_H5,73831,89826,13793,26,24,1000,47,1564,-78,25,-48,408,1843,21256,HSC
1_H6,65356,81086,13150,71,14,871,-3,341,-45,5,19,291,2279,21046,HSC
1_H7,68755,84379,15881,23,7,873,-28,310,-67,30,-26,318,1741,20829,HSC
1_H8,61537,82475,10100,12,36,1020,-21,853,-27,33,-110,264,1745,20619,HSC
1_H9,65433,82228,12443,182,24,1206,-93,2686,-88,6,-47,310,1401,20375,HSC
1_H10,79141,89031,17093,5,13,1393,170,938,-100,25,-6,357,1751,20128,HSC
1_H11,67478,82888,12646,277,27,1552,45,1927,-26,3,-58,448,2247,19899,HSC
1_H12,73165,85774,13970,45,4,877,128,1149,18,33,68,277,1307,19694,HSC
2_A1,74156,87971,15720,238,23,1141,722,724,132,40,-69,346,1691,567,HSC
2_A2,74494,86793,11313,107,11,1094,95,697,-72,3,67,230,1518,813,HSC
2_A3,69104,87131,12286,79,15,1199,33,424,-119,27,-36,290,1747,1035,HSC
2_A4,78241,86393,13982,126,20,1112,-35,1214,41,1,-61,299,1605,1240,HSC
2_A5,65775,82592,12737,109,12,1935,248,1650,-82,19,18,404,2584,1433,HSC
2_A6,74405,90022,21653,207,19,1169,199,1157,-59,19,-44,311,1142,1651,HSC
2_A7,71616,85424,14909,101,18,1617,18,308,14,31,-64,324,1938,1851,HSC
2_A8,68389,83121,12751,104,7,868,20,600,-26,10,28,329,1429,2039,HSC
2_A9,79751,88585,12408,6,11,1891,60,840,-135,15,-73,387,1596,2242,HSC
2_A10,69423,85921,13839,40,51,941,-32,2123,-28,36,-15,346,1550,2489,HSC
2_A11,78890,88367,16243,80,38,1045,54,1322,-108,6,-39,339,1341,2694,HSC
2_A12,57520,82343,16075,101,24,1818,133,1348,30,46,-62,417,2207,2938,HSC
2_B1,73208,87373,22242,110,50,1091,98,807,-3,65,42,414,2905,5479,HSC
2_B2,53991,81928,16450,83,22,1713,-37,1043,-176,42,-43,355,2197,5270,HSC
2_B3,76629,87133,14672,71,-8,1107,46,896,-15,42,-48,480,3127,5028,HSC
2_B4,72354,84866,16275,150,49,1670,-30,1915,-88,11,-123,436,3043,4844,HSC
2_B5,71016,90379,16627,97,29,825,51,1346,-5,17,4,232,1368,4605,HSC
2_B6,59420,85107,17305,-34,19,1174,78,1431,-105,34,-54,373,1169,4401,HSC
2_B7,79752,90183,12704,46,7,1779,16,1099,-90,25,-72,459,2340,4201,HSC
2_B8,92962,94683,25304,89,0,1578,52,816,48,12,6,545,1922,4003,HSC
2_B9,67751,84137,12349,139,20,945,83,664,-121,41,-16,284,1792,3791,HSC
2_B10,78729,88037,17341,71,4,1016,73,1053,-12,19,-51,208,1476,3591,HSC
2_B11,62057,81996,13204,-21,42,1567,-16,924,-93,0,-38,278,2351,3346,HSC
2_B12,72111,87287,13641,64,41,1101,-26,1305,-110,16,-115,439,2282,3139,HSC
2_C1,83383,88705,16166,-15,-8,1907,332,349,-284,20,-89,412,2114,5695,HSC
2_C2,65628,83559,13242,192,24,1114,-17,619,-46,7,-22,310,1704,5895,HSC
2_C3,73785,84830,15554,78,-8,1568,24,1395,-115,43,-3,367,2311,6117,HSC
2_C4,69887,87139,14566,85,49,1280,66,776,0,26,-38,254,1211,6326,HSC
2_C5,68764,83758,14130,63,13,1044,-7,437,-42,24,-26,329,1192,6540,HSC
2_C6,70581,86426,15180,125,28,1048,51,1956,-30,27,-17,323,1374,6759,HSC
2_C7,80042,87468,16579,70,7,1818,33,729,-112,9,25,321,1940,6955,HSC
2_C8,62103,84641,10355,174,6,1050,367,564,-18,34,-78,276,1999,7149,HSC
2_C9,61196,82823,9776,-32,27,1507,16,576,-87,26,-34,308,2116,7362,HSC
2_C10,74804,86902,15607,107,19,1430,-7,1097,-18,25,-88,375,2709,7568,HSC
2_C11,78693,92982,13384,96,32,994,35,22,13,13,1,315,1642,7797,HSC
2_C12,73537,87833,14286,78,46,1323,128,632,-23,49,-60,403,2089,7993,HSC
2_D1,58001,81827,12752,60,15,1755,7,585,-112,29,-34,375,2437,10649,HSC
2_D2,63653,84567,13249,359,57,2244,-52,1945,-112,11,-88,488,2632,10455,HSC
2_D3,62522,83888,11274,82,18,1029,0,1156,32,20,-28,281,1265,10233,HSC
2_D4,56498,82161,15980,81,11,1569,-16,794,-68,11,-99,284,1511,9996,HSC
2_D5,83973,91089,18993,78,34,2584,174,1481,-74,18,-161,415,2357,9771,HSC
2_D6,68453,83941,16122,355,46,1711,983,1974,-53,41,-138,445,2950,9570,HSC
2_D7,67806,85127,13354,50,3,843,-26,398,-64,33,77,237,1711,9350,HSC
2_D8,75788,87566,18511,154,15,1529,17,1302,-96,3,-10,406,1890,9150,HSC
2_D9,59246,82584,13987,215,30,1904,49,1594,-60,21,-85,470,2207,8901,HSC
2_D10,85320,90570,17508,125,58,1684,-28,993,87,37,392,293,2189,8680,HSC
2_D11,84061,92313,17477,120,-10,1381,6,1149,-50,45,-49,386,2037,8443,HSC
2_D12,83339,89115,17358,139,-10,1065,335,2347,47,49,-45,586,1742,8198,HSC
2_E1,62587,83207,14641,36,20,1534,-52,644,-89,28,-23,381,2407,10845,HSC
2_E2,64365,84777,12372,308,35,1674,-29,1582,-93,39,-40,399,2397,11048,HSC
2_E3,76476,88374,15422,64,15,1611,1488,1174,-112,39,-35,449,2422,11246,HSC
2_E4,64365,83015,10896,160,25,1078,67,1170,-40,40,-52,289,1330,11467,HSC
2_E5,74504,97169,18813,-24,9,573,23,295,38,4,-12,285,1621,11676,HSC
2_E6,81319,88198,13608,55,26,1367,64,850,-49,11,-21,369,2727,11871,HSC
2_E7,79392,90959,13640,141,23,1124,322,255,-40,24,-26,350,2089,12069,HSC
2_E8,63235,82830,14224,66,14,936,241,491,-42,16,-32,293,1627,12288,HSC
2_E9,74364,90468,12608,232,12,1273,59,1041,-97,32,31,290,1490,12502,HSC
2_E10,71297,86637,14672,-67,31,982,353,449,125,0,-15,277,1842,12693,HSC
2_E11,70679,86137,15866,86,8,1256,694,1036,-116,62,33,350,2665,12887,HSC
2_E12,66905,85021,13247,138,-7,1025,8,1913,22,13,4,331,1786,13116,HSC
2_F1,73071,90061,21763,137,25,1448,511,726,-20,54,-51,338,2118,15692,HSC
2_F2,77403,88658,14593,241,-4,1646,34,1252,-239,31,-39,244,2612,15493,HSC
2_F3,56764,84425,12080,8,24,1537,-71,2448,-173,28,-90,287,1537,15294,HSC
2_F4,74447,87176,15366,116,14,842,1344,1110,-82,-1,17,351,1573,15088,HSC
2_F5,61256,81230,9370,186,6,992,10,1083,-1,41,-46,310,1396,14885,HSC
2_F6,77314,89661,20927,39,34,1514,-28,1611,-128,14,-48,389,2206,14685,HSC
2_F7,78243,90105,18033,241,-10,1304,-27,800,11,14,-27,329,2103,14490,HSC
2_F8,56177,81901,13589,39,14,1073,173,159,-24,19,32,225,1433,14268,HSC
2_F9,72495,86617,13590,103,11,1173,209,2630,-126,17,-63,113,1547,14024,HSC
2_F10,72858,89028,14079,52,27,1358,42,520,16,11,-37,394,2350,13824,HSC
2_F11,65763,84098,12574,310,12,817,-27,1284,-53,37,-5,189,1439,13583,HSC
2_F12,79247,91655,18144,158,0,1574,558,622,-46,34,-44,462,1604,13311,HSC
2_G1,64105,84756,13493,112,21,1004,56,1110,-28,13,-62,221,2271,15922,HSC
2_G2,71499,86534,13806,184,15,1582,-58,2268,-31,35,-53,358,1907,16129,HSC
2_G3,72028,87207,13748,122,21,1206,117,1031,-51,62,-99,725,2513,16341,HSC
2_G4,74214,89182,13374,93,35,978,5,1202,-69,3,-43,412,2047,16560,HSC
2_G5,71885,87330,14953,67,17,948,83,2211,42,29,-5,297,296,16759,HSC
2_G6,63823,84247,14249,225,-3,1039,36,1888,-30,37,-22,355,1561,16985,HSC
2_G7,74616,86632,14088,-26,2,1531,53,838,-17,34,-28,311,1663,17205,HSC
2_G8,58503,83489,11821,102,-12,884,54,1044,-49,29,18,278,1406,17447,HSC
2_G9,68344,81993,13303,174,16,1627,156,867,-75,55,-105,236,2100,17695,HSC
2_G10,65080,90921,9767,51,3,943,78,688,78,16,-10,285,1416,17912,HSC
2_G11,81288,93259,16912,90,42,1358,-3,1533,-16,22,-65,330,1328,18146,HSC
2_G12,55299,83404,13416,109,23,937,47,605,-128,30,-124,1640,1492,18339,HSC
2_H1,78527,89029,14449,37,15,1353,255,1469,-148,0,-141,351,3044,20943,HSC
2_H2,70294,86477,12205,132,65,1085,0,1439,-109,22,-39,317,1784,20695,HSC
2_H3,74959,86718,15627,50,20,1087,-94,2111,-61,25,-61,399,1483,20462,HSC
2_H4,80895,90350,16360,60,19,1618,197,1151,-112,14,-15,373,2387,20264,HSC
2_H5,67789,86455,12662,136,18,1336,44,1053,-8,1,-3,297,1953,20066,HSC
2_H6,76707,88737,14018,65,44,1732,44,1948,-125,-5,-66,374,1836,19850,HSC
2_H7,76475,88028,13531,151,22,1349,-63,1437,-109,46,33,424,2021,19658,HSC
2_H8,74972,88745,20804,29,23,1147,4,522,105,36,-52,342,2034,19434,HSC
2_H9,62396,84383,12743,198,7,1374,25,1589,-42,9,-17,295,2030,19180,HSC
2_H10,69156,85053,11816,276,45,1302,-92,2008,-54,34,-85,443,2105,18986,HSC
2_H11,61744,84642,14377,-10,24,1968,12,1218,-188,15,-103,405,2565,18756,HSC
2_H12,70580,87101,16346,-2,22,1346,59,931,-19,13,29,262,1149,18564,HSC
3_A1,73169,89666,15918,131,32,2378,-22,1351,-196,37,-51,513,3297,845,HSC
3_A2,73425,86190,17344,124,1,1147,357,364,123,49,26,336,1658,1066,HSC
3_A3,71339,87076,16081,68,9,937,-51,1623,-25,50,19,263,1468,1276,HSC
3_A4,62451,88472,15619,23,40,1055,1101,1206,-122,32,-210,1822,1657,1505,HSC
3_A5,63535,82451,11560,110,31,1001,195,1421,17,31,-80,287,1460,1762,HSC
3_A6,52866,81944,13482,24,30,1335,81,682,-89,2,-43,332,2687,1968,HSC
3_A7,49940,81283,16438,79,27,763,-14,798,-5,27,-13,327,1256,2163,HSC
3_A8,66466,87747,11683,118,15,1588,185,762,-120,27,-34,285,1726,2376,HSC
3_A9,63620,81841,11299,84,52,1568,-15,2584,-128,19,-89,617,2119,2586,HSC
3_A10,75253,91464,19608,-47,-5,1025,163,1089,76,19,-2,267,2956,2802,HSC
3_A11,72880,87527,14521,3,-6,1169,75,668,-37,18,-55,326,1386,3081,HSC
3_A12,54784,80205,8954,8,45,1502,4,1217,-125,12,-55,406,1651,3303,HSC
3_B1,73909,87593,14022,140,12,2172,107,1503,92,7,-119,388,2174,5986,HSC
3_B2,67488,85153,16933,121,-4,1665,575,2337,-18,19,-129,504,2531,5762,HSC
3_B3,72804,86667,15218,135,18,1356,263,275,-22,29,-34,281,1170,5557,HSC
3_B4,71612,87013,13119,54,26,1193,57,1507,-76,21,-5,329,1838,5322,HSC
3_B5,72284,84896,14365,220,23,1404,-23,1672,-100,22,-13,332,1698,5096,HSC
3_B6,81579,90598,17183,150,-2,1021,230,1087,-59,14,51,518,2587,4848,HSC
3_B7,71272,86152,13387,123,23,1590,-48,1913,-181,17,27,382,2095,4587,HSC
3_B8,78977,90343,14349,232,19,1878,-20,1211,-144,30,-46,343,2384,4388,HSC
3_B9,115924,106885,39102,168,2,1696,66,476,16,125,-1,413,2029,4182,HSC
3_B10,58803,81850,10500,60,18,968,56,628,15,49,-23,271,1290,3971,HSC
3_B11,75116,89776,14978,150,15,1336,-61,2478,-153,25,2,409,1235,3731,HSC
3_B12,51278,84072,11291,81,7,2490,196,668,-268,27,-169,560,3115,3513,HSC
3_C1,79418,90273,14653,-19,13,1135,20,1023,-72,31,-52,267,2138,6211,HSC
3_C2,75523,88065,17821,75,7,1499,116,470,-137,41,-68,362,1975,6456,HSC
3_C3,67761,85936,12537,145,42,1430,19,1271,-129,27,-38,333,2503,6678,HSC
3_C4,57499,85744,11148,-11,2,758,-62,926,-98,19,-13,416,1174,6876,HSC
3_C5,68821,83102,12724,13,46,1384,54,1268,-91,17,30,369,1148,7103,HSC
3_C6,59300,85709,13003,148,5,911,-71,760,-46,41,-62,280,2217,7332,HSC
3_C7,82246,90469,16340,-35,21,1679,127,1101,-110,21,-68,493,1951,7543,HSC
3_C8,58789,82600,15654,8,16,1772,190,2065,-186,-2,-74,396,2621,7738,HSC
3_C9,67070,86660,15060,43,20,1985,343,1074,-103,39,-115,804,2193,7938,HSC
3_C10,62483,82505,13188,36,23,863,86,467,-54,35,-17,291,1936,8146,HSC
3_C11,68876,84359,14822,29,31,1039,650,2455,-15,11,-112,291,2536,8337,HSC
3_C12,54094,81336,17383,134,46,1206,-50,1911,-80,11,-14,332,1476,8546,HSC
3_D1,79212,93910,25981,129,-5,970,-9,1726,-112,27,-36,397,2213,11172,HSC
3_D2,64670,83467,13332,319,22,1094,-66,1188,-104,13,9,360,1894,10948,HSC
3_D3,71175,84628,15638,137,19,1036,11,828,-30,32,47,247,1620,10737,HSC
3_D4,71519,85766,12130,215,38,925,-72,1410,-99,33,-71,390,2123,10540,HSC
3_D5,73090,86028,11541,204,5,997,70,1115,-85,30,-12,320,1226,10339,HSC
3_D6,66175,86037,11525,54,9,1052,9,1201,-75,17,-43,226,1419,10091,HSC
3_D7,82151,90723,19553,77,34,1742,215,1075,-7,22,-49,330,1098,9870,HSC
3_D8,72628,87016,15426,89,27,1527,235,649,-98,32,-61,370,1928,9663,HSC
3_D9,75990,88217,22272,179,15,1728,-6,1853,-25,43,-75,410,2975,9470,HSC
3_D10,63569,85893,9631,47,19,840,-48,1253,-61,27,24,349,1493,9259,HSC
3_D11,66986,82965,11261,84,32,1373,46,902,-134,11,-96,355,4183,9018,HSC
3_D12,84019,91497,14812,73,22,1611,39,435,40,59,203,369,2458,8788,HSC
3_E1,80072,88990,16551,98,15,1032,-29,1581,-46,39,52,405,1893,11378,HSC
3_E2,67706,85938,12962,-36,18,1256,-96,2233,-117,32,-123,298,2793,11622,HSC
3_E3,58421,82025,16122,42,12,727,746,502,-22,13,-1,238,1293,11829,HSC
3_E4,78685,87821,18278,140,31,1643,-39,986,-1,47,-73,423,2158,12053,HSC
3_E5,85610,95213,17651,28,18,1129,33,719,90,9,-65,355,2056,12276,HSC
3_E6,73179,86346,14545,16,48,1013,135,1256,-102,1,47,373,1603,12480,HSC
3_E7,66557,82565,14690,146,8,1378,93,1150,-31,41,65,351,1709,12674,HSC
3_E8,75646,88704,17094,29,27,867,89,662,66,19,8,390,1280,12911,HSC
3_E9,78859,89557,17622,180,-13,952,113,1247,-88,42,-52,337,2121,13159,HSC
3_E10,70741,85501,16429,60,47,1722,2247,529,-12,47,-85,419,1969,13385,HSC
3_E11,78435,93554,16186,253,51,2364,43,1355,-88,24,-50,474,2145,13592,HSC
3_E12,69741,88050,11588,143,-11,1403,752,661,-16,35,-43,351,2030,13815,HSC
3_F1,82295,94755,16843,244,0,1923,19,1258,66,28,-36,502,2461,16254,HSC
3_F2,73839,89238,14834,127,25,1219,26,937,-102,29,28,439,1705,16038,HSC
3_F3,79031,88908,16553,93,16,1251,-52,1730,127,31,34,325,1955,15835,HSC
3_F4,70942,95481,21937,105,69,1029,24,1442,17,41,-18,336,1478,15639,HSC
3_F5,60410,84971,15564,130,-8,1296,400,2195,-144,11,-110,231,2192,15427,HSC
3_F6,72261,87174,14567,114,22,1860,-81,2537,-189,31,-60,519,3610,15227,HSC
3_F7,70830,85611,15345,90,11,1146,149,1818,-137,18,-71,382,1788,15012,HSC
3_F8,64317,85756,13373,91,16,1957,102,2235,-97,13,-59,454,1976,14811,HSC
3_F9,67334,85167,13934,294,27,1259,-43,2317,-55,28,-39,334,2003,14612,HSC
3_F10,58105,82062,13193,67,13,846,142,1095,-33,17,-27,239,1321,14423,HSC
3_F11,65524,85986,11860,10,29,1062,7,1140,-158,18,36,335,1648,14211,HSC
3_F12,77251,95064,14863,-42,34,1981,12,1289,-135,20,-83,463,2127,14011,HSC
3_G1,75187,92439,16061,99,-3,1483,71,1243,-111,27,-116,286,1563,16525,HSC
3_G2,49060,81335,15408,-25,-1,1201,693,824,-31,24,-28,267,1781,16770,HSC
3_G3,71056,86887,16543,73,31,1063,785,1022,59,61,-98,487,1780,17012,HSC
3_G4,67772,85931,13493,91,21,1421,13,1290,-123,21,-32,389,1454,17219,HSC
3_G5,74014,85267,15636,-22,-2,1681,-1,644,-115,27,31,539,1778,17433,HSC
3_G6,55946,82136,14565,103,27,1572,-30,2195,-257,18,-118,387,2372,17640,HSC
3_G7,81454,89396,14085,278,-7,1008,184,1007,-28,7,-24,392,2025,17872,HSC
3_G8,73902,86885,14205,61,32,1331,9,1165,-26,12,-53,462,1990,18065,HSC
3_G9,61279,86070,18085,49,36,566,547,429,-37,-5,-98,706,1529,18282,HSC
3_G10,70380,86180,14339,33,47,1406,-18,689,-67,29,-12,426,2016,18483,HSC
3_G11,78706,87875,14631,5,34,2005,2,703,-161,-5,-60,579,3081,18756,HSC
3_G12,67618,84529,13411,148,30,1336,112,986,-115,43,2,308,1813,19009,HSC
3_H1,69642,87092,17475,-41,21,1245,137,790,14,10,-25,267,1798,21743,HSC
3_H2,74440,91125,11834,98,27,1206,118,347,12,2,-1,339,1196,21510,HSC
3_H3,66241,82872,12829,253,37,1188,13,1837,-40,26,-78,339,2075,21310,HSC
3_H4,70096,86373,12936,-41,23,1132,-7,1582,-17,0,20,330,2380,21080,HSC
3_H5,71682,89307,12593,87,21,1008,305,1113,-56,37,73,502,2114,20876,HSC
3_H6,75186,95774,11940,174,16,706,-29,1935,-20,18,-59,318,2126,20630,HSC
3_H7,63641,83715,12307,90,21,1117,628,1556,-143,3,-11,339,1362,20399,HSC
3_H8,70573,86672,13313,36,10,829,-68,587,-108,42,-8,284,1712,20200,HSC
3_H9,68886,85221,9626,94,35,938,-27,447,9,0,54,215,1743,19933,HSC
3_H10,65882,84158,10010,34,29,1339,236,799,65,33,-15,316,1920,19716,HSC
3_H11,65507,85757,14858,55,14,900,238,748,-85,12,-35,428,1518,19481,HSC
3_H12,63974,82635,11315,245,4,1867,-19,946,-34,46,-36,358,2533,19206,HSC
4_A1,84826,90865,17644,70,8,1157,-47,324,72,-2,14,346,1502,832,HSC
4_A2,71537,85508,14878,137,16,1879,1122,976,25,32,-1,499,1978,1099,HSC
4_A3,71656,92863,12669,264,34,1983,338,770,-53,18,-58,386,1163,1331,HSC
4_A4,68504,86096,12514,-14,-1,1420,-56,1999,-177,30,-51,353,2191,1545,HSC
4_A5,63476,85429,9131,66,43,1755,356,655,-158,9,-79,427,1325,1761,HSC
4_A6,52521,79023,13028,208,25,1146,-41,1796,-47,-2,-30,246,1224,1958,HSC
4_A7,74341,86412,16446,48,4,1684,952,1025,-79,56,-94,513,1938,2192,HSC
4_A8,75494,88422,14564,36,26,1471,1,3070,-33,27,-124,408,2332,2433,HSC
4_A9,73495,86676,16713,91,55,1196,-59,1096,-61,-1,19,271,2305,2648,HSC
4_A10,68701,84245,13208,153,34,1139,58,463,49,40,3,322,1807,2847,HSC
4_A11,68812,85458,16495,142,14,963,283,310,-16,13,-7,281,1301,3042,HSC
4_A12,73422,86620,11127,53,29,892,-11,467,-93,-9,-22,321,1518,3280,HSC
4_B1,80066,88279,17773,130,30,1322,266,925,-105,41,-45,448,2675,5932,HSC
4_B2,72666,87540,16082,202,19,1415,14,1053,-96,27,2,410,2494,5731,HSC
4_B3,70914,85129,13497,-31,18,1112,47,1247,-60,20,-44,312,1259,5532,HSC
4_B4,68931,90385,11711,-11,10,1128,156,1693,-125,35,42,355,1907,5329,HSC
