"Plate_well","exp","fcs.name","SingleCells.count","NonEry.count","CD56neg.count","CD14neg.count","IntermediateNeut.count","IntermediateNeut.freq.of.CD14neg","MatureNeut.count","MatureNeut.freq.of.CD14neg","MatureNeut.FSC.A","MatureNeut.SSC.A","EarlyNeut.count","EarlyNeut.freq.of.CD14neg","Mono.count","Mono.freq.of.NonEry","Mono.freq.of.CD56neg","Mono.CD11b.Median","Mono.CD14.Median","Mono.FSC.A","Mono.SSC.A","Mono2.count","Mono2.freq.of.NonEry","Mono2.freq.of.CD56neg","Mono2.CD11b.Median","Mono2.CD14.Median","Mono2.FSC.A","Mono2.SSC.A","Ery.count","IntermediateNeut.FSC.A","IntermediateNeut.SSC.A","EarlyNeut.FSC.A","EarlyNeut.SSC.A","CD66bNeut.CD11b.Median","CD66bNeut.CD66b.Median","CD66bNeut.FSC.A","CD66bNeut.SSC.A","TrueFalse"
"1_A11","AML2","LEUK37_Plate1_A11_A11_011.fcs",21079,21075,21074,16975,10962,64.6,3627,21.4,166656,35456,1940,11.4,1360,6.45,6.45,1764,5393,179200,42432,366,1.74,1.74,2665,4246,179072,60288,0,161856,31680,151936,34880,786,16117,162944,32640,"TRUE"
"1_A12","AML2","LEUK37_Plate1_A12_A12_012.fcs",59563,59520,59511,53739,30682,57.1,17651,32.8,165824,36352,2350,4.37,3986,6.7,6.7,5029,2433,204416,88000,3089,5.19,5.19,5521,2341,210432,97472,3,160128,32000,159808,35904,925,20961,161920,33536,"TRUE"
"1_B1","AML2","LEUK37_Plate1_B1_B01_013.fcs",52287,51341,51323,23811,20,0.084,6,0.025,137792,31168,12789,53.7,16536,32.2,32.2,1728,4016,170496,50048,16530,32.2,32.2,1728,4016,170496,50048,1,161152,28416,181760,37952,1010,11881,167360,39104,"TRUE"
"1_B2","AML2","LEUK37_Plate1_B2_B02_014.fcs",19597,19594,19593,17255,4760,27.6,9833,57,145408,34048,534,3.09,1478,7.54,7.54,2006,6602,148352,37952,459,2.34,2.34,1741,9974,143040,36992,0,135488,29568,132160,30016,1413,13265,141376,32640,"TRUE"
"1_B3","AML2","LEUK37_Plate1_B3_B03_015.fcs",50,38,30,23,3,13,8,34.8,135808,35136,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,135488,31360,NA,NA,1459,13204,135808,35136,"TRUE"
"1_B4","AML2","LEUK37_Plate1_B4_B04_016.fcs",3742,2656,2418,1720,56,3.26,6,0.35,158016,128320,93,5.41,27,1.02,1.12,1327,7142,208704,65472,24,0.9,0.99,1295,7142,197440,59392,36,178432,34944,160896,34560,830,5509,172032,42880,"TRUE"
"1_B5","AML2","LEUK37_Plate1_B5_B05_017.fcs",20890,20879,20878,12144,16,0.13,0,0,NA,NA,10951,90.2,6174,29.6,29.6,1888,3649,174464,53376,6166,29.5,29.5,1888,3649,174464,53376,0,207552,43776,183872,41472,835,3379,207552,49920,"TRUE"
"1_B6","AML2","LEUK37_Plate1_B6_B06_018.fcs",9143,9140,9126,1309,402,30.7,127,9.7,174016,40704,432,33,7384,80.8,80.9,4057,5224,214784,87680,7219,79,79.1,4091,5202,215232,88320,0,170816,38400,164544,48768,828,13174,170944,39872,"TRUE"
"1_B7","AML2","LEUK37_Plate1_B7_B07_019.fcs",396,396,395,92,1,1.09,1,1.09,140416,30464,71,77.2,2,0.51,0.51,6186,4444,183936,134592,1,0.25,0.25,6186,9555,229504,134592,0,131840,26944,196224,43328,747,6335,131840,26944,"TRUE"
"1_B8","AML2","LEUK37_Plate1_B8_B08_020.fcs",11,11,10,8,0,0,0,0,NA,NA,1,12.5,1,9.09,10,2514,3708,187712,61312,1,9.09,10,2514,3708,187712,61312,0,NA,NA,173568,35456,1874,5824,139968,127168,"FALSE"
"1_B9","AML2","LEUK37_Plate1_B9_B09_021.fcs",12693,12575,12553,6845,4125,60.3,955,14,176064,35712,1412,20.6,2628,20.9,20.9,5007,3266,192832,66880,2170,17.3,17.3,5509,2877,195328,72512,2,182464,34304,171904,36992,723,13144,181632,34624,"TRUE"
"1_B10","AML2","LEUK37_Plate1_B10_B10_022.fcs",57652,57636,57630,55538,37715,67.9,15495,27.9,172800,40448,799,1.44,1201,2.08,2.08,2405,3083,187776,58176,516,0.9,0.9,4472,2992,189760,79488,0,167872,35968,156608,35776,855,16966,169024,37184,"TRUE"
"1_B11","AML2","LEUK37_Plate1_B11_B11_023.fcs",63747,63621,63616,58191,42734,73.4,7591,13,170560,36416,2439,4.19,3906,6.14,6.14,4125,1822,191616,79680,3708,5.83,5.83,4185,1825,192192,80512,2,164992,32128,152576,33344,689,17490,166016,32832,"TRUE"
"1_B12","AML2","LEUK37_Plate1_B12_B12_024.fcs",13771,12588,12577,6548,54,0.82,11,0.17,175232,62336,3781,57.7,2313,18.4,18.4,1892,3234,177216,63296,2282,18.1,18.1,1877,3259,176768,62912,8,152192,50944,154432,41984,1950,6404,155648,124224,"TRUE"
"1_C1","AML2","LEUK37_Plate1_C1_C01_025.fcs",822,573,214,198,0,0,0,0,NA,NA,16,8.08,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,3,NA,NA,172288,48320,1979,5750,133760,116672,"TRUE"
"1_C2","AML2","LEUK37_Plate1_C2_C02_026.fcs",4882,4880,4853,2580,39,1.51,2,0.078,234112,56960,2436,94.4,1103,22.6,22.7,1702,5439,192384,65792,1096,22.5,22.6,1699,5451,192192,65472,0,197568,55936,183744,54336,873,3561,199552,64128,"TRUE"
"1_C3","AML2","LEUK37_Plate1_C3_C03_027.fcs",35908,35896,35880,24770,13186,53.2,6366,25.7,174144,34496,4000,16.1,7588,21.1,21.1,4791,3532,188928,61824,6120,17,17.1,5486,3214,188928,69312,0,182400,34560,172480,35200,849,16042,180160,34560,"TRUE"
"1_C4","AML2","LEUK37_Plate1_C4_C04_028.fcs",24574,24567,24507,18308,6591,36,8456,46.2,160960,36416,637,3.48,4924,20,20.1,4731,3870,179456,69440,3433,14,14,5900,3800,185664,79360,1,161984,34368,146688,38976,1235,25337,160960,35584,"TRUE"
"1_C5","AML2","LEUK37_Plate1_C5_C05_029.fcs",187,187,186,173,2,1.16,6,3.47,150144,26688,32,18.5,4,2.14,2.15,3693,3434,182464,81920,4,2.14,2.15,3693,3434,182464,81920,0,157760,22592,204416,46912,1758,19854,157760,26688,"TRUE"
"1_C6","AML2","LEUK37_Plate1_C6_C06_030.fcs",19548,14951,14855,14146,3836,27.1,1571,11.1,165440,38848,216,1.53,234,1.57,1.58,1777,3754,179200,49664,35,0.23,0.24,1633,4944,183168,47552,46,164096,33984,146560,42240,901,13701,165760,36416,"TRUE"
"1_C7","AML2","LEUK37_Plate1_C7_C07_031.fcs",11253,11210,11201,4249,2036,47.9,27,0.64,216576,49088,1398,32.9,5846,52.1,52.2,5787,4585,202880,84800,5795,51.7,51.7,5799,4604,202880,84800,1,188992,36736,162432,34176,555,11455,189312,36928,"TRUE"
"1_C8","AML2","LEUK37_Plate1_C8_C08_032.fcs",2457,2451,2422,2208,808,36.6,179,8.11,224320,65792,65,2.94,39,1.59,1.61,1379,7142,218112,66944,9,0.37,0.37,2328,12524,212544,139456,0,186304,38656,168832,32384,1204,5725,209472,51968,"TRUE"
"1_C9","AML2","LEUK37_Plate1_C9_C09_033.fcs",181,180,179,177,0,0,0,0,NA,NA,36,20.3,1,0.56,0.56,9729,21160,236288,187712,1,0.56,0.56,9729,21160,236288,187712,0,NA,NA,204544,52928,1143,3064,197824,62272,"TRUE"
"1_C10","AML2","LEUK37_Plate1_C10_C10_034.fcs",13566,13553,13551,9000,3664,40.7,2899,32.2,185600,43904,1314,14.6,3745,27.6,27.6,3504,2957,200256,77696,3252,24,24,3723,2832,201024,81280,0,176192,38464,171712,48448,1057,21310,179264,41152,"TRUE"
"1_C11","AML2","LEUK37_Plate1_C11_C11_035.fcs",25480,25459,25434,13605,3003,22.1,127,0.93,207040,45568,6394,47,8954,35.2,35.2,4024,2083,199936,80320,8602,33.8,33.8,3959,2091,199104,79168,0,189312,37312,165120,39232,634,9177,189824,37952,"TRUE"
"1_C12","AML2","LEUK37_Plate1_C12_C12_036.fcs",47551,47494,47463,31496,401,1.27,6,0.019,169472,49984,24859,78.9,12636,26.6,26.6,2240,3476,177728,61888,12587,26.5,26.5,2240,3483,177600,61824,0,198592,38912,183936,37952,682,3823,198720,41344,"TRUE"
"1_D1","AML2","LEUK37_Plate1_D1_D01_037.fcs",4612,4609,4609,1330,0,0,0,0,NA,NA,1235,92.9,2298,49.9,49.9,3004,5837,171840,53760,2298,49.9,49.9,3004,5837,171840,53760,0,NA,NA,192704,40640,1161,3107,178880,63296,"TRUE"
"1_D2","AML2","LEUK37_Plate1_D2_D02_038.fcs",26183,26042,26031,12198,1743,14.3,34,0.28,196032,43392,6017,49.3,11231,43.1,43.1,4444,5787,197376,81792,11166,42.9,42.9,4444,5812,197376,81600,5,191680,36992,129472,29312,535,7301,191744,37632,"TRUE"
"1_D3","AML2","LEUK37_Plate1_D3_D03_039.fcs",41081,37330,37307,24651,12734,51.7,3551,14.4,173184,35904,4520,18.3,10143,27.2,27.2,4566,3095,182528,73088,9459,25.3,25.4,4692,3095,182336,74112,146,179456,35072,171328,35328,720,13701,178240,35328,"TRUE"
"1_D4","AML2","LEUK37_Plate1_D4_D04_040.fcs",46376,46269,46267,11907,356,2.99,4,0.034,165440,43968,8643,72.6,30297,65.5,65.5,2882,3028,176640,60224,30270,65.4,65.4,2882,3028,176576,60160,0,196288,42048,174976,37184,636,4008,196480,42560,"TRUE"
"1_D5","AML2","LEUK37_Plate1_D5_D05_041.fcs",1067,1067,964,894,56,6.26,0,0,NA,NA,100,11.2,49,4.59,5.08,2185,3723,200384,75200,38,3.56,3.94,1935,4272,194432,68864,0,155840,37568,145344,34048,1532,3769,184832,56512,"TRUE"
"1_D6","AML2","LEUK37_Plate1_D6_D06_042.fcs",47,45,45,26,1,3.85,0,0,NA,NA,20,76.9,4,8.89,8.89,1300,3170,233216,97280,4,8.89,8.89,1300,3170,233216,97280,0,141632,41152,197568,39488,886,3663,141632,40640,"TRUE"
"1_D7","AML2","LEUK37_Plate1_D7_D07_043.fcs",2777,2777,2774,1313,1096,83.5,108,8.23,174656,44736,93,7.08,142,5.11,5.12,1440,9974,184256,54272,25,0.9,0.9,1315,8318,184896,71424,0,163584,34240,157248,36736,652,29873,164608,35200,"TRUE"
"1_D8","AML2","LEUK37_Plate1_D8_D08_044.fcs",15122,15119,15117,9842,5387,54.7,3795,38.6,160832,34240,342,3.47,3503,23.2,23.2,4016,4125,196416,64064,2065,13.7,13.7,5787,3089,213952,89472,0,168576,33408,156352,42752,978,27280,165888,33792,"TRUE"
"1_D9","AML2","LEUK37_Plate1_D9_D09_045.fcs",41053,39950,39943,22975,35,0.15,1,0.00435,138112,28672,10485,45.6,12725,31.9,31.9,2777,3279,172160,61056,12709,31.8,31.8,2777,3279,172096,60992,9,173632,46144,115584,30464,1394,3785,173632,97024,"TRUE"
"1_D10","AML2","LEUK37_Plate1_D10_D10_046.fcs",31320,31224,31220,25334,17596,69.5,865,3.41,204032,79104,3097,12.2,5275,16.9,16.9,3731,5202,218880,113728,5142,16.5,16.5,3723,5302,219328,113152,0,185856,37440,185024,35136,500,11881,186944,38784,"TRUE"
"1_D11","AML2","LEUK37_Plate1_D11_D11_047.fcs",12,12,12,10,2,20,1,10,201920,206592,3,30,1,8.33,8.33,5497,10179,246272,172864,1,8.33,8.33,5497,10179,246272,172864,0,174592,37120,180032,44608,1822,7205,178304,148992,"FALSE"
"1_D12","AML2","LEUK37_Plate1_D12_D12_048.fcs",18588,18432,18425,14630,8876,60.7,729,4.98,196032,48704,2134,14.6,3184,17.3,17.3,4537,3855,220480,118208,3045,16.5,16.5,4528,3967,220160,115520,3,189952,41280,153216,35904,611,19668,190592,42048,"TRUE"
"1_E1","AML2","LEUK37_Plate1_E1_E01_049.fcs",3348,1744,1699,1553,23,1.48,10,0.64,153472,140672,28,1.8,4,0.23,0.24,2231,2387,180672,114816,3,0.17,0.18,3649,4125,224064,130880,37,162816,119616,132288,37632,974,6377,157632,131840,"TRUE"
"1_E2","AML2","LEUK37_Plate1_E2_E02_050.fcs",46749,46420,46363,21101,114,0.54,2,0.00948,156672,62528,10586,50.2,20307,43.7,43.8,2396,3208,181312,63424,20238,43.6,43.7,2391,3208,181248,63296,5,195456,40704,175808,37760,848,3934,197184,51072,"TRUE"
"1_E3","AML2","LEUK37_Plate1_E3_E03_051.fcs",26989,22140,22123,21009,5662,27,4140,19.7,162304,39424,389,1.85,570,2.57,2.58,2249,3723,165248,50752,255,1.15,1.15,2514,3663,164800,67072,46,158784,33472,142656,35136,1016,22184,159808,36224,"TRUE"
"1_E4","AML2","LEUK37_Plate1_E4_E04_052.fcs",12645,12637,12629,11729,5667,48.3,5270,44.9,164096,53248,118,1.01,619,4.9,4.9,2164,3808,190912,69120,298,2.36,2.36,2377,3504,199744,83712,0,156032,42240,146816,44352,1095,23261,159168,47488,"TRUE"
"1_E5","AML2","LEUK37_Plate1_E5_E05_053.fcs",25845,24793,24655,19227,486,2.53,11,0.057,225536,55232,5012,26.1,2504,10.1,10.2,2037,3999,165184,66368,2469,9.96,10,2021,4032,164864,65920,100,177792,42816,159296,40896,728,4721,179136,48512,"TRUE"
"1_E6","AML2","LEUK37_Plate1_E6_E06_054.fcs",36141,36128,36120,31308,17976,57.4,6418,20.5,173504,43904,5487,17.5,1854,5.13,5.13,1791,3983,188928,57600,649,1.8,1.8,2164,3671,196864,79552,2,165248,35904,175680,40640,826,24919,167232,38016,"TRUE"
"1_E7","AML2","LEUK37_Plate1_E7_E07_055.fcs",37752,33388,32657,30494,20297,66.6,476,1.56,196928,45504,1664,5.46,1685,5.05,5.16,4024,2485,199296,80000,1591,4.77,4.87,4108,2505,198656,80448,0,176384,32576,163072,23360,433,16230,176896,32960,"TRUE"
"1_E8","AML2","LEUK37_Plate1_E8_E08_056.fcs",2768,2621,2113,1356,18,1.33,5,0.37,90880,54464,20,1.47,672,25.6,31.8,3010,4334,220864,74240,639,24.4,30.2,2963,4425,219968,73664,1,152064,27968,148288,22976,1183,6173,149184,51904,"TRUE"
"1_E9","AML2","LEUK37_Plate1_E9_E09_057.fcs",51501,46639,44471,37904,4152,11,24,0.063,159808,33920,6720,17.7,4104,8.8,9.23,1832,2928,164864,54080,4088,8.77,9.19,1828,2934,164736,54016,0,141184,17664,138240,14656,202,6573,141824,17920,"TRUE"
"1_E10","AML2","LEUK37_Plate1_E10_E10_058.fcs",50180,47749,47362,41069,12303,30,249,0.61,197888,40256,15105,36.8,4526,9.48,9.56,2568,2193,198912,66752,4446,9.31,9.39,2558,2202,198784,66432,1,185472,28416,173376,27264,461,7173,185728,28864,"TRUE"
"1_E11","AML2","LEUK37_Plate1_E11_E11_059.fcs",24653,23824,23713,13149,4274,32.5,528,4.02,209728,37312,3478,26.5,8223,34.5,34.7,2917,2534,196288,58368,8063,33.8,34,2928,2529,196096,58560,2,184576,24640,131328,20864,583,15672,187200,26624,"TRUE"
"1_E12","AML2","LEUK37_Plate1_E12_E12_060.fcs",926,837,791,466,9,1.93,1,0.21,102272,56832,73,15.7,192,22.9,24.3,1849,3855,201024,70720,190,22.7,24,1849,3855,201024,70592,0,145152,48896,163776,45056,614,3649,145152,48896,"TRUE"
"1_F1","AML2","LEUK37_Plate1_F1_F01_061.fcs",15445,14024,13661,6194,103,1.66,11,0.18,216704,77184,1162,18.8,4623,33,33.8,2244,3420,182336,62464,4607,32.9,33.7,2240,3427,182272,62400,0,147456,26112,149504,31936,807,4872,144064,36864,"TRUE"
"1_F2","AML2","LEUK37_Plate1_F2_F02_062.fcs",1346,922,889,339,29,8.55,2,0.59,198336,7360,127,37.5,206,22.3,23.2,2017,4316,176896,49920,192,20.8,21.6,2044,4254,174720,49728,0,161152,26176,148544,20992,571,4594,161280,26176,"TRUE"
"1_F3","AML2","LEUK37_Plate1_F3_F03_063.fcs",4493,3107,2979,1612,362,22.5,180,11.2,185344,37312,275,17.1,987,31.8,33.1,2843,4024,189120,64448,890,28.6,29.9,2940,3926,188160,66816,0,164608,25216,148288,27776,893,13023,171584,28992,"TRUE"
"1_F4","AML2","LEUK37_Plate1_F4_F04_064.fcs",965,572,533,232,44,19,23,9.91,183424,36224,63,27.2,139,24.3,26.1,1994,6896,194880,58304,81,14.2,15.2,1781,5874,206912,66752,0,159488,30208,164992,34496,892,9951,167040,32704,"TRUE"
"1_F5","AML2","LEUK37_Plate1_F5_F05_065.fcs",7995,4583,4486,3708,1627,43.9,1398,37.7,173312,45440,86,2.32,549,12,12.2,2761,3028,186944,63360,382,8.34,8.52,2905,3325,182784,68288,0,133760,27136,122880,27200,1032,36901,155264,35392,"TRUE"
"1_F6","AML2","LEUK37_Plate1_F6_F06_066.fcs",30,26,25,22,0,0,4,18.2,184320,40512,0,0,1,3.85,4,3151,2951,196736,38784,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2341,10179,165632,90368,"TRUE"
"1_F7","AML2","LEUK37_Plate1_F7_F07_067.fcs",601,508,272,269,9,3.35,5,1.86,156736,116416,0,0,1,0.2,0.37,2132,1317,210048,99392,1,0.2,0.37,2132,1317,210048,99392,0,137472,90176,NA,NA,1335,6093,146304,102784,"TRUE"
"1_F8","AML2","LEUK37_Plate1_F8_F08_068.fcs",1369,1001,968,279,19,6.81,3,1.08,188352,48768,39,14,529,52.8,54.6,2644,4481,216256,92352,517,51.6,53.4,2634,4509,216256,91712,0,171712,27456,168192,33984,890,4614,160768,42496,"TRUE"
"1_F9","AML2","LEUK37_Plate1_F9_F09_069.fcs",3105,2736,2686,2184,10,0.46,0,0,NA,NA,1138,52.1,128,4.68,4.77,1544,3279,198912,68864,123,4.5,4.58,1538,3279,199424,68672,0,147392,73600,178112,32064,1168,2917,145728,68288,"TRUE"
"1_F10","AML2","LEUK37_Plate1_F10_F10_070.fcs",13522,12207,11063,10920,128,1.17,3,0.027,230464,222912,56,0.51,1,0.00819,0.00904,9534,5509,244544,112576,1,0.00819,0.00904,9534,5509,244544,112576,3,173120,144896,86336,24704,558,5347,174208,145792,"TRUE"
"1_F11","AML2","LEUK37_Plate1_F11_F11_071.fcs",29,27,27,24,1,4.17,0,0,NA,NA,0,0,2,7.41,7.41,1998,1987,147584,42880,1,3.7,3.7,1998,1987,164800,42880,0,173376,177664,NA,NA,360,7317,173376,177664,"FALSE"
"1_F12","AML2","LEUK37_Plate1_F12_F12_072.fcs",4448,1868,1828,1613,741,45.9,636,39.4,168256,44800,38,2.36,137,7.33,7.49,2244,6028,183040,59840,17,0.91,0.93,3208,3731,167616,71488,0,148288,29888,153920,9856,1038,31565,160512,39040,"TRUE"
"1_G1","AML2","LEUK37_Plate1_G1_G01_073.fcs",123,33,32,22,1,4.55,0,0,NA,NA,6,27.3,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,209216,40768,127936,20096,699,3427,209216,40768,"TRUE"
"1_G2","AML2","LEUK37_Plate1_G2_G02_074.fcs",7644,5950,5594,2624,13,0.5,0,0,NA,NA,399,15.2,1853,31.1,33.1,2424,5147,179904,78080,1849,31.1,33.1,2419,5158,179776,77824,0,146176,94656,69888,24768,1038,3455,146176,99712,"TRUE"
"1_G3","AML2","LEUK37_Plate1_G3_G03_075.fcs",4884,4479,3898,2750,10,0.36,2,0.073,132288,97728,183,6.65,875,19.5,22.4,2969,6015,188544,93440,867,19.4,22.2,2969,6080,188160,93184,0,62144,30080,65792,25792,1801,3886,148992,122624,"TRUE"
"1_G4","AML2","LEUK37_Plate1_G4_G04_076.fcs",4031,1186,1165,1073,497,46.3,309,28.8,176576,50496,38,3.54,56,4.72,4.81,2219,4361,187072,59200,8,0.67,0.69,2821,3983,168896,61760,0,125888,27456,124288,12992,884,23151,152256,39168,"TRUE"
"1_G5","AML2","LEUK37_Plate1_G5_G05_077.fcs",617,616,545,26,4,15.4,6,23.1,160256,46976,1,3.85,508,82.5,93.2,2799,5912,219136,90048,506,82.1,92.8,2799,5925,219136,90048,0,137088,39424,39680,16320,1582,31039,155136,46976,"TRUE"
"1_G6","AML2","LEUK37_Plate1_G6_G06_078.fcs",9399,9398,9393,8048,4909,61,2948,36.6,174784,40320,51,0.63,684,7.28,7.28,1892,4652,191872,51520,123,1.31,1.31,3476,7095,208896,100160,0,167744,33664,148800,41280,952,26384,169728,36160,"TRUE"
"1_G7","AML2","LEUK37_Plate1_G7_G07_079.fcs",29114,29105,29097,25039,13056,52.1,10399,41.5,169856,35456,763,3.05,2552,8.77,8.77,2963,3583,190400,56128,1320,4.54,4.54,4361,2514,198592,82176,0,173312,33088,157504,38144,1014,27673,171840,34240,"TRUE"
"1_G8","AML2","LEUK37_Plate1_G8_G08_080.fcs",36693,26327,26219,23315,1570,6.73,372,1.6,184960,48192,337,1.45,201,0.76,0.77,1761,4116,182336,56064,21,0.08,0.08,2202,3201,175168,74624,69,172544,35520,126912,40896,1181,8467,188608,55104,"TRUE"
"1_G9","AML2","LEUK37_Plate1_G9_G09_081.fcs",32589,29765,29725,27386,6675,24.4,5569,20.3,167488,37568,436,1.59,1578,5.3,5.31,3777,4272,177856,69824,1086,3.65,3.65,4566,4731,174848,79040,9,165248,33280,146240,38144,1165,15527,171520,37568,"TRUE"
"1_G10","AML2","LEUK37_Plate1_G10_G10_082.fcs",49360,49014,48998,24749,329,1.33,8,0.032,178816,40064,9312,37.6,19920,40.6,40.7,2604,2524,186624,69952,19753,40.3,40.3,2588,2529,186496,69760,1,196096,41152,164096,40320,707,4290,193408,46080,"TRUE"
"1_G11","AML2","LEUK37_Plate1_G11_G11_083.fcs",55948,55887,55884,53548,45287,84.6,4358,8.14,173248,43008,610,1.14,1852,3.31,3.31,5082,2639,200256,96128,1673,2.99,2.99,5114,2707,199872,95488,2,165248,36608,142720,33536,619,25337,165952,37120,"TRUE"
"1_G12","AML2","LEUK37_Plate1_G12_G12_084.fcs",6224,6193,6177,3138,1879,59.9,173,5.51,172672,36672,660,21,2297,37.1,37.2,6502,3170,210880,96256,2178,35.2,35.3,6645,3083,212032,98944,0,177920,34432,152192,36096,608,18853,177152,34816,"TRUE"
"1_H1","AML2","LEUK37_Plate1_H1_H01_085.fcs",11162,11157,11153,3248,43,1.32,119,3.66,158336,38720,2431,74.8,5752,51.6,51.6,2476,4509,173440,55808,5549,49.7,49.8,2471,4453,173760,56256,0,151296,39744,181184,40896,1603,21010,157120,39168,"TRUE"
"1_H2","AML2","LEUK37_Plate1_H2_H02_086.fcs",19789,17135,17110,9312,2631,28.3,3563,38.3,158400,31744,330,3.54,5441,31.8,31.8,4831,5427,184384,57984,3069,17.9,17.9,7562,4924,196928,85056,37,169664,31424,159552,35200,1305,26196,164416,31936,"TRUE"
"1_H3","AML2","LEUK37_Plate1_H3_H03_087.fcs",17101,17086,17059,12253,8889,72.5,960,7.83,180160,39744,2174,17.7,1101,6.44,6.45,1867,5224,190784,59392,699,4.09,4.1,2452,4099,197568,73280,0,177152,34432,166976,35968,619,24450,177408,34944,"TRUE"
"1_H4","AML2","LEUK37_Plate1_H4_H04_088.fcs",18588,18566,18562,7583,3351,44.2,194,2.56,216704,57984,2394,31.6,9255,49.8,49.9,2686,3077,192576,72000,9186,49.5,49.5,2691,3064,192448,72064,1,192640,44800,172480,47680,634,13764,193920,45760,"TRUE"
"1_H5","AML2","LEUK37_Plate1_H5_H05_089.fcs",84465,76161,76122,70448,46829,66.5,8921,12.7,182592,42560,600,0.85,3940,5.17,5.18,4731,3847,184704,81024,3779,4.96,4.96,4771,3991,184384,81024,37,171776,35712,150400,36480,679,25948,173440,36736,"TRUE"
"1_H6","AML2","LEUK37_Plate1_H6_H06_090.fcs",2283,2272,2267,1714,1176,68.6,102,5.95,222720,55552,104,6.07,44,1.94,1.94,1216,8189,219392,60352,26,1.14,1.15,1181,8189,219392,59520,0,185792,37504,179008,36736,722,9177,189248,39616,"TRUE"
