Plate_well,Sort_id,Exp,platename,Sample_id,sample_name,Depth,VAF.varscan,VAF.mutect,VAF.platypus,mean_VAF,DNMT3A,exp,fcs.name,SingleCells.count,NonEry.count,CD56neg.count,CD14neg.count,IntermediateNeut.count,IntermediateNeut.freq.of.CD14neg,MatureNeut.count,MatureNeut.freq.of.CD14neg,MatureNeut.FSC.A,MatureNeut.SSC.A,EarlyNeut.count,EarlyNeut.freq.of.CD14neg,Mono.count,Mono.freq.of.NonEry,Mono.freq.of.CD56neg,Mono.CD11b.Median,Mono.CD14.Median,Mono.FSC.A,Mono.SSC.A,Mono2.count,Mono2.freq.of.NonEry,Mono2.freq.of.CD56neg,Mono2.CD11b.Median,Mono2.CD14.Median,Mono2.FSC.A,Mono2.SSC.A,Ery.count,IntermediateNeut.FSC.A,IntermediateNeut.SSC.A,EarlyNeut.FSC.A,EarlyNeut.SSC.A,CD66bNeut.CD11b.Median,CD66bNeut.CD66b.Median,CD66bNeut.FSC.A,CD66bNeut.SSC.A,TrueFalse,FSC-A,FSC-W,SSC-A,CD33,CD45RA,CD34,CD90,CD49f,CD38,CD19,Live/Dead,CD7/10,CD45,Time,Cell_seeded
1_A12,1_A12,LEUK34,Plate 1 LEUK34,1279,1279,60,NA,NA,0.08,0.08,MUT,AML3,AML_151044_Plate1_A12_A12_011.fcs,3690,3666,3445,2479,90,3.63,194,7.83,190784,64064,394,15.9,752,20.5,21.8,3761,6474,220608,98240,750,20.5,21.8,3761,6488,220288,98176,0,169664,47808,176320,55744,1655,4722,196288,69760,TRUE,74338,90615,16401,109,32,1060,-10,1281,-37,46,3,419,2189,3829,HSC
1_B1,1_B1,LEUK34,Plate 1 LEUK34,1209,1209,686,0.1187,NA,NA,0.1187,MUT,AML3,AML_151044_Plate1_B1_B01_012.fcs,7864,7839,7642,6041,11,0.18,1,0.017,191104,115392,456,7.55,619,7.9,8.1,2002,6911,180288,64576,614,7.83,8.03,1998,6926,179904,64192,0,173376,58176,166720,43776,2670,6250,96576,62976,TRUE,71312,88908,13524,20,5,1303,277,2197,20,27,-65,330,2007,6419,HSC
1_B2,1_B2,LEUK34,Plate 1 LEUK34,1217,1217,293,0.0548,NA,NA,0.0548,MUT,AML3,AML_151044_Plate1_B2_B02_013.fcs,16292,16220,16211,11330,125,1.1,20,0.18,237376,61888,10118,89.3,3679,22.7,22.7,3448,3170,204672,82560,3679,22.7,22.7,3448,3170,204672,82560,0,206720,47360,194240,44736,1181,3136,229248,60160,TRUE,67487,90573,12048,61,33,1245,-53,1182,-157,34,-23,447,2389,6227,HSC
1_B3,1_B3,LEUK34,Plate 1 LEUK34,1225,1225,73,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_B3_B03_014.fcs,4251,4231,3880,1246,3,0.24,2,0.16,40576,29120,77,6.18,2290,54.1,59,4672,3525,243200,110656,2283,54,58.8,4662,3525,243200,110592,0,188480,50816,168448,44480,2544,6753,81024,52224,TRUE,76815,89182,13847,127,-13,968,425,1270,20,46,-55,304,1992,6020,HSC
1_B5,1_B5,LEUK34,Plate 1 LEUK34,1237,1237,56,NA,NA,0.125,0.125,MUT,AML3,AML_151044_Plate1_B5_B05_015.fcs,13943,13439,13223,4173,3,0.072,1,0.024,154560,45504,1446,34.7,6365,47.4,48.1,4343,3469,257728,123136,6362,47.3,48.1,4343,3469,257600,123072,9,149056,46656,159424,47104,2490,6575,83392,56448,TRUE,68468,84194,14990,114,19,1084,120,1091,18,30,-10,330,1807,5628,HSC
1_B7,1_B7,LEUK34,Plate 1 LEUK34,1249,1249,235,0.0603,NA,NA,0.0603,MUT,AML3,AML_151044_Plate1_B7_B07_016.fcs,21526,21358,21119,14352,73,0.51,3,0.021,168512,86976,10205,71.1,3028,14.2,14.3,1924,4016,169344,56000,3025,14.2,14.3,1924,4016,169344,56000,0,173824,45184,173056,44032,1076,2908,181248,53248,TRUE,66698,82217,18129,338,33,1176,125,2097,0,-7,-55,303,1613,5234,HSC
1_B8,1_B8,LEUK34,Plate 1 LEUK34,1256,1256,50,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_B8_B08_017.fcs,26943,25094,24690,15864,50,0.32,0,0,NA,NA,4437,28,4927,19.6,20,2148,2922,192512,72384,4926,19.6,20,2148,2922,192512,72384,6,177792,42304,180800,45440,1386,3269,175808,53632,TRUE,65842,84225,12671,137,21,1282,-16,1973,-45,25,0,350,2039,5028,HSC
1_B9,1_B9,LEUK34,Plate 1 LEUK34,1260,1260,287,0.0851,NA,0.067961165,0.076530583,MUT,AML3,AML_151044_Plate1_B9_B09_018.fcs,53269,49489,48722,36633,4863,13.3,341,0.93,240576,68160,17632,48.1,6987,14.1,14.3,3619,2136,223296,103488,6960,14.1,14.3,3604,2136,222976,103296,14,196416,44160,185920,45120,760,4808,200960,47104,TRUE,72586,88171,15103,70,0,1668,28,441,-160,31,-36,336,3007,4823,HSC
1_B10,1_B10,LEUK34,Plate 1 LEUK34,1267,1267,323,0.1338,NA,0.08,0.1069,MUT,AML3,AML_151044_Plate1_B10_B10_019.fcs,5206,4606,4551,4263,13,0.3,4,0.094,223232,52480,2332,54.7,34,0.74,0.75,1860,2614,231488,86848,34,0.74,0.75,1860,2614,231488,86848,0,170176,38784,192512,47424,1242,3277,186240,58304,TRUE,75924,89932,15473,247,43,1254,19,1486,-84,47,14,377,2218,4624,HSC
1_B12,1_B12,LEUK34,Plate 1 LEUK34,1280,1280,129,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_B12_B12_020.fcs,4172,3770,3722,3522,18,0.51,3,0.085,181888,99008,2880,81.8,23,0.61,0.62,1867,4299,261184,107840,23,0.61,0.62,1867,4299,261184,107840,0,182208,52480,195840,52480,1218,2950,205632,68096,TRUE,72545,87378,13875,30,18,1220,53,1003,-24,20,24,405,2545,4103,HSC
1_C1,1_C1,LEUK34,Plate 1 LEUK34,1210,1210,189,0.0957,NA,0.072463768,0.084081884,MUT,AML3,AML_151044_Plate1_C1_C01_021.fcs,5658,2504,2413,2381,1,0.042,1,0.042,171584,130752,7,0.29,2,0.08,0.083,4893,1211,160448,77248,2,0.08,0.083,4893,1211,160448,77248,117,262080,172672,162688,54912,1576,6384,262080,166656,TRUE,78780,88146,15195,81,40,1175,202,466,-129,35,24,327,2124,6650,HSC
1_C2,1_C2,LEUK34,Plate 1 LEUK34,1218,1218,651,0.0935,NA,NA,0.0935,MUT,AML3,AML_151044_Plate1_C2_C02_022.fcs,302,291,235,40,0,0,0,0,NA,NA,2,5,185,63.6,78.7,8620,4862,262080,147968,185,63.6,78.7,8620,4862,262080,147968,0,NA,NA,173888,43392,2193,5238,55040,44096,TRUE,99064,97833,17862,330,46,1903,94,1407,-97,21,-52,565,1809,6847,HSC
1_C4,1_C4,LEUK34,Plate 1 LEUK34,1231,1231,60,NA,NA,0.111111111,0.111111111,MUT,AML3,AML_151044_Plate1_C4_C04_023.fcs,9776,9695,9531,5506,99,1.8,42,0.76,214720,54912,664,12.1,3156,32.6,33.1,4219,4142,244288,101952,3152,32.5,33.1,4219,4142,244288,101888,2,181888,38912,182144,45056,1121,6200,192192,50176,TRUE,64370,84723,13043,53,38,1593,305,904,-146,14,-74,308,1470,7259,HSC
1_C6,1_C6,LEUK34,Plate 1 LEUK34,1242,1242,871,0.0835,NA,NA,0.0835,MUT,AML3,AML_151044_Plate1_C6_C06_024.fcs,19692,19439,19203,7291,564,7.74,190,2.61,235072,67328,1302,17.9,7802,40.1,40.6,4662,2744,255296,128000,7763,39.9,40.4,4652,2766,254976,127744,0,195200,45376,189824,49856,1150,5184,217408,62208,TRUE,79603,90139,18757,235,11,1344,-63,1733,-37,68,-49,387,1703,7706,HSC
1_C7,1_C7,LEUK34,Plate 1 LEUK34,1250,1250,179,0.1705,NA,0.177419355,0.17395967750000002,MUT,AML3,AML_151044_Plate1_C7_C07_025.fcs,3532,3450,3413,2392,562,23.5,112,4.68,227008,64704,1274,53.3,362,10.5,10.6,2860,3785,186496,76032,362,10.5,10.6,2860,3785,186496,76032,1,193088,46464,185152,44672,986,4614,204864,54208,TRUE,68358,84478,12397,133,36,1075,2,570,-52,37,-56,456,3290,7922,HSC
1_C8,1_C8,LEUK34,Plate 1 LEUK34,1257,1257,117,NA,NA,0.058823529,0.058823529,MUT,AML3,AML_151044_Plate1_C8_C08_026.fcs,14835,14488,14223,7451,36,0.48,1,0.013,211328,117248,4142,55.6,3794,26.2,26.7,2033,3273,187008,70208,3794,26.2,26.7,2033,3273,187008,70208,0,166208,39744,171904,42816,1400,3128,201024,64384,TRUE,67718,83884,11608,129,3,1062,99,618,-103,-1,-1,236,2372,8121,HSC
1_C11,1_C11,LEUK34,Plate 1 LEUK34,1273,1273,238,0.1441,NA,NA,0.1441,MUT,AML3,AML_151044_Plate1_C11_C11_028.fcs,17085,16799,16535,11526,6963,60.4,1430,12.4,234944,64448,1877,16.3,3307,19.7,20,5774,2524,248064,128448,3288,19.6,19.9,5774,2539,247872,128384,0,195648,45312,171392,46912,828,14464,200512,47872,TRUE,76348,87530,18052,483,12,1201,213,3576,4,42,-72,633,3412,8774,HSC
1_C12,1_C12,LEUK34,Plate 1 LEUK34,1281,1281,185,0.0769,NA,NA,0.0769,MUT,AML3,AML_151044_Plate1_C12_C12_029.fcs,12219,12015,11817,7394,2541,34.4,799,10.8,205888,70016,354,4.79,2410,20.1,20.4,6377,3345,262080,163264,2355,19.6,19.9,6321,3427,262080,162048,0,183744,48064,171456,47232,923,15893,193344,55936,TRUE,83067,90359,16911,215,55,2036,952,3277,44,10,-156,392,3541,9011,HSC
1_D1,1_D1,LEUK34,Plate 1 LEUK34,1211,1211,316,0.0449,NA,NA,0.0449,MUT,AML3,AML_151044_Plate1_D1_D01_030.fcs,7228,7185,6819,2148,788,36.7,191,8.89,224576,56256,800,37.2,3992,55.6,58.5,6120,5849,248896,126976,3986,55.5,58.5,6120,5862,248896,126976,0,189952,39872,181824,49472,890,8764,196352,43840,TRUE,71569,85260,14444,213,23,1343,52,1598,-75,36,-85,311,2908,11574,HSC
1_D2,1_D2,LEUK34,Plate 1 LEUK34,1219,1219,85,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_D2_D02_031.fcs,5334,5328,5219,2959,6,0.2,0,0,NA,NA,194,6.56,1890,35.5,36.2,4066,4537,239616,104064,1887,35.4,36.2,4057,4537,239616,104000,0,201600,45824,173568,42624,2292,7050,87040,57152,TRUE,69205,84521,11169,66,19,1092,387,773,-9,22,-65,354,2130,11358,HSC
1_D3,1_D3,LEUK34,Plate 1 LEUK34,1226,1226,63,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_D3_D03_032.fcs,52477,49951,49036,31853,46,0.14,2,0.00628,137152,26880,9605,30.2,7590,15.2,15.5,2037,3064,174464,64640,7584,15.2,15.5,2037,3064,174464,64640,22,173888,47040,164480,39296,1764,3891,173184,60224,TRUE,74266,86804,13265,54,15,1316,352,784,-67,13,98,355,1568,11161,HSC
1_D6,1_D6,LEUK34,Plate 1 LEUK34,1243,1243,69,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_D6_D06_034.fcs,33117,32109,31545,12733,60,0.47,9,0.071,221248,56128,7479,58.7,12877,40.1,40.8,2981,2305,207168,86784,12867,40.1,40.8,2981,2305,207168,86784,4,177920,42176,166976,41920,2270,4417,183104,57408,TRUE,64413,82541,10884,105,32,795,58,1021,-67,4,-38,261,2238,10535,HSC
1_D7,1_D7,LEUK34,Plate 1 LEUK34,1251,1251,283,0.1277,NA,NA,0.1277,MUT,AML3,AML_151044_Plate1_D7_D07_035.fcs,14774,14605,14253,9554,4610,48.3,482,5.05,227328,61312,3199,33.5,3025,20.7,21.2,5180,2033,228800,112064,3015,20.6,21.2,5169,2033,228480,111936,1,186368,40896,168384,40256,765,7899,190144,42752,TRUE,75670,85969,15527,106,23,1501,7,1479,-162,10,-67,309,1557,10326,HSC
1_D9,1_D9,LEUK34,Plate 1 LEUK34,1262,1262,129,0.1587,NA,0.068181818,0.113440909,MUT,AML3,AML_151044_Plate1_D9_D09_036.fcs,30031,20339,19806,13378,332,2.48,19,0.14,215680,60160,8735,65.3,4193,20.6,21.2,3663,4575,181568,76160,4184,20.6,21.1,3663,4566,181568,76160,509,182080,41088,177920,39744,884,3804,191424,48256,TRUE,72788,85992,12479,142,10,799,-36,856,31,30,-53,268,1756,9925,HSC
1_D11,1_D11,LEUK34,Plate 1 LEUK34,1274,1274,44,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_D11_D11_037.fcs,1333,1290,1240,1126,4,0.36,0,0,NA,NA,231,20.5,31,2.4,2.5,1670,3476,195072,61824,31,2.4,2.5,1670,3476,195072,61824,0,153216,37440,171712,39808,1209,3921,166784,43008,TRUE,71528,88398,17641,-43,-6,1171,32,1803,-62,13,-45,371,1516,9474,HSC
1_E1,1_E1,LEUK34,Plate 1 LEUK34,1212,1212,92,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_E1_E01_038.fcs,7901,7040,6854,4150,101,2.43,22,0.53,212032,76608,649,15.6,2191,31.1,32,5347,11773,200768,93376,2187,31.1,31.9,5347,11773,200768,93376,70,186688,42048,175616,44736,1366,5405,207296,70272,TRUE,71908,85833,14238,174,33,1179,72,355,85,12,-35,306,1996,11810,HSC
1_E2,1_E2,LEUK34,Plate 1 LEUK34,1220,1220,104,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_E2_E02_039.fcs,5024,5015,4985,1958,4,0.2,0,0,NA,NA,875,44.7,2002,39.9,40.2,2301,4150,176704,66368,2002,39.9,40.2,2301,4150,176704,66368,0,136512,44992,167744,41472,2373,4262,76352,49984,TRUE,69329,84920,12066,117,37,998,-15,1678,68,28,-27,360,1618,12031,HSC
1_E3,1_E3,LEUK34,Plate 1 LEUK34,1227,1227,602,0.0567,NA,NA,0.0567,MUT,AML3,AML_151044_Plate1_E3_E03_040.fcs,6360,6291,6164,2013,408,20.3,29,1.44,218944,60288,1063,52.8,3603,57.3,58.5,5235,4343,205632,107584,3602,57.3,58.4,5235,4343,205632,107584,0,186432,43136,183296,43968,786,4909,191616,45696,TRUE,74393,86392,14723,336,1,1324,26,1660,-65,25,-31,308,2051,12242,HSC
1_E4,1_E4,LEUK34,Plate 1 LEUK34,1232,1232,162,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_E4_E04_041.fcs,10087,9940,9805,2693,28,1.04,1,0.037,239232,61248,2405,89.3,6169,62.1,62.9,4585,3372,218304,100544,6160,62,62.8,4575,3372,218176,100544,0,192768,43776,183616,43328,1065,2979,204800,50112,TRUE,71741,87261,10828,40,40,1272,45,702,-78,12,-54,122,1179,12510,HSC
1_E6,1_E6,LEUK34,Plate 1 LEUK34,1244,1244,129,0.1094,NA,NA,0.1094,MUT,AML3,AML_151044_Plate1_E6_E06_042.fcs,5269,5190,5002,1215,276,22.7,82,6.75,223744,61376,322,26.5,3299,63.6,66,8639,5862,262080,184448,3283,63.3,65.6,8620,5900,262080,184256,1,184960,40320,177920,47872,912,7069,194624,46848,TRUE,66634,85211,11379,-59,37,1056,12,1347,-32,15,-35,242,1598,12953,HSC
1_E7,1_E7,LEUK34,Plate 1 LEUK34,1252,1252,52,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_E7_E07_043.fcs,30474,27288,26694,10849,29,0.27,27,0.25,229568,60096,1281,11.8,10956,40.1,41,3583,2539,220032,106752,10926,40,40.9,3575,2544,219904,106624,42,191552,40768,183616,44992,2013,4417,229056,76928,TRUE,70972,85727,12339,106,36,1016,17,1231,66,24,-46,229,1365,13160,HSC
1_E8,1_E8,LEUK34,Plate 1 LEUK34,1258,1258,209,0.1373,NA,0.089552239,0.11342612,MUT,AML3,AML_151044_Plate1_E8_E08_044.fcs,5253,5176,5029,3091,1061,34.3,128,4.14,224704,65408,747,24.2,1561,30.2,31,4771,5202,189504,93248,1559,30.1,31,4761,5213,189504,93184,0,189312,43392,181248,41664,824,5622,194048,46848,TRUE,69785,83299,12735,-51,57,1333,499,1066,-29,19,-7,436,1671,13401,HSC
1_E10,1_E10,LEUK34,Plate 1 LEUK34,1268,1268,198,0.0918,NA,NA,0.0918,MUT,AML3,AML_151044_Plate1_E10_E10_045.fcs,11225,10046,9819,6866,4273,62.2,990,14.4,210112,62976,505,7.36,1894,18.9,19.3,6573,2442,262080,162176,1833,18.2,18.7,6573,2485,262080,162176,2,180544,45056,172608,51072,826,16686,185856,49728,TRUE,75067,87411,13630,132,9,983,332,351,10,68,9,249,1527,13817,HSC
1_E11,1_E11,LEUK34,Plate 1 LEUK34,1275,1275,36,NA,NA,0.2,0.2,MUT,AML3,AML_151044_Plate1_E11_E11_046.fcs,14227,12239,11982,6991,23,0.33,2,0.029,123200,31616,2844,40.7,3373,27.6,28.2,2128,3568,177280,67840,3373,27.6,28.2,2128,3568,177280,67840,0,182016,45952,178944,40832,1429,3221,197504,61760,TRUE,73889,86575,12660,66,15,1224,239,1378,-123,-3,-27,300,1992,14014,HSC
1_F1,1_F1,LEUK34,Plate 1 LEUK34,1213,1213,146,0.125,NA,NA,0.125,MUT,AML3,AML_151044_Plate1_F1_F01_048.fcs,15974,12132,11933,8933,452,5.06,129,1.44,225280,68736,1493,16.7,2042,16.8,17.1,4246,8486,192512,85888,2036,16.8,17.1,4228,8505,192448,85760,391,185344,40640,182720,44864,978,7145,199232,49856,TRUE,72329,89986,12334,133,17,1111,-45,734,24,-7,32,187,1008,16939,HSC
1_F2,1_F2,LEUK34,Plate 1 LEUK34,1221,1221,122,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_F2_F02_049.fcs,44646,42863,42753,22738,56,0.25,1,0.0044,231872,84096,11625,51.1,12067,28.2,28.2,2373,3490,174656,64320,12065,28.1,28.2,2373,3490,174656,64384,11,198400,49152,175040,41664,1251,3120,206592,59264,TRUE,73969,86351,14373,258,21,862,-102,1490,32,34,-17,371,1363,16744,HSC
1_F4,1_F4,LEUK34,Plate 1 LEUK34,1233,1233,229,0.0973,NA,NA,0.0973,MUT,AML3,AML_151044_Plate1_F4_F04_050.fcs,7506,7473,7100,5605,82,1.46,5,0.089,208512,53760,5248,93.6,640,8.56,9.01,2686,2405,162816,61568,638,8.54,8.99,2686,2405,162816,61568,0,194368,42368,183872,41216,984,3143,200960,48128,TRUE,72724,86697,13100,92,30,1316,83,1038,-172,11,-58,293,1641,16316,HSC
1_F6,1_F6,LEUK34,Plate 1 LEUK34,1245,1245,178,0.0795,NA,NA,0.0795,MUT,AML3,AML_151044_Plate1_F6_F06_051.fcs,5405,5329,5134,2381,869,36.5,190,7.98,215936,56704,790,33.2,1956,36.7,38.1,6926,4934,262080,139968,1948,36.6,37.9,6926,4944,262080,140160,2,182592,40576,177792,44800,873,7792,188352,43456,TRUE,78050,87936,14706,155,4,1511,16,1717,67,15,-50,428,2258,15819,HSC
1_F7,1_F7,LEUK34,Plate 1 LEUK34,1253,1253,80,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_F7_F07_052.fcs,16150,15782,15491,8551,114,1.33,100,1.17,210304,51072,2324,27.2,3845,24.4,24.8,2718,2519,191936,82368,3841,24.3,24.8,2718,2524,191936,82368,0,177664,35200,187648,44480,1432,3729,211136,53184,TRUE,79284,87735,12775,286,5,1291,37,820,60,32,21,318,2190,15600,HSC
1_F9,1_F9,LEUK34,Plate 1 LEUK34,1263,1263,20,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_F9_F09_053.fcs,1116,1092,1069,186,0,0,1,0.54,229632,41344,54,29,730,66.8,68.3,3095,2391,218112,98624,730,66.8,68.3,3095,2391,218112,98624,0,NA,NA,171584,49792,3273,5742,252736,137152,TRUE,72196,86095,17888,129,27,900,20,1886,43,17,-68,373,2256,15131,HSC
1_F10,1_F10,LEUK34,Plate 1 LEUK34,1269,1269,167,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_F10_F10_054.fcs,18946,17836,17301,15021,11368,75.7,2182,14.5,204352,60224,744,4.95,744,4.17,4.3,4389,2002,232768,110464,686,3.85,3.97,4416,2029,230912,109760,4,177152,43072,175552,45056,772,16927,180224,45632,TRUE,77588,90233,17697,45,18,1586,25,979,-114,43,-42,434,2034,14898,HSC
1_F11,1_F11,LEUK34,Plate 1 LEUK34,1276,1276,28,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_F11_F11_055.fcs,10166,9059,8809,7096,52,0.73,3,0.042,191040,49472,4128,58.2,780,8.61,8.85,1842,3539,167424,58880,778,8.59,8.83,1842,3547,167360,58816,0,170240,39488,175744,39616,1127,3083,185536,51776,TRUE,97102,94922,19822,272,11,1921,51,889,-124,55,-32,310,2653,14683,HSC
1_F12,1_F12,LEUK34,Plate 1 LEUK34,1283,1283,20,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_F12_F12_056.fcs,65487,48076,47168,35411,44,0.12,10,0.028,192000,62656,12303,34.7,4625,9.62,9.81,2068,2739,176960,73600,4623,9.62,9.8,2064,2739,176896,73600,16,175360,45248,174976,44032,1355,3574,201408,70016,TRUE,78588,90107,15657,37,24,1306,239,1328,-128,31,-86,308,1818,14487,HSC
1_G1,1_G1,LEUK34,Plate 1 LEUK34,1214,1214,206,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_G1_G01_057.fcs,3889,3866,3850,3408,23,0.67,0,0,NA,NA,2537,74.4,20,0.52,0.52,1421,3561,227456,70208,20,0.52,0.52,1421,3561,227456,70208,0,206080,56512,188352,44480,1220,2825,216704,66432,TRUE,80013,94091,17218,76,22,1368,28,2464,-26,62,-81,513,2558,17161,HSC
1_G2,1_G2,LEUK34,Plate 1 LEUK34,1222,1222,99,NA,NA,NA,0,WT,AML3,AML_151044_Plate1_G2_G02_058.fcs,1093,1056,1034,469,0,0,0,0,NA,NA,8,1.71,536,50.8,51.8,11377,10271,262080,156096,531,50.3,51.4,11507,10364,262080,155712,1,NA,NA,199104,53184,2766,5622,95232,63616,TRUE,70829,84908,13241,47,42,1294,0,1498,-22,57,-48,692,1329,17361,HSC
